steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198157388473,Lucaozy,2,800,700,900,pistol,1,99a415d433476e78
76561198388056582,drop,2,800,800,1000,pistol,1,99a415d433476e78
76561198022365638,stavn,3,800,650,1150,pistol,1,99a415d433476e78
76561198010496342,exit,2,800,700,1100,pistol,1,99a415d433476e78
76561197985565685,saffee,2,800,650,850,pistol,1,99a415d433476e78
76561198061423730,insani,2,800,650,850,pistol,1,99a415d433476e78
76561198005107817,Staehr,3,800,650,1150,pistol,1,99a415d433476e78
76561198120557348,jabbi,3,800,800,1000,pistol,1,99a415d433476e78
76561198004115516,cadiaN,3,800,650,850,pistol,1,99a415d433476e78
76561197987713664,dev1ce,3,800,650,1150,pistol,1,99a415d433476e78
76561198005107817,Staehr,3,2050,1900,2100,force-buy,2,99a415d433476e78
76561198388056582,drop,2,3850,3700,3900,semi,2,99a415d433476e78
76561197987713664,dev1ce,3,2050,1900,2100,force-buy,2,99a415d433476e78
76561197985565685,saffee,2,4300,4200,4300,full,2,99a415d433476e78
76561198010496342,exit,2,3350,2850,3450,semi,2,99a415d433476e78
76561198022365638,stavn,3,2350,2250,2250,force-buy,2,99a415d433476e78
76561198120557348,jabbi,3,1900,1850,1850,force-buy,2,99a415d433476e78
76561198004115516,cadiaN,3,2050,1900,2100,force-buy,2,99a415d433476e78
76561198157388473,Lucaozy,2,3350,3300,3500,semi,2,99a415d433476e78
76561198061423730,insani,2,3700,3700,3900,semi,2,99a415d433476e78
76561198388056582,drop,2,3650,2200,3450,semi,3,99a415d433476e78
76561198022365638,stavn,3,2500,300,1650,semi,3,99a415d433476e78
76561198120557348,jabbi,3,2450,300,3150,semi,3,99a415d433476e78
76561197987713664,dev1ce,3,2550,200,700,eco,3,99a415d433476e78
76561198004115516,cadiaN,3,3150,1450,1450,semi,3,99a415d433476e78
76561198061423730,insani,2,3500,1200,4200,full,3,99a415d433476e78
76561198005107817,Staehr,3,2550,300,500,eco,3,99a415d433476e78
76561197985565685,saffee,2,3600,700,5000,full,3,99a415d433476e78
76561198010496342,exit,2,4900,3900,5100,full,3,99a415d433476e78
76561198157388473,Lucaozy,2,4150,1200,4200,full,3,99a415d433476e78
76561198157388473,Lucaozy,2,6450,1000,4200,full,4,99a415d433476e78
76561198388056582,drop,2,5550,900,4200,full,4,99a415d433476e78
76561198004115516,cadiaN,3,4600,3900,5350,full,4,99a415d433476e78
76561198061423730,insani,2,6100,1200,5100,full,4,99a415d433476e78
76561197987713664,dev1ce,3,5250,4400,5950,full,4,99a415d433476e78
76561198005107817,Staehr,3,5150,5000,5200,full,4,99a415d433476e78
76561197985565685,saffee,2,6400,700,4700,full,4,99a415d433476e78
76561198022365638,stavn,3,5100,5050,5550,full,4,99a415d433476e78
76561198010496342,exit,2,4800,800,4100,full,4,99a415d433476e78
76561198120557348,jabbi,3,5050,5050,5050,full,4,99a415d433476e78
76561198157388473,Lucaozy,2,7450,4900,5100,full,5,99a415d433476e78
76561198388056582,drop,2,6050,4900,5100,full,5,99a415d433476e78
76561197987713664,dev1ce,3,4100,2500,7150,full,5,99a415d433476e78
76561197985565685,saffee,2,7100,6850,7050,full,5,99a415d433476e78
76561198010496342,exit,2,5400,4800,5000,full,5,99a415d433476e78
76561198022365638,stavn,3,3300,2500,5800,full,5,99a415d433476e78
76561198120557348,jabbi,3,3550,3550,5400,full,5,99a415d433476e78
76561198061423730,insani,2,6600,4900,5100,full,5,99a415d433476e78
76561198005107817,Staehr,3,3700,3700,5400,full,5,99a415d433476e78
76561198004115516,cadiaN,3,4850,4050,3450,semi,5,99a415d433476e78
76561198061423730,insani,2,3600,1250,1250,semi,6,99a415d433476e78
76561198005107817,Staehr,3,3250,800,5200,full,6,99a415d433476e78
76561198004115516,cadiaN,3,4350,1500,5050,full,6,99a415d433476e78
76561198157388473,Lucaozy,2,4450,3700,3900,semi,6,99a415d433476e78
76561198388056582,drop,2,3050,500,700,eco,6,99a415d433476e78
76561198010496342,exit,2,2800,1000,1000,eco,6,99a415d433476e78
76561197987713664,dev1ce,3,4950,4400,7150,full,6,99a415d433476e78
76561198022365638,stavn,3,4350,1300,5600,full,6,99a415d433476e78
76561197985565685,saffee,2,2150,0,200,eco,6,99a415d433476e78
76561198120557348,jabbi,3,3850,2300,5400,full,6,99a415d433476e78
76561198010496342,exit,2,5050,4900,5100,full,7,99a415d433476e78
76561198004115516,cadiaN,3,5050,4850,5050,full,7,99a415d433476e78
76561198388056582,drop,2,6100,4900,5100,full,7,99a415d433476e78
76561198061423730,insani,2,5600,4900,5100,full,7,99a415d433476e78
76561198022365638,stavn,3,5250,4850,5050,full,7,99a415d433476e78
76561198157388473,Lucaozy,2,4800,3700,5100,full,7,99a415d433476e78
76561197987713664,dev1ce,3,2550,2500,2700,force-buy,7,99a415d433476e78
76561198005107817,Staehr,3,4650,4550,4450,force-buy,7,99a415d433476e78
76561197985565685,saffee,2,5700,2100,7050,full,7,99a415d433476e78
76561198120557348,jabbi,3,3450,3350,3550,force-buy,7,99a415d433476e78
76561198010496342,exit,2,2150,1850,1850,force-buy,8,99a415d433476e78
76561198120557348,jabbi,3,3900,3900,4900,full,8,99a415d433476e78
76561198061423730,insani,2,3300,3300,3500,force-buy,8,99a415d433476e78
76561197987713664,dev1ce,3,3850,2500,5100,full,8,99a415d433476e78
76561198005107817,Staehr,3,4200,2500,5300,full,8,99a415d433476e78
76561198004115516,cadiaN,3,4000,3850,5400,full,8,99a415d433476e78
76561198157388473,Lucaozy,2,3100,3100,3300,force-buy,8,99a415d433476e78
76561198388056582,drop,2,3500,2650,2850,semi,8,99a415d433476e78
76561198022365638,stavn,3,4200,2900,5800,full,8,99a415d433476e78
76561197985565685,saffee,2,5600,4400,4600,full,8,99a415d433476e78
76561197985565685,saffee,2,4450,4400,4800,full,9,99a415d433476e78
76561197987713664,dev1ce,3,3050,1450,1450,semi,9,99a415d433476e78
76561198005107817,Staehr,3,3400,3300,3500,force-buy,9,99a415d433476e78
76561198022365638,stavn,3,2700,2550,2750,force-buy,9,99a415d433476e78
76561198120557348,jabbi,3,1400,1350,1350,force-buy,9,99a415d433476e78
76561198004115516,cadiaN,3,1850,1850,1850,force-buy,9,99a415d433476e78
76561198157388473,Lucaozy,2,3250,2200,5100,full,9,99a415d433476e78
76561198061423730,insani,2,4150,3400,5100,full,9,99a415d433476e78
76561198010496342,exit,2,4150,2400,5600,full,9,99a415d433476e78
76561198388056582,drop,2,4700,4600,4800,full,9,99a415d433476e78
76561197987713664,dev1ce,3,5150,5000,5200,full,10,99a415d433476e78
76561198010496342,exit,2,3450,3350,3550,force-buy,10,99a415d433476e78
76561198157388473,Lucaozy,2,2450,2200,1700,force-buy,10,99a415d433476e78
76561198061423730,insani,2,2450,2400,2400,force-buy,10,99a415d433476e78
76561198388056582,drop,2,1500,1500,1900,force-buy,10,99a415d433476e78
76561198005107817,Staehr,3,3650,2700,5800,full,10,99a415d433476e78
76561197985565685,saffee,2,1450,1450,1450,force-buy,10,99a415d433476e78
76561198022365638,stavn,3,3700,3700,5100,full,10,99a415d433476e78
76561198004115516,cadiaN,3,3550,2300,5200,full,10,99a415d433476e78
76561198120557348,jabbi,3,3600,2300,5900,full,10,99a415d433476e78
76561198388056582,drop,2,2800,300,300,eco,11,99a415d433476e78
76561197987713664,dev1ce,3,4250,1100,5200,full,11,99a415d433476e78
76561198157388473,Lucaozy,2,2750,700,700,eco,11,99a415d433476e78
76561198061423730,insani,2,2550,0,200,eco,11,99a415d433476e78
76561198010496342,exit,2,2600,0,200,eco,11,99a415d433476e78
76561198120557348,jabbi,3,5400,1300,5900,full,11,99a415d433476e78
76561198005107817,Staehr,3,5050,4200,5600,full,11,99a415d433476e78
76561198022365638,stavn,3,3500,2700,5800,full,11,99a415d433476e78
76561197985565685,saffee,2,2800,0,200,eco,11,99a415d433476e78
76561198004115516,cadiaN,3,4750,1500,5100,full,11,99a415d433476e78
76561198388056582,drop,2,5750,5400,5400,full,12,99a415d433476e78
76561198022365638,stavn,3,2800,2700,2900,force-buy,12,99a415d433476e78
76561197985565685,saffee,2,6050,2600,7350,full,12,99a415d433476e78
76561198010496342,exit,2,7050,6950,5000,full,12,99a415d433476e78
76561198120557348,jabbi,3,5800,5700,4350,force-buy,12,99a415d433476e78
76561198157388473,Lucaozy,2,5600,5400,5400,full,12,99a415d433476e78
76561198061423730,insani,2,6100,4900,5100,full,12,99a415d433476e78
76561198004115516,cadiaN,3,4950,4850,5050,full,12,99a415d433476e78
76561197987713664,dev1ce,3,4550,4500,6750,full,12,99a415d433476e78
76561198005107817,Staehr,3,2250,2150,2150,force-buy,12,99a415d433476e78
76561198005107817,Staehr,2,800,650,1050,pistol,13,99a415d433476e78
76561197987713664,dev1ce,2,800,800,800,pistol,13,99a415d433476e78
76561198061423730,insani,3,800,650,850,pistol,13,99a415d433476e78
76561197985565685,saffee,3,800,650,850,pistol,13,99a415d433476e78
76561198010496342,exit,3,800,700,900,pistol,13,99a415d433476e78
76561198157388473,Lucaozy,3,800,700,1150,pistol,13,99a415d433476e78
76561198388056582,drop,3,800,650,850,pistol,13,99a415d433476e78
