frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
6049,4912,1,3,3,0,76561198872013168,tN1R,0,1,b2c49860d94e5292
11921,9650,2,2,3,0,76561198178209109,xfl0ud,0,0,b2c49860d94e5292
16271,12939,3,4,3,0,76561198872013168,tN1R,0,1,b2c49860d94e5292
23863,18793,4,2,3,0,76561198872013168,tN1R,0,0,b2c49860d94e5292
34839,27573,5,4,3,0,76561198309839541,SunPayus,0,0,b2c49860d94e5292
40942,32299,6,3,3,0,76561198872013168,tN1R,0,1,b2c49860d94e5292
48178,38001,7,3,3,0,76561199137143905,yxngstxr,1,0,b2c49860d94e5292
61477,48725,8,3,3,0,76561198309839541,SunPayus,0,1,b2c49860d94e5292
71923,57128,9,2,3,0,76561198872013168,tN1R,0,1,b2c49860d94e5292
72152,57327,9,1,2,1,76561198139604328,hyped,1,0,b2c49860d94e5292
81366,64510,10,2,3,0,76561198104626893,LNZ,0,0,b2c49860d94e5292
86025,67952,11,4,3,0,76561198104626893,LNZ,0,0,b2c49860d94e5292
95485,75433,12,3,3,0,76561199137143905,yxngstxr,0,1,b2c49860d94e5292
117454,93585,13,4,3,0,76561198078771373,JDC,0,0,b2c49860d94e5292
123473,98469,14,3,3,0,76561198078771373,JDC,0,0,b2c49860d94e5292
130869,104197,15,3,2,0,76561198178209109,xfl0ud,1,0,b2c49860d94e5292
137686,109475,16,4,3,0,76561198078771373,JDC,1,0,b2c49860d94e5292
146621,116533,17,3,2,0,76561198309839541,SunPayus,0,0,b2c49860d94e5292
