steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198144926364,kyuubii,2,800,650,1250,pistol,1,b2c49860d94e5292
76561198309839541,SunPayus,3,800,650,950,pistol,1,b2c49860d94e5292
76561198872013168,tN1R,3,800,650,850,pistol,1,b2c49860d94e5292
76561199137143905,yxngstxr,3,800,800,500,pistol,1,b2c49860d94e5292
76561198170631091,Krimbo,2,800,800,1200,pistol,1,b2c49860d94e5292
76561198078771373,JDC,2,800,650,850,pistol,1,b2c49860d94e5292
76561198139604328,hyped,2,800,650,850,pistol,1,b2c49860d94e5292
76561197961491680,tabseN,2,800,700,900,pistol,1,b2c49860d94e5292
76561198178209109,xfl0ud,3,800,650,1150,pistol,1,b2c49860d94e5292
76561198104626893,LNZ,3,800,700,1100,pistol,1,b2c49860d94e5292
76561198078771373,JDC,2,3400,3400,4000,full,2,b2c49860d94e5292
76561198144926364,kyuubii,2,3400,3250,3450,semi,2,b2c49860d94e5292
76561198139604328,hyped,2,4600,4500,5000,full,2,b2c49860d94e5292
76561198872013168,tN1R,3,2350,2350,2100,force-buy,2,b2c49860d94e5292
76561199137143905,yxngstxr,3,2200,2200,2400,force-buy,2,b2c49860d94e5292
76561198104626893,LNZ,3,2300,2200,2400,force-buy,2,b2c49860d94e5292
76561197961491680,tabseN,2,3650,3250,3450,semi,2,b2c49860d94e5292
76561198309839541,SunPayus,3,2050,1900,2850,force-buy,2,b2c49860d94e5292
76561198170631091,Krimbo,2,3550,3500,3800,semi,2,b2c49860d94e5292
76561198178209109,xfl0ud,3,2050,2050,2050,force-buy,2,b2c49860d94e5292
76561197961491680,tabseN,2,4550,3500,4100,full,3,b2c49860d94e5292
76561198178209109,xfl0ud,3,2400,0,200,eco,3,b2c49860d94e5292
76561198139604328,hyped,2,3950,900,3350,semi,3,b2c49860d94e5292
76561198309839541,SunPayus,3,2850,700,700,eco,3,b2c49860d94e5292
76561199137143905,yxngstxr,3,2400,500,500,eco,3,b2c49860d94e5292
76561198104626893,LNZ,3,3100,0,200,eco,3,b2c49860d94e5292
76561198872013168,tN1R,3,3000,700,700,eco,3,b2c49860d94e5292
76561198078771373,JDC,2,3850,2400,5000,full,3,b2c49860d94e5292
76561198144926364,kyuubii,2,3400,3300,3800,semi,3,b2c49860d94e5292
76561198170631091,Krimbo,2,3300,3150,5000,full,3,b2c49860d94e5292
76561197961491680,tabseN,2,4300,1900,5000,full,4,b2c49860d94e5292
76561199137143905,yxngstxr,3,4800,3550,3750,semi,4,b2c49860d94e5292
76561198078771373,JDC,2,5300,3400,5000,full,4,b2c49860d94e5292
76561198139604328,hyped,2,6900,6650,6850,full,4,b2c49860d94e5292
76561198144926364,kyuubii,2,3950,0,4000,full,4,b2c49860d94e5292
76561198872013168,tN1R,3,5500,5250,5450,full,4,b2c49860d94e5292
