frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
2838,2194,1,ANa,76561198116899423,3,Team A,Krimbo,76561198170631091,2,Team B,,0,0,,Dual Berettas,pistol,1,0,0,0,0,0,-1799.214233,407.440643,176.724350,0,0,-1980.920898,378.113129,83.666885,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,5.344477,adb0c2aafaa3fb20
2907,2255,1,tabseN,76561197961491680,2,Team B,ANa,76561198116899423,3,Team A,JDC,76561198078771373,2,Team B,Glock-18,pistol,1,0,0,0,0,0,-2015.871094,328.246674,88.031250,0,0,-1785.014160,442.535248,172.832489,0,0,0,-1963.079102,368.555664,88.031250,1,0,0,0,6.868537,adb0c2aafaa3fb20
2993,2325,1,Kat,76561198371036559,3,Team A,JDC,76561198078771373,2,Team B,ANa,76561198116899423,3,Team A,USP-S,pistol,1,1,0,0,0,0,-1798.038696,1050.062988,52.031250,0,0,-1981.915527,387.399994,78.666260,0,0,0,-1784.650757,441.729431,173.077393,0,1,0,0,17.486301,adb0c2aafaa3fb20
3290,2573,1,kyuubii,76561198144926364,2,Team B,Kat,76561198371036559,3,Team A,,0,0,,Glock-18,pistol,1,0,0,0,0,0,-1290.137329,269.436096,89.564697,0,0,-1730.455322,996.957031,52.031250,0,1,0,0.000000,0.000000,0.000000,1,0,0,0,21.617956,adb0c2aafaa3fb20
3487,2742,1,bubble,76561198000968105,3,Team A,tabseN,76561197961491680,2,Team B,,0,0,,USP-S,pistol,1,0,0,0,0,0,-1211.237183,904.967041,60.387394,0,0,-1978.465698,652.843018,52.031250,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,20.577106,adb0c2aafaa3fb20
3695,2927,1,kyuubii,76561198144926364,2,Team B,bubble,76561198000968105,3,Team A,,0,0,,Glock-18,pistol,1,0,0,0,0,0,-1285.569336,625.804016,73.031250,0,0,-1065.769409,849.566650,68.551773,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,7.978390,adb0c2aafaa3fb20
4743,3854,1,twenty3,76561198809859276,3,Team A,kyuubii,76561198144926364,2,Team B,,0,0,,USP-S,pistol,1,0,0,0,0,0,-764.921753,1440.840942,79.446411,0,0,-225.037231,915.150024,81.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,18.998947,adb0c2aafaa3fb20
5249,4305,1,hyped,76561198139604328,2,Team B,twenty3,76561198809859276,3,Team A,,0,0,,Glock-18,pistol,1,0,0,0,0,0,-281.440002,968.115723,81.031250,0,0,-103.313843,1096.480957,70.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,5.595167,adb0c2aafaa3fb20
7654,6452,1,hyped,76561198139604328,2,Team B,zAAz,76561197990140855,3,Team A,,0,0,,Glock-18,pistol,1,0,0,0,0,0,622.699646,161.280777,133.711624,0,0,834.410095,-109.564697,134.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,8.711422,adb0c2aafaa3fb20
13919,11408,2,zAAz,76561197990140855,3,Team A,hyped,76561198139604328,2,Team B,,0,0,,Five-SeveN,pistol,1,0,0,0,0,0,837.309082,-187.532959,127.917091,0,1,1041.142822,-191.430298,123.612869,0,1,0,0.000000,0.000000,0.000000,0,1,0,0,5.242801,adb0c2aafaa3fb20
13994,11471,2,zAAz,76561197990140855,3,Team A,JDC,76561198078771373,2,Team B,,0,0,,Five-SeveN,pistol,1,0,0,0,0,0,839.220459,-230.839722,132.291336,0,1,1042.410034,-238.610657,122.595940,0,1,0,0.000000,0.000000,0.000000,0,1,0,0,5.332912,adb0c2aafaa3fb20
14093,11546,2,kyuubii,76561198144926364,2,Team B,zAAz,76561197990140855,3,Team A,tabseN,76561197961491680,2,Team B,AK-47,rifle,0,0,1,0,0,0,1139.626343,15.414444,147.816452,0,1,1001.493408,-242.820190,123.924316,0,0,0,1219.846680,-227.548645,111.916435,1,1,0,0,7.442849,adb0c2aafaa3fb20
14212,11650,2,bubble,76561198000968105,3,Team A,kyuubii,76561198144926364,2,Team B,zAAz,76561197990140855,3,Team A,Five-SeveN,pistol,0,0,0,0,0,0,758.727661,212.116730,134.031250,0,1,1130.065674,8.435437,142.192535,0,1,0,1002.412354,-243.289246,123.929909,1,1,0,0,10.766377,adb0c2aafaa3fb20
14304,11726,2,tabseN,76561197961491680,2,Team B,bubble,76561198000968105,3,Team A,kyuubii,76561198144926364,2,Team B,Galil AR,rifle,1,0,0,0,0,0,687.385193,-257.381287,136.736786,0,0,724.068726,145.211304,130.031250,0,0,0,1130.065674,8.435437,142.192535,1,0,0,0,10.305697,adb0c2aafaa3fb20
14827,12177,2,tabseN,76561197961491680,2,Team B,Kat,76561198371036559,3,Team A,,0,0,,Galil AR,rifle,1,0,0,0,0,0,755.421631,-214.390137,131.635620,0,0,644.669861,793.333191,114.381966,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,25.763737,adb0c2aafaa3fb20
16015,13221,2,Krimbo,76561198170631091,2,Team B,ANa,76561198116899423,3,Team A,JDC,76561198078771373,2,Team B,Galil AR,rifle,0,0,0,0,0,0,602.410828,712.403137,115.563850,0,0,1044.449707,840.165710,115.678978,0,0,0,1042.410034,-238.610657,122.595940,0,0,0,0,11.725193,adb0c2aafaa3fb20
16551,13700,2,tabseN,76561197961491680,2,Team B,twenty3,76561198809859276,3,Team A,,0,0,,Galil AR,rifle,0,0,0,0,0,0,594.030762,-294.031250,137.219177,0,0,1299.914185,-265.180176,113.310196,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,17.945097,adb0c2aafaa3fb20
19641,15974,3,hyped,76561198139604328,2,Team B,bubble,76561198000968105,3,Team A,,0,0,,MAC-10,smg,1,0,0,0,0,0,-473.952393,-542.582336,35.709190,0,1,-684.155518,-421.403931,50.517078,0,1,0,0.000000,0.000000,0.000000,0,1,0,0,6.201944,adb0c2aafaa3fb20
19849,16137,3,ANa,76561198116899423,3,Team A,hyped,76561198139604328,2,Team B,,0,0,,P250,pistol,1,0,0,0,0,0,-671.816956,-166.712036,57.975441,0,0,-594.247314,-596.587036,33.535812,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,11.137984,adb0c2aafaa3fb20
19890,16168,3,Krimbo,76561198170631091,2,Team B,Kat,76561198371036559,3,Team A,,0,0,,Galil AR,rifle,1,1,0,0,0,0,-2156.195312,42.064030,72.031258,0,0,-1966.272583,26.981058,121.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,5.093316,adb0c2aafaa3fb20
20504,16681,3,tabseN,76561197961491680,2,Team B,zAAz,76561197990140855,3,Team A,,0,0,,AK-47,rifle,1,0,0,0,0,0,-1157.783447,-834.543823,35.163094,0,0,4.276030,-718.246826,154.433685,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,29.831171,adb0c2aafaa3fb20
20764,16883,3,Krimbo,76561198170631091,2,Team B,twenty3,76561198809859276,3,Team A,hyped,76561198139604328,2,Team B,Galil AR,rifle,0,0,0,0,0,0,-1233.723511,617.846436,73.031250,0,0,-1463.951050,272.422028,137.622162,0,0,0,-594.247314,-596.587036,33.535812,0,0,1,0,10.637380,adb0c2aafaa3fb20
22364,18275,3,Krimbo,76561198170631091,2,Team B,ANa,76561198116899423,3,Team A,hyped,76561198139604328,2,Team B,Five-SeveN,pistol,0,0,0,0,0,0,-1334.349976,120.754158,92.332428,0,0,-1177.423584,-153.388977,103.031250,0,0,0,-594.247314,-596.587036,33.535812,0,0,0,0,8.067559,adb0c2aafaa3fb20
25780,20682,4,JDC,76561198078771373,2,Team B,bubble,76561198000968105,3,Team A,Krimbo,76561198170631091,2,Team B,AK-47,rifle,1,0,0,0,0,0,-1030.466431,-679.597839,42.996819,0,1,-482.975342,-834.041626,32.031139,0,1,0,-1030.005859,-731.644897,36.664021,0,0,0,0,14.434388,adb0c2aafaa3fb20
25971,20835,4,ANa,76561198116899423,3,Team A,tabseN,76561197961491680,2,Team B,,0,0,,AWP,sniper,0,0,0,0,0,0,-865.488708,-206.221619,78.955238,0,0,-55.872498,-825.502380,153.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,26.148169,adb0c2aafaa3fb20
26086,20923,4,Krimbo,76561198170631091,2,Team B,Krimbo,76561198170631091,2,Team B,twenty3,76561198809859276,3,Team A,Molotov,grenade,0,0,0,0,0,0,-591.603699,-862.100220,32.115013,0,0,-591.603699,-862.100220,32.115013,0,0,0,-695.316467,-121.726257,60.782127,0,0,0,0,0.000000,adb0c2aafaa3fb20
26148,20978,4,JDC,76561198078771373,2,Team B,twenty3,76561198809859276,3,Team A,Krimbo,76561198170631091,2,Team B,AK-47,rifle,0,0,0,0,0,0,-682.648804,-670.676636,32.031170,0,0,-731.873413,-123.082764,64.322182,0,1,0,-591.603699,-862.100220,32.115013,0,0,0,0,13.998546,adb0c2aafaa3fb20
27666,22268,4,ANa,76561198116899423,3,Team A,hyped,76561198139604328,2,Team B,,0,0,,AWP,sniper,0,0,0,0,0,0,-1046.089844,1142.292114,68.031250,0,0,-1332.896851,390.540253,93.031258,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,20.526693,adb0c2aafaa3fb20
29003,23403,4,JDC,76561198078771373,2,Team B,ANa,76561198116899423,3,Team A,,0,0,,AK-47,rifle,1,0,0,0,0,0,-1913.304810,909.937256,52.031250,0,0,-1222.146851,1390.216309,102.031250,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,21.432856,adb0c2aafaa3fb20
29332,23683,4,Kat,76561198371036559,3,Team A,JDC,76561198078771373,2,Team B,bubble,76561198000968105,3,Team A,M4A1,rifle,0,1,0,0,0,0,-1475.493652,1183.865112,100.525711,0,0,-1870.282715,905.864624,52.031250,0,1,0,-482.631470,-833.866089,32.031132,1,0,0,0,12.333115,adb0c2aafaa3fb20
30877,25053,4,kyuubii,76561198144926364,2,Team B,Kat,76561198371036559,3,Team A,,0,0,,AK-47,rifle,0,1,0,0,0,0,-1512.430786,-270.068359,106.031250,0,0,-1353.591797,289.555450,87.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,14.790376,adb0c2aafaa3fb20
30890,25066,4,kyuubii,76561198144926364,2,Team B,zAAz,76561197990140855,3,Team A,,0,0,,AK-47,rifle,0,0,0,0,0,0,-1515.637939,-269.289673,106.031250,0,0,-1240.354980,712.473633,56.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,25.954733,adb0c2aafaa3fb20
38604,30877,5,kyuubii,76561198144926364,2,Team B,zAAz,76561197990140855,3,Team A,,0,0,,AK-47,rifle,0,0,0,0,0,0,-64.382690,-733.576538,153.031250,0,0,360.475891,-877.724304,143.822845,0,0,0,0.000000,0.000000,0.000000,0,0,1,0,11.417144,adb0c2aafaa3fb20
40446,32448,5,Krimbo,76561198170631091,2,Team B,bubble,76561198000968105,3,Team A,hyped,76561198139604328,2,Team B,AK-47,rifle,0,0,0,0,0,0,-524.612488,587.990234,162.031250,0,0,-227.008179,1039.863281,70.031250,0,0,0,-577.742371,644.055786,150.185150,0,0,0,0,13.894085,adb0c2aafaa3fb20
41482,33351,5,ANa,76561198116899423,3,Team A,kyuubii,76561198144926364,2,Team B,,0,0,,MP9,smg,0,0,0,0,0,0,-773.134216,-656.817322,37.874283,0,0,-569.817688,-343.427734,58.308636,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,9.571157,adb0c2aafaa3fb20
42139,33917,5,tabseN,76561197961491680,2,Team B,twenty3,76561198809859276,3,Team A,JDC,76561198078771373,2,Team B,AK-47,rifle,0,0,0,0,0,0,-458.747742,885.705750,104.086952,0,0,-39.552002,690.450989,67.018799,0,0,0,-1161.956421,665.629700,60.823044,0,0,0,0,11.775997,adb0c2aafaa3fb20
42543,34270,5,ANa,76561198116899423,3,Team A,Krimbo,76561198170631091,2,Team B,bubble,76561198000968105,3,Team A,MP9,smg,0,0,0,0,0,0,-628.371155,-139.622375,56.514793,0,0,-390.027893,450.451965,175.031250,0,0,0,-227.869141,1040.431763,70.031250,0,0,0,0,16.444834,adb0c2aafaa3fb20
