frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
4397,3569,1,JT,76561198021715100,2,Team B,Wicadia,76561198812513923,3,Team A,,0,0,,Glock-18,pistol,1,0,0,0,0,0,-618.885925,79.074936,-95.968750,0,0,-596.031250,419.968658,-67.143677,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,8.670008,282f92f9b99085d8
4684,3815,1,JT,76561198021715100,2,Team B,XANTARES,76561198044118796,3,Team A,,0,0,,Glock-18,pistol,1,0,0,0,0,0,-816.114929,337.334686,-55.968750,0,0,-1130.817871,295.478027,-22.968750,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,8.064245,282f92f9b99085d8
4775,3890,1,JT,76561198021715100,2,Team B,jottAAA,76561198410750263,3,Team A,Grim,76561198191236195,2,Team B,Glock-18,pistol,1,0,0,0,0,0,-862.590271,315.512299,-55.968750,0,0,-896.629395,704.678528,-3.968750,0,0,0,-1734.006714,371.962097,0.031250,0,1,0,0,9.923165,282f92f9b99085d8
4956,4037,1,MAJ3R,76561197967432889,3,Team A,JT,76561198021715100,2,Team B,,0,0,,USP-S,pistol,1,0,0,0,0,0,-602.851746,530.469177,38.031250,0,0,-844.727600,572.655334,38.946556,0,1,0,0.000000,0.000000,0.000000,1,0,0,0,6.224826,282f92f9b99085d8
5001,4077,1,MAJ3R,76561197967432889,3,Team A,Grim,76561198191236195,2,Team B,,0,0,,USP-S,pistol,1,0,0,0,0,0,-599.378540,524.816528,38.031250,0,0,-1574.043457,626.091064,38.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,24.886284,282f92f9b99085d8
5737,4716,1,nicx,76561198410085211,2,Team B,woxic,76561198083485506,3,Team A,,0,0,,Glock-18,pistol,1,0,0,0,0,0,775.313904,1852.730591,-39.968750,0,0,384.547394,2075.417725,-119.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,11.592683,282f92f9b99085d8
8579,7176,1,hallzerk,76561198060367310,2,Team B,MAJ3R,76561197967432889,3,Team A,JT,76561198021715100,2,Team B,Glock-18,pistol,1,0,0,0,0,0,978.702332,2139.389893,-39.485901,0,0,1225.975708,1998.029419,-191.968750,0,0,0,-844.727600,572.655334,38.946556,0,0,0,0,8.059278,282f92f9b99085d8
19672,15895,3,Grim,76561198191236195,2,Team B,XANTARES,76561198044118796,3,Team A,,0,0,,MAC-10,smg,1,0,0,0,0,0,-1635.624390,186.751511,49.343750,1,1,-1714.251465,253.024323,0.167151,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,3.022420,282f92f9b99085d8
19680,15902,3,woxic,76561198083485506,3,Team A,Cxzi,76561198171719689,2,Team B,MAJ3R,76561197967432889,3,Team A,MP9,smg,1,0,1,0,0,0,-1678.184570,332.413544,0.031248,0,1,-1431.622681,80.790115,54.812500,1,1,0,-1198.364380,1024.297852,0.031250,0,1,0,0,9.022016,282f92f9b99085d8
19703,15920,3,woxic,76561198083485506,3,Team A,nicx,76561198410085211,2,Team B,XANTARES,76561198044118796,3,Team A,MP9,smg,0,0,0,0,0,0,-1685.378418,325.926086,0.031248,0,1,-1464.212280,118.319771,0.031252,0,1,0,-1714.251465,253.024323,0.167151,0,1,0,0,7.668438,282f92f9b99085d8
19744,15952,3,Grim,76561198191236195,2,Team B,woxic,76561198083485506,3,Team A,,0,0,,MAC-10,smg,0,0,0,0,0,0,-1594.863525,149.684982,1.374685,0,0,-1698.650146,307.743103,1.374683,0,1,0,0.000000,0.000000,0.000000,1,1,0,0,4.843963,282f92f9b99085d8
20025,16201,3,Wicadia,76561198812513923,3,Team A,Grim,76561198191236195,2,Team B,XANTARES,76561198044118796,3,Team A,MP9,smg,0,0,0,0,0,0,-747.077026,-710.397705,106.031265,0,0,-1267.548584,-232.927673,3.138381,0,0,0,-1714.251465,253.024323,0.167151,1,1,0,0,18.190411,282f92f9b99085d8
20144,16306,3,hallzerk,76561198060367310,2,Team B,Wicadia,76561198812513923,3,Team A,,0,0,,AK-47,rifle,0,0,0,0,0,0,-1763.392334,328.310089,1.374683,0,0,-749.805115,-709.892700,106.031250,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,36.982433,282f92f9b99085d8
20259,16409,3,JT,76561198021715100,2,Team B,jottAAA,76561198410750263,3,Team A,hallzerk,76561198060367310,2,Team B,Galil AR,rifle,1,0,0,0,0,0,-1445.891724,26.084229,1.374683,0,0,-743.284546,-634.783020,70.969521,0,0,0,-1732.122803,361.093170,0.504775,0,0,0,0,24.539259,282f92f9b99085d8
25064,20636,3,hallzerk,76561198060367310,2,Team B,MAJ3R,76561197967432889,3,Team A,,0,0,,AK-47,rifle,1,0,0,0,0,0,-1525.871094,611.036560,35.533142,0,0,-1560.779053,439.369537,0.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,4.426609,282f92f9b99085d8
29532,23941,4,jottAAA,76561198410750263,3,Team A,Grim,76561198191236195,2,Team B,,0,0,,M4A1,rifle,0,0,0,0,0,0,-620.798462,810.045837,38.031250,0,0,-1546.333984,748.647461,38.031250,0,1,0,0.000000,0.000000,0.000000,0,1,0,0,23.560301,282f92f9b99085d8
29551,23957,4,JT,76561198021715100,2,Team B,MAJ3R,76561197967432889,3,Team A,nicx,76561198410085211,2,Team B,Galil AR,rifle,1,0,1,0,0,0,-767.068604,187.202026,-95.968750,0,0,-789.637634,52.031078,-87.968750,0,1,0,128.027985,355.971619,-115.968750,0,1,0,0,3.497784,282f92f9b99085d8
29672,24058,4,Cxzi,76561198171719689,2,Team B,jottAAA,76561198410750263,3,Team A,Grim,76561198191236195,2,Team B,AK-47,rifle,0,0,0,0,0,0,-1539.307495,799.780212,38.031246,0,0,-581.444641,749.449341,38.031246,0,0,0,-1546.333984,748.647461,38.031250,1,0,0,0,24.363256,282f92f9b99085d8
29712,24095,4,XANTARES,76561198044118796,3,Team A,JT,76561198021715100,2,Team B,,0,0,,M4A1,rifle,0,0,0,0,0,0,-984.714050,1131.028687,35.031250,0,0,-909.760742,355.028687,-50.626587,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,19.900761,282f92f9b99085d8
29755,24131,4,nicx,76561198410085211,2,Team B,woxic,76561198083485506,3,Team A,,0,0,,AK-47,rifle,1,0,0,0,0,0,202.827118,326.143158,-151.968750,0,0,-79.279968,228.155380,-188.833618,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,7.518190,282f92f9b99085d8
29831,24194,4,XANTARES,76561198044118796,3,Team A,hallzerk,76561198060367310,2,Team B,,0,0,,M4A1,rifle,0,0,0,0,0,0,-940.076233,1081.958496,35.031250,0,0,-1627.370483,295.383301,0.031251,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,26.565506,282f92f9b99085d8
30145,24464,4,Cxzi,76561198171719689,2,Team B,XANTARES,76561198044118796,3,Team A,Grim,76561198191236195,2,Team B,AK-47,rifle,0,0,0,0,0,0,-1482.240234,498.321167,0.031251,0,0,-788.060974,1122.322144,36.031250,0,0,0,-1546.333984,748.647461,38.031250,1,0,1,0,23.697681,282f92f9b99085d8
30867,25078,4,Wicadia,76561198812513923,3,Team A,Cxzi,76561198171719689,2,Team B,jottAAA,76561198410750263,3,Team A,M4A1,rifle,0,0,0,0,0,0,-687.944702,665.348694,38.031250,0,0,-1109.421997,599.966431,-1.968750,0,0,0,-581.444641,749.449341,38.031246,0,1,0,0,10.727035,282f92f9b99085d8
31074,25259,4,nicx,76561198410085211,2,Team B,Wicadia,76561198812513923,3,Team A,,0,0,,AK-47,rifle,1,0,0,0,0,0,-970.028564,355.603241,-22.968750,0,0,-730.580933,712.158997,38.031246,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,11.008833,282f92f9b99085d8
37456,30236,5,XANTARES,76561198044118796,3,Team A,Cxzi,76561198171719689,2,Team B,jottAAA,76561198410750263,3,Team A,MP9,smg,1,0,0,0,0,0,201.238892,742.864258,17.218750,1,0,322.505829,491.683838,-29.578552,0,0,0,108.168427,1122.904785,-31.968750,0,0,0,0,7.158778,282f92f9b99085d8
39033,31550,5,hallzerk,76561198060367310,2,Team B,jottAAA,76561198410750263,3,Team A,,0,0,,AWP,sniper,0,0,0,0,0,0,-448.379639,78.523880,-119.968750,0,0,-923.348022,397.130280,-25.027954,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,14.762764,282f92f9b99085d8
39370,31841,5,MAJ3R,76561197967432889,3,Team A,JT,76561198021715100,2,Team B,,0,0,,MP9,smg,1,0,0,0,0,0,-639.629700,415.790100,-71.968750,0,0,-559.151306,77.945732,-93.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,8.853151,282f92f9b99085d8
39469,31925,5,XANTARES,76561198044118796,3,Team A,Grim,76561198191236195,2,Team B,,0,0,,AK-47,rifle,1,0,0,0,0,0,-888.203918,648.139343,-0.067017,0,0,-1624.917114,307.164124,0.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,20.674957,282f92f9b99085d8
39497,31952,5,MAJ3R,76561197967432889,3,Team A,hallzerk,76561198060367310,2,Team B,,0,0,,MP9,smg,0,0,0,0,0,0,-705.779785,395.917755,-55.968750,0,0,-534.526550,85.812157,-101.420471,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,9.114714,282f92f9b99085d8
39676,32097,5,woxic,76561198083485506,3,Team A,nicx,76561198410085211,2,Team B,,0,0,,MP9,smg,0,0,0,0,0,0,-68.735413,174.877090,-188.833618,0,0,-445.982666,116.683746,-119.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,9.760272,282f92f9b99085d8
