name,steamid,score,team name,kills,assists,deaths,headshots,hs %,k/d,kast,avg damages per round,avg kills per round,avg death per round,utility_damage_per_round,mvp,rank type,rank,old rank,win count,bomb planted,bomb defused,hostage rescued,health damage,armor damage,utility damage,1v1,1v2,1v3,1v4,1v5,1v1 won,1v2 won,1v3 won,1v4 won,1v5 won,1v1 lost,1v2 lost,1v3 lost,1v4 lost,1v5 lost,first kill,first death,trade kill,trade death,first trade kill,first trade death,1k,2k,3k,4k,5k,htlv 2,htlv,crosshair share code,color,inspect weapon count,match checksum
woxic,76561198083485506,6,Team A,3,0,3,1,33,1.000000,66.666672,37.833332,0.500000,0.500000,0.000000,0,-1,0,0,0,0,0,0,227,54,0,1,2,1,1,0,1,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0.834899,0.923352,CSGO-hVyt6-6w7hL-hQyc6-xReeD-3sNkO,0,0,282f92f9b99085d8
hallzerk,76561198060367310,16,Team B,4,1,2,2,50,2.000000,100.000000,63.833332,0.666667,0.333333,0.000000,2,-1,0,0,0,2,0,0,383,15,0,1,2,1,1,0,1,0,0,0,0,0,2,1,1,0,0,0,1,1,0,0,2,1,0,0,0,1.410909,1.198910,CSGO-Wr9mb-fb8Fq-DbOd2-OMJRS-TCYXC,1,0,282f92f9b99085d8
XANTARES,76561198044118796,10,Team A,4,2,3,2,50,1.333333,100.000000,86.000000,0.666667,0.500000,4.333333,0,-1,0,0,0,0,0,0,516,123,26,1,2,1,1,0,1,0,0,0,0,0,2,1,1,0,1,1,1,2,0,1,0,2,0,0,0,1.409630,1.159278,CSGO-xbpe2-E24RJ-YXNuO-pQvt8-ppNAK,2,0,282f92f9b99085d8
Grim,76561198191236195,7,Team B,2,3,4,1,50,0.500000,83.333328,57.666668,0.333333,0.666667,5.333333,0,-1,0,0,0,0,0,0,346,78,32,1,2,1,1,0,1,0,0,0,0,0,2,1,1,0,1,1,1,2,0,1,0,1,0,0,0,0.836972,0.647793,CSGO-CShSh-Opqia-HbA9a-8XZzF-N3n6J,4,0,282f92f9b99085d8
Cxzi,76561198171719689,5,Team B,2,0,3,0,0,0.666667,83.333328,30.666666,0.333333,0.500000,0.000000,0,-1,0,0,0,0,0,0,184,15,0,1,2,1,1,0,1,0,0,0,0,0,2,1,1,0,0,1,2,2,0,0,0,1,0,0,0,0.789577,0.784102,CSGO-6qkVX-Zn2Rm-LRhOG-7nAY9-HG8nM,3,0,282f92f9b99085d8
JT,76561198021715100,14,Team B,5,1,3,5,100,1.666667,83.333328,74.500000,0.833333,0.500000,1.166667,1,-1,0,0,0,1,0,0,447,42,7,1,2,1,1,0,1,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,2,0,1,0,0,1.378615,1.395205,CSGO-O774U-WvrQo-cw7mE-2WXSP-RxurD,2,0,282f92f9b99085d8
jottAAA,76561198410750263,4,Team A,1,2,4,0,0,0.250000,83.333328,45.666668,0.166667,0.666667,0.000000,0,-1,0,0,0,0,0,0,274,71,0,1,2,1,1,0,1,0,0,0,0,0,2,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0.637912,0.411867,CSGO-tYYFx-vcS8N-tf5GD-9Ty9j-mRFuA,3,0,282f92f9b99085d8
MAJ3R,76561197967432889,8,Team A,4,1,3,3,75,1.333333,100.000000,87.000000,0.666667,0.500000,7.166667,1,-1,0,0,0,0,0,0,522,111,43,3,4,3,3,2,1,0,0,0,0,2,4,3,3,2,0,0,1,1,0,0,0,2,0,0,0,1.396226,1.159278,CSGO-dB2kZ-vRqYD-jr9OB-hqiVw-HvD7K,4,0,282f92f9b99085d8
nicx,76561198410085211,7,Team B,3,1,2,3,100,1.500000,83.333328,50.000000,0.500000,0.333333,0.000000,1,-1,0,0,0,0,0,0,300,34,0,3,4,3,3,2,2,1,1,1,1,1,3,2,2,1,0,0,1,1,0,0,1,1,0,0,0,1.100920,1.059660,CSGO-WGLzh-3dAxr-6bKyF-zmMak-vy8CH,0,0,282f92f9b99085d8
Wicadia,76561198812513923,4,Team A,2,0,3,0,0,0.666667,83.333328,6.000000,0.333333,0.500000,0.000000,0,-1,0,0,0,0,0,0,36,9,0,2,3,2,2,1,1,0,0,0,0,1,3,2,2,1,0,1,1,0,0,0,2,0,0,0,0,0.710643,0.687425,CSGO-BHQFQ-kDP63-P6scP-S9MQs-a4GSQ,1,0,282f92f9b99085d8
