steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198021715100,JT,2,800,700,900,pistol,1,282f92f9b99085d8
76561198410750263,jottAAA,3,800,700,900,pistol,1,282f92f9b99085d8
76561198083485506,woxic,3,800,650,850,pistol,1,282f92f9b99085d8
76561197967432889,MAJ3R,3,800,800,700,pistol,1,282f92f9b99085d8
76561198812513923,Wicadia,3,800,650,950,pistol,1,282f92f9b99085d8
76561198044118796,XANTARES,3,800,650,950,pistol,1,282f92f9b99085d8
76561198191236195,Grim,2,800,650,850,pistol,1,282f92f9b99085d8
76561198410085211,nicx,2,800,650,850,pistol,1,282f92f9b99085d8
76561198060367310,hallzerk,2,800,700,1300,pistol,1,282f92f9b99085d8
76561198171719689,Cxzi,2,800,650,850,pistol,1,282f92f9b99085d8
76561197967432889,MAJ3R,3,2500,0,200,eco,2,282f92f9b99085d8
76561198812513923,Wicadia,3,2050,0,200,eco,2,282f92f9b99085d8
76561198044118796,XANTARES,3,2050,0,200,eco,2,282f92f9b99085d8
76561198191236195,Grim,2,3400,3300,4200,full,2,282f92f9b99085d8
76561198021715100,JT,2,4250,4200,3700,semi,2,282f92f9b99085d8
76561198410085211,nicx,2,3700,3250,4100,full,2,282f92f9b99085d8
76561198060367310,hallzerk,2,3950,3700,5000,full,2,282f92f9b99085d8
76561198171719689,Cxzi,2,3400,2500,3350,semi,2,282f92f9b99085d8
76561198410750263,jottAAA,3,2000,0,2100,semi,2,282f92f9b99085d8
76561198083485506,woxic,3,2050,0,200,eco,2,282f92f9b99085d8
76561198060367310,hallzerk,2,4050,700,5000,full,3,282f92f9b99085d8
76561198812513923,Wicadia,3,4450,2200,2400,semi,3,282f92f9b99085d8
76561198044118796,XANTARES,3,4450,2550,2750,semi,3,282f92f9b99085d8
76561198191236195,Grim,2,3600,1200,3450,semi,3,282f92f9b99085d8
76561198021715100,JT,2,3550,1100,4100,full,3,282f92f9b99085d8
76561198410085211,nicx,2,3950,900,4100,full,3,282f92f9b99085d8
76561198171719689,Cxzi,2,4400,1200,5100,full,3,282f92f9b99085d8
76561198410750263,jottAAA,3,4400,2250,2450,semi,3,282f92f9b99085d8
76561198083485506,woxic,3,4450,2250,2450,semi,3,282f92f9b99085d8
76561197967432889,MAJ3R,3,4900,2300,2500,semi,3,282f92f9b99085d8
76561198191236195,Grim,2,6850,5100,5000,full,4,282f92f9b99085d8
76561198083485506,woxic,3,6300,6250,6450,full,4,282f92f9b99085d8
76561197967432889,MAJ3R,3,5500,5200,5400,full,4,282f92f9b99085d8
76561198044118796,XANTARES,3,4800,4700,4900,full,4,282f92f9b99085d8
76561198171719689,Cxzi,2,6450,4900,5100,full,4,282f92f9b99085d8
76561198021715100,JT,2,6300,1200,4200,full,4,282f92f9b99085d8
76561198410750263,jottAAA,3,5050,4900,5100,full,4,282f92f9b99085d8
76561198410085211,nicx,2,6300,4800,5000,full,4,282f92f9b99085d8
76561198060367310,hallzerk,2,7200,300,5000,full,4,282f92f9b99085d8
76561198812513923,Wicadia,3,5750,5600,5800,full,4,282f92f9b99085d8
76561198410750263,jottAAA,3,3850,2200,2400,semi,5,282f92f9b99085d8
76561198083485506,woxic,3,3450,500,500,eco,5,282f92f9b99085d8
76561197967432889,MAJ3R,3,3700,2200,2400,semi,5,282f92f9b99085d8
76561198044118796,XANTARES,3,4100,2200,2400,semi,5,282f92f9b99085d8
76561198191236195,Grim,2,5000,4900,5100,full,5,282f92f9b99085d8
76561198171719689,Cxzi,2,5400,4900,5100,full,5,282f92f9b99085d8
76561198410085211,nicx,2,5350,3200,5000,full,5,282f92f9b99085d8
76561198060367310,hallzerk,2,10150,2600,7350,full,5,282f92f9b99085d8
76561198812513923,Wicadia,3,3850,2200,2400,semi,5,282f92f9b99085d8
76561198021715100,JT,2,8650,4900,5100,full,5,282f92f9b99085d8
76561198171719689,Cxzi,2,1900,1800,1800,force-buy,6,282f92f9b99085d8
76561198410750263,jottAAA,3,4900,4900,5300,full,6,282f92f9b99085d8
76561198083485506,woxic,3,6800,2200,7550,full,6,282f92f9b99085d8
76561197967432889,MAJ3R,3,5950,2400,5600,full,6,282f92f9b99085d8
76561198191236195,Grim,2,1500,1500,4400,full,6,282f92f9b99085d8
76561198021715100,JT,2,5150,4800,5000,full,6,282f92f9b99085d8
76561198410085211,nicx,2,3550,3500,3700,force-buy,6,282f92f9b99085d8
76561198060367310,hallzerk,2,9050,8950,6450,full,6,282f92f9b99085d8
76561198812513923,Wicadia,3,4900,2050,4150,semi,6,282f92f9b99085d8
76561198044118796,XANTARES,3,6050,1850,5600,full,6,282f92f9b99085d8
