number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,1,1,1264,1688,5937,7135,6257,7524,Team A,Team B,0,1,3,2,4000,4000,4000,4350,3400,3350,pistol,pistol,90171,9,Team B,2,0,391305308d8bb198
2,6257,7524,7537,9238,12259,15001,12579,15382,Team A,Team B,0,2,3,2,11300,18700,10650,19250,10250,18250,force-buy,semi,94506,1,Team B,2,0,391305308d8bb198
3,12579,15382,13859,17131,17771,21783,18091,22180,Team A,Team B,0,3,3,2,13050,18550,9000,20550,950,5000,semi,full,80906,9,Team B,2,0,391305308d8bb198
4,18091,22180,19371,23901,23767,29238,24087,29625,Team A,Team B,1,3,3,2,27200,31600,27600,21950,26600,10400,full,full,89210,8,Team A,3,0,391305308d8bb198
5,24087,29625,25367,31406,33612,41344,33932,41725,Team A,Team B,2,3,3,2,18350,29100,29750,25000,14650,24300,full,full,148124,7,Team A,3,0,391305308d8bb198
6,33932,41725,41045,50267,42708,52384,43028,52801,Team A,Team B,3,3,3,2,22800,18500,24450,8000,19200,8100,full,semi,134726,8,Team A,3,0,391305308d8bb198
7,43028,52801,44308,54571,49485,60842,49805,61224,Team A,Team B,3,4,3,2,21650,22400,27600,23600,5100,22200,full,full,101635,9,Team B,2,0,391305308d8bb198
8,49805,61224,51085,62970,54985,67671,55305,68081,Team A,Team B,4,4,3,2,24750,17950,25600,21100,24100,16200,full,full,81487,8,Team A,3,0,391305308d8bb198
9,55305,68081,56585,69865,60920,75124,61240,75505,Team A,Team B,4,5,3,2,18400,11550,26100,2350,9900,1750,full,eco,89021,1,Team B,2,0,391305308d8bb198
10,63540,78384,64820,80090,68833,85081,69153,85465,Team A,Team B,5,5,3,2,16100,28500,23550,25500,14250,19400,full,full,84647,7,Team A,3,0,391305308d8bb198
11,69153,85465,70433,87289,72383,89774,72703,90163,Team A,Team B,6,5,3,2,21150,20000,27650,19700,13100,18100,full,force-buy,54464,8,Team A,3,0,391305308d8bb198
12,72703,90163,73983,91959,78637,97605,79181,98261,Team A,Team B,7,5,3,2,25800,12300,30450,11850,17300,11450,full,force-buy,94064,7,Team A,3,0,391305308d8bb198
13,79181,98261,92899,114997,96363,118995,96683,119392,Team A,Team B,7,6,2,3,4000,4000,4300,4300,3300,3300,pistol,pistol,262070,8,Team B,3,0,391305308d8bb198
14,96683,119392,97963,121209,104819,129213,105139,129605,Team A,Team B,7,7,2,3,10500,18450,10550,20800,10150,17500,force-buy,semi,124134,8,Team B,3,0,391305308d8bb198
15,105139,129605,106419,131383,112487,138573,112807,138964,Team A,Team B,7,8,2,3,14450,19300,13550,23400,13150,17700,force-buy,full,113352,8,Team B,3,0,391305308d8bb198
16,115166,141979,116446,143750,122511,150895,122831,151308,Team A,Team B,7,9,2,3,17000,19350,10300,23000,10100,17900,semi,full,112695,8,Team B,3,0,391305308d8bb198
17,125600,154893,126880,156580,132592,163550,132912,163947,Team A,Team B,8,9,2,3,24200,19500,24700,27500,23500,10200,full,full,109421,9,Team A,2,0,391305308d8bb198
18,132912,163947,134192,165739,139313,172020,139633,172399,Team A,Team B,9,9,2,3,18750,16900,24200,16250,12000,15350,full,force-buy,102039,1,Team A,2,0,391305308d8bb198
19,139633,172399,140913,174148,146994,181392,147314,181788,Team A,Team B,10,9,2,3,24850,11050,24200,13050,9100,1600,full,semi,113668,9,Team A,2,0,391305308d8bb198
20,150166,185679,151446,187332,158407,195624,158727,196016,Team A,Team B,10,10,2,3,33800,22650,25000,23100,11400,22100,full,full,125701,7,Team B,3,0,391305308d8bb198
21,158727,196016,160007,197877,162898,201455,163218,201845,Team A,Team B,10,11,2,3,36400,20150,25100,22900,24400,18350,full,full,68747,8,Team B,3,0,391305308d8bb198
22,163218,201845,164498,203661,168604,208678,168924,209086,Team A,Team B,11,11,2,3,24300,19550,23000,24450,21700,10300,full,full,86366,9,Team A,2,0,391305308d8bb198
23,171212,212139,172492,213782,176718,218888,177038,219277,Team A,Team B,12,11,2,3,20650,17450,25100,17150,16000,15950,full,force-buy,85305,9,Team A,2,0,391305308d8bb198
24,177038,219277,178318,221086,185718,229890,185718,229890,Team A,Team B,13,11,2,3,31250,13200,26100,11900,9200,11300,full,force-buy,134144,9,Team A,2,0,391305308d8bb198
