name,steamid,score,team name,kills,assists,deaths,headshots,hs %,k/d,kast,avg damages per round,avg kills per round,avg death per round,utility_damage_per_round,mvp,rank type,rank,old rank,win count,bomb planted,bomb defused,hostage rescued,health damage,armor damage,utility damage,1v1,1v2,1v3,1v4,1v5,1v1 won,1v2 won,1v3 won,1v4 won,1v5 won,1v1 lost,1v2 lost,1v3 lost,1v4 lost,1v5 lost,first kill,first death,trade kill,trade death,first trade kill,first trade death,1k,2k,3k,4k,5k,htlv 2,htlv,crosshair share code,color,inspect weapon count,match checksum
jabbi,76561198120557348,22,Team B,8,3,10,6,75,0.800000,69.230774,65.230766,0.615385,0.769231,8.538462,1,-1,0,0,0,2,0,0,848,109,111,7,10,10,6,5,1,2,0,0,0,6,8,10,6,5,0,0,1,2,0,0,3,1,1,0,0,0.920537,0.881368,CSGO-jaLLt-fVhJi-nd92x-VGVfs-8HSuK,4,0,42946d021e655086
dev1ce,76561197987713664,22,Team B,7,4,11,1,14,0.636364,76.923080,80.461540,0.538462,0.846154,4.538462,1,-1,0,0,0,1,0,0,1046,68,59,3,6,6,2,1,1,2,0,0,0,2,4,6,2,1,1,1,1,3,0,0,5,1,0,0,0,0.925613,0.620326,CSGO-h2u9J-MU5aJ-Y3YVY-eQnXT-Xh5BO,4,0,42946d021e655086
cadiaN,76561198004115516,11,Team B,4,1,12,3,75,0.333333,61.538464,34.769230,0.307692,0.923077,1.461538,0,-1,0,0,0,1,0,0,452,33,19,3,6,6,2,1,1,2,0,0,0,2,4,6,2,1,0,2,3,3,0,1,4,0,0,0,0,0.403646,0.319987,CSGO-jaLLt-fVhJi-nd92x-VGVfs-8HSuK,0,0,42946d021e655086
Staehr,76561198005107817,15,Team B,5,4,11,3,60,0.454545,69.230774,49.000000,0.384615,0.846154,0.769231,0,-1,0,0,0,0,0,0,637,87,10,2,5,5,1,0,1,2,0,0,0,1,3,5,1,0,3,1,1,2,0,0,5,0,0,0,0,0.635808,0.447168,CSGO-X3rjh-2SDus-m5Z4C-Swu3r-QQSFE,1,0,42946d021e655086
Liazz,76561198072321716,27,Team A,10,5,6,4,40,1.666667,84.615387,67.692307,0.769231,0.461538,6.769231,1,-1,0,0,0,0,1,0,880,213,88,2,5,5,1,0,1,2,0,0,0,1,3,5,1,0,4,1,3,1,0,0,6,2,0,0,0,1.352993,1.172312,CSGO-GeseW-QuzTx-q9k3F-VvRrc-LzkXM,1,0,42946d021e655086
stavn,76561198022365638,20,Team B,9,1,10,5,55,0.900000,69.230774,63.846153,0.692308,0.769231,0.000000,0,-1,0,0,0,0,0,0,830,107,0,5,8,8,4,3,2,3,1,1,1,3,5,7,3,2,1,3,3,2,0,2,3,3,0,0,0,0.967267,0.901016,CSGO-WnQHE-BTaKA-wHs7v-KR8QX-o2OtQ,2,0,42946d021e655086
Vexite,76561198052888143,17,Team A,7,4,10,3,42,0.700000,69.230774,64.692307,0.538462,0.769231,9.692307,1,-1,0,0,0,0,0,0,841,261,126,2,5,5,1,0,1,2,0,0,0,1,3,5,1,0,0,2,0,2,0,0,1,3,0,0,0,0.859990,0.772478,CSGO-FjCET-d7PyG-fn68P-7sEAh-hej5P,4,0,42946d021e655086
regali,76561198098463229,24,Team A,12,1,3,2,16,4.000000,92.307693,71.153847,0.923077,0.230769,2.769231,2,-1,0,0,0,0,0,0,925,60,36,5,8,8,4,3,3,4,2,2,2,2,4,6,2,1,1,0,2,1,0,0,8,2,0,0,0,1.645522,1.489585,CSGO-WnQHE-BTaKA-wHs7v-KR8QX-o2OtQ,3,0,42946d021e655086
dexter,76561198061801241,32,Team A,14,3,6,6,42,2.333333,84.615387,124.076920,1.076923,0.461538,3.384615,4,-1,0,0,0,0,0,0,1613,251,44,2,5,5,1,0,1,2,0,0,0,1,3,5,1,0,0,1,0,0,0,0,3,4,1,0,0,1.784046,1.652489,CSGO-WnQHE-BTaKA-wHs7v-KR8QX-o2OtQ,0,0,42946d021e655086
INS,76561197987212623,27,Team A,11,5,8,4,36,1.375000,84.615387,91.538460,0.846154,0.615385,9.076923,2,-1,0,0,0,0,1,0,1190,216,118,2,5,5,1,0,1,2,0,0,0,1,3,5,1,0,2,1,0,2,0,0,4,2,1,0,0,1.413803,1.244618,CSGO-hw79o-bXe28-8kAqf-2r5wG-oZJaA,2,0,42946d021e655086
