steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198004115516,cadiaN,2,3550,3500,4100,pistol,1,c39d8c39a8021aa0
76561198072321716,Liazz,3,4300,1300,4850,pistol,1,c39d8c39a8021aa0
76561198005107817,Staehr,2,4300,4300,4700,pistol,1,c39d8c39a8021aa0
76561198052888143,Vexite,3,4700,4200,5250,pistol,1,c39d8c39a8021aa0
76561198061801241,dexter,3,4300,700,4950,pistol,1,c39d8c39a8021aa0
76561198098463229,regali,3,5000,2000,7650,pistol,1,c39d8c39a8021aa0
76561197987212623,INS,3,3800,2700,5800,pistol,1,c39d8c39a8021aa0
76561198120557348,jabbi,2,4350,4200,4400,pistol,1,c39d8c39a8021aa0
76561198022365638,stavn,2,4550,4400,4600,pistol,1,c39d8c39a8021aa0
76561197987713664,dev1ce,2,3700,1400,4900,pistol,1,c39d8c39a8021aa0
76561198098463229,regali,3,4400,4350,4550,full,2,c39d8c39a8021aa0
76561198052888143,Vexite,3,2500,2350,2350,force-buy,2,c39d8c39a8021aa0
76561198022365638,stavn,2,3400,2350,2550,semi,2,c39d8c39a8021aa0
76561197987212623,INS,3,2500,2450,2450,force-buy,2,c39d8c39a8021aa0
76561198004115516,cadiaN,2,3300,2200,5100,full,2,c39d8c39a8021aa0
76561198005107817,Staehr,2,4450,3200,5100,full,2,c39d8c39a8021aa0
76561198072321716,Liazz,3,5000,4850,5050,full,2,c39d8c39a8021aa0
76561198120557348,jabbi,2,3400,3400,3600,semi,2,c39d8c39a8021aa0
76561197987713664,dev1ce,2,6150,4800,5000,full,2,c39d8c39a8021aa0
76561198061801241,dexter,3,5000,4850,5050,full,2,c39d8c39a8021aa0
76561198052888143,Vexite,3,2350,0,500,eco,3,c39d8c39a8021aa0
76561197987713664,dev1ce,2,4850,1000,5400,full,3,c39d8c39a8021aa0
76561198004115516,cadiaN,2,4900,1200,5100,full,3,c39d8c39a8021aa0
76561197987212623,INS,3,1950,0,1200,semi,3,c39d8c39a8021aa0
76561198022365638,stavn,2,5150,4900,5100,full,3,c39d8c39a8021aa0
76561198061801241,dexter,3,2050,300,4550,full,3,c39d8c39a8021aa0
76561198120557348,jabbi,2,3500,2100,5000,full,3,c39d8c39a8021aa0
76561198005107817,Staehr,2,5050,3700,5100,full,3,c39d8c39a8021aa0
76561198072321716,Liazz,3,2350,0,4750,full,3,c39d8c39a8021aa0
76561198098463229,regali,3,1950,0,4550,full,3,c39d8c39a8021aa0
76561198072321716,Liazz,3,5050,5050,5250,full,4,c39d8c39a8021aa0
76561197987212623,INS,3,4350,4350,5050,full,4,c39d8c39a8021aa0
76561198120557348,jabbi,2,4900,3150,3350,semi,4,c39d8c39a8021aa0
76561198022365638,stavn,2,4650,2200,5100,full,4,c39d8c39a8021aa0
76561197987713664,dev1ce,2,8250,3500,5400,full,4,c39d8c39a8021aa0
76561198061801241,dexter,3,5050,5050,4550,full,4,c39d8c39a8021aa0
76561198004115516,cadiaN,2,7200,3250,3450,semi,4,c39d8c39a8021aa0
76561198098463229,regali,3,4350,4350,4550,full,4,c39d8c39a8021aa0
76561198005107817,Staehr,2,4850,4800,5000,full,4,c39d8c39a8021aa0
76561198052888143,Vexite,3,4750,4650,5050,full,4,c39d8c39a8021aa0
76561197987713664,dev1ce,2,6150,6050,6250,full,5,c39d8c39a8021aa0
76561198004115516,cadiaN,2,6550,6400,4300,full,5,c39d8c39a8021aa0
76561198005107817,Staehr,2,1450,1300,4200,full,5,c39d8c39a8021aa0
76561197987212623,INS,3,3250,1650,5800,full,5,c39d8c39a8021aa0
76561198098463229,regali,3,4150,4000,4850,full,5,c39d8c39a8021aa0
76561198022365638,stavn,2,3850,3700,4600,full,5,c39d8c39a8021aa0
76561198061801241,dexter,3,3550,2900,5800,full,5,c39d8c39a8021aa0
76561198052888143,Vexite,3,3350,2900,5800,full,5,c39d8c39a8021aa0
76561198072321716,Liazz,3,3550,3400,5150,full,5,c39d8c39a8021aa0
76561198120557348,jabbi,2,3150,3100,2500,force-buy,5,c39d8c39a8021aa0
76561198052888143,Vexite,3,3700,2900,5900,full,6,c39d8c39a8021aa0
76561197987212623,INS,3,5150,5150,5800,full,6,c39d8c39a8021aa0
76561198022365638,stavn,2,2350,2200,2200,force-buy,6,c39d8c39a8021aa0
76561197987713664,dev1ce,2,2000,2000,2000,force-buy,6,c39d8c39a8021aa0
76561198120557348,jabbi,2,1950,1850,1850,force-buy,6,c39d8c39a8021aa0
76561198061801241,dexter,3,4800,4750,4950,full,6,c39d8c39a8021aa0
76561198005107817,Staehr,2,2350,2300,2300,force-buy,6,c39d8c39a8021aa0
76561198098463229,regali,3,3700,2900,5600,full,6,c39d8c39a8021aa0
76561198072321716,Liazz,3,3400,3200,6100,full,6,c39d8c39a8021aa0
76561198004115516,cadiaN,2,2050,2000,2000,force-buy,6,c39d8c39a8021aa0
76561198022365638,stavn,3,800,650,1350,pistol,7,c39d8c39a8021aa0
76561197987713664,dev1ce,3,800,650,850,pistol,7,c39d8c39a8021aa0
76561198005107817,Staehr,3,800,800,700,pistol,7,c39d8c39a8021aa0
76561198072321716,Liazz,2,800,700,900,pistol,7,c39d8c39a8021aa0
76561198061801241,dexter,2,800,700,900,pistol,7,c39d8c39a8021aa0
76561198004115516,cadiaN,3,800,650,850,pistol,7,c39d8c39a8021aa0
76561198098463229,regali,2,800,650,850,pistol,7,c39d8c39a8021aa0
76561198120557348,jabbi,3,800,650,1350,pistol,7,c39d8c39a8021aa0
76561198052888143,Vexite,2,800,650,850,pistol,7,c39d8c39a8021aa0
76561197987212623,INS,2,800,700,900,pistol,7,c39d8c39a8021aa0
76561198005107817,Staehr,3,1900,1750,1750,force-buy,8,c39d8c39a8021aa0
76561198120557348,jabbi,3,2650,2550,2750,force-buy,8,c39d8c39a8021aa0
76561198022365638,stavn,3,2050,1950,1950,force-buy,8,c39d8c39a8021aa0
76561198004115516,cadiaN,3,2050,1950,1950,force-buy,8,c39d8c39a8021aa0
76561198098463229,regali,2,3700,3700,3900,semi,8,c39d8c39a8021aa0
76561198052888143,Vexite,2,4300,4200,4400,full,8,c39d8c39a8021aa0
76561198072321716,Liazz,2,3650,3250,3450,semi,8,c39d8c39a8021aa0
76561198061801241,dexter,2,3350,3250,3450,semi,8,c39d8c39a8021aa0
76561197987713664,dev1ce,3,2050,1900,2100,force-buy,8,c39d8c39a8021aa0
76561197987212623,INS,2,3650,3250,3450,semi,8,c39d8c39a8021aa0
76561198004115516,cadiaN,3,2500,300,500,eco,9,c39d8c39a8021aa0
76561198005107817,Staehr,3,2550,300,500,eco,9,c39d8c39a8021aa0
76561198098463229,regali,2,3500,2100,5000,full,9,c39d8c39a8021aa0
76561198072321716,Liazz,2,5400,3900,3450,semi,9,c39d8c39a8021aa0
76561197987212623,INS,2,3900,900,3450,semi,9,c39d8c39a8021aa0
76561198052888143,Vexite,2,4200,3900,5100,full,9,c39d8c39a8021aa0
76561198120557348,jabbi,3,2500,300,500,eco,9,c39d8c39a8021aa0
76561198022365638,stavn,3,2500,600,600,eco,9,c39d8c39a8021aa0
76561197987713664,dev1ce,3,3150,200,400,eco,9,c39d8c39a8021aa0
76561198061801241,dexter,2,3900,1700,4600,full,9,c39d8c39a8021aa0
76561198004115516,cadiaN,3,5100,4850,5050,full,10,c39d8c39a8021aa0
76561198098463229,regali,2,5550,300,5000,full,10,c39d8c39a8021aa0
76561198120557348,jabbi,3,5100,4850,5050,full,10,c39d8c39a8021aa0
76561198005107817,Staehr,3,5150,5000,5200,full,10,c39d8c39a8021aa0
76561198072321716,Liazz,2,5350,1200,3450,semi,10,c39d8c39a8021aa0
76561197987212623,INS,2,6250,1850,5100,full,10,c39d8c39a8021aa0
76561198022365638,stavn,3,4800,4700,4900,full,10,c39d8c39a8021aa0
76561198061801241,dexter,2,5750,1200,3450,semi,10,c39d8c39a8021aa0
76561198052888143,Vexite,2,3850,1350,5100,full,10,c39d8c39a8021aa0
76561197987713664,dev1ce,3,5850,5700,5900,full,10,c39d8c39a8021aa0
76561198052888143,Vexite,2,3900,2100,5000,full,11,c39d8c39a8021aa0
76561198072321716,Liazz,2,5550,4900,5100,full,11,c39d8c39a8021aa0
76561198022365638,stavn,3,3350,3200,3400,semi,11,c39d8c39a8021aa0
76561197987713664,dev1ce,3,3400,2900,7650,full,11,c39d8c39a8021aa0
76561198005107817,Staehr,3,4900,4900,5100,full,11,c39d8c39a8021aa0
76561197987212623,INS,2,5800,4900,5100,full,11,c39d8c39a8021aa0
76561198061801241,dexter,2,5950,4900,5100,full,11,c39d8c39a8021aa0
76561198004115516,cadiaN,3,3800,3700,3400,semi,11,c39d8c39a8021aa0
76561198098463229,regali,2,7850,7500,5000,full,11,c39d8c39a8021aa0
76561198120557348,jabbi,3,3500,3350,5200,full,11,c39d8c39a8021aa0
76561198098463229,regali,2,3150,1350,1350,semi,12,c39d8c39a8021aa0
76561198072321716,Liazz,2,4050,500,4400,full,12,c39d8c39a8021aa0
76561198022365638,stavn,3,4250,4200,4400,semi,12,c39d8c39a8021aa0
76561198005107817,Staehr,3,4100,3550,3750,semi,12,c39d8c39a8021aa0
76561197987212623,INS,2,3700,1900,1900,semi,12,c39d8c39a8021aa0
76561198120557348,jabbi,3,3650,2700,5800,full,12,c39d8c39a8021aa0
76561197987713664,dev1ce,3,4300,4200,7650,full,12,c39d8c39a8021aa0
76561198061801241,dexter,2,3550,2000,2000,semi,12,c39d8c39a8021aa0
76561198004115516,cadiaN,3,4200,3550,3750,semi,12,c39d8c39a8021aa0
76561198052888143,Vexite,2,4300,1900,1900,semi,12,c39d8c39a8021aa0
76561198004115516,cadiaN,3,4750,2850,3050,semi,13,c39d8c39a8021aa0
