steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198016255205,Twistzz,2,800,650,950,pistol,1,6ef292ed1ac32c41
76561198104626893,LNZ,3,800,800,400,pistol,1,6ef292ed1ac32c41
76561199137143905,yxngstxr,3,800,650,850,pistol,1,6ef292ed1ac32c41
76561197977105184,jks,2,800,650,850,pistol,1,6ef292ed1ac32c41
76561198053126645,NertZ,2,800,650,850,pistol,1,6ef292ed1ac32c41
76561198001151695,NAF,2,800,700,900,pistol,1,6ef292ed1ac32c41
76561198872013168,tN1R,3,800,650,850,pistol,1,6ef292ed1ac32c41
76561198178209109,xfl0ud,3,800,650,850,pistol,1,6ef292ed1ac32c41
76561198283989223,ultimate,2,800,800,700,pistol,1,6ef292ed1ac32c41
76561198309839541,SunPayus,3,800,650,1250,pistol,1,6ef292ed1ac32c41
76561198178209109,xfl0ud,3,2050,2000,2000,force-buy,2,6ef292ed1ac32c41
76561198309839541,SunPayus,3,2050,1700,1900,force-buy,2,6ef292ed1ac32c41
76561199137143905,yxngstxr,3,2050,1800,1800,force-buy,2,6ef292ed1ac32c41
76561197977105184,jks,2,3950,3150,4300,full,2,6ef292ed1ac32c41
76561198053126645,NertZ,2,3650,3650,4550,full,2,6ef292ed1ac32c41
76561198872013168,tN1R,3,2350,2300,2500,force-buy,2,6ef292ed1ac32c41
76561198283989223,ultimate,2,4100,4000,4200,full,2,6ef292ed1ac32c41
76561198104626893,LNZ,3,2200,2200,2400,force-buy,2,6ef292ed1ac32c41
76561198001151695,NAF,2,3600,3250,3450,semi,2,6ef292ed1ac32c41
76561198016255205,Twistzz,2,4250,4200,4500,full,2,6ef292ed1ac32c41
76561198283989223,ultimate,2,3350,2100,5000,full,3,6ef292ed1ac32c41
76561198053126645,NertZ,2,3250,300,4750,full,3,6ef292ed1ac32c41
76561199137143905,yxngstxr,3,2650,500,500,eco,3,6ef292ed1ac32c41
76561198872013168,tN1R,3,2450,300,300,eco,3,6ef292ed1ac32c41
76561197977105184,jks,2,4050,900,4300,full,3,6ef292ed1ac32c41
76561198001151695,NAF,2,4800,2050,3450,semi,3,6ef292ed1ac32c41
76561198309839541,SunPayus,3,2750,500,500,eco,3,6ef292ed1ac32c41
76561198178209109,xfl0ud,3,2450,0,200,eco,3,6ef292ed1ac32c41
76561198016255205,Twistzz,2,4200,1200,5200,full,3,6ef292ed1ac32c41
76561198104626893,LNZ,3,3000,0,200,eco,3,6ef292ed1ac32c41
76561197977105184,jks,2,6700,0,4300,full,4,6ef292ed1ac32c41
76561198872013168,tN1R,3,5050,4850,5050,full,4,6ef292ed1ac32c41
76561198001151695,NAF,2,6600,2250,3450,semi,4,6ef292ed1ac32c41
76561198309839541,SunPayus,3,5150,5050,6600,full,4,6ef292ed1ac32c41
76561198104626893,LNZ,3,5900,5900,4750,full,4,6ef292ed1ac32c41
76561198178209109,xfl0ud,3,5350,5200,5400,full,4,6ef292ed1ac32c41
76561198283989223,ultimate,2,4800,300,5000,full,4,6ef292ed1ac32c41
76561198053126645,NertZ,2,6500,1900,4800,full,4,6ef292ed1ac32c41
76561198016255205,Twistzz,2,6550,800,5400,full,4,6ef292ed1ac32c41
76561199137143905,yxngstxr,3,5350,5200,5400,full,4,6ef292ed1ac32c41
76561198178209109,xfl0ud,3,3700,2700,5800,full,5,6ef292ed1ac32c41
76561198872013168,tN1R,3,3450,1300,5050,full,5,6ef292ed1ac32c41
76561198283989223,ultimate,2,5900,4800,5000,full,5,6ef292ed1ac32c41
76561198104626893,LNZ,3,3550,2350,5450,full,5,6ef292ed1ac32c41
