frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
6250,5175,1,4,3,0,76561197977105184,jks,1,0,2cdde6ece4c31865
18291,15141,2,2,2,0,76561197975129851,Sonic,0,0,2cdde6ece4c31865
27302,22334,3,4,2,0,76561198408199043,phzy,0,0,2cdde6ece4c31865
33330,27168,4,5,2,0,76561198408199043,phzy,0,0,2cdde6ece4c31865
39900,32213,5,2,3,0,76561198053126645,NertZ,1,0,2cdde6ece4c31865
43340,35189,5,1,2,1,76561197981849043,stanislaw,1,0,2cdde6ece4c31865
54348,43955,6,5,2,0,76561197981849043,stanislaw,0,0,2cdde6ece4c31865
62475,50568,7,3,2,0,76561197981849043,stanislaw,0,0,2cdde6ece4c31865
72508,58615,8,3,2,0,76561197981849043,stanislaw,0,2,2cdde6ece4c31865
74455,60305,8,1,3,1,76561198016255205,Twistzz,1,1,2cdde6ece4c31865
81392,65681,9,4,2,0,76561197975129851,Sonic,0,1,2cdde6ece4c31865
93683,75621,10,3,2,0,76561198184153575,JBa,0,0,2cdde6ece4c31865
101416,81670,11,3,3,0,76561197977105184,jks,1,0,2cdde6ece4c31865
113449,91258,12,3,2,0,76561198342718168,susp,0,0,2cdde6ece4c31865
135822,108996,13,4,2,0,76561198016255205,Twistzz,0,1,2cdde6ece4c31865
141337,113277,14,4,2,0,76561197977105184,jks,0,1,2cdde6ece4c31865
151060,120983,15,2,3,0,76561197975129851,Sonic,0,0,2cdde6ece4c31865
160513,128618,16,3,2,0,76561198001151695,NAF,1,0,2cdde6ece4c31865
173355,138951,17,2,2,0,76561198001151695,NAF,0,1,2cdde6ece4c31865
174038,139557,17,1,3,1,76561198408199043,phzy,1,1,2cdde6ece4c31865
179172,143477,18,3,2,0,76561198016255205,Twistzz,0,0,2cdde6ece4c31865
188875,151040,19,5,2,0,76561198053126645,NertZ,0,1,2cdde6ece4c31865
199083,159112,20,4,2,0,76561198016255205,Twistzz,0,2,2cdde6ece4c31865
226568,181236,22,3,2,0,76561198283989223,ultimate,0,1,2cdde6ece4c31865
238207,190745,23,3,3,0,76561198184153575,JBa,1,1,2cdde6ece4c31865
250286,200528,24,4,2,0,76561198283989223,ultimate,0,1,2cdde6ece4c31865
261241,209437,25,2,3,0,76561197975129851,Sonic,1,0,2cdde6ece4c31865
262837,210828,25,1,2,1,76561197977105184,jks,1,0,2cdde6ece4c31865
273071,219040,26,3,3,0,76561198408199043,phzy,0,2,2cdde6ece4c31865
273669,219560,26,1,2,1,76561198001151695,NAF,0,1,2cdde6ece4c31865
287259,230381,27,4,3,0,76561197975129851,Sonic,0,1,2cdde6ece4c31865
297799,238650,28,5,2,0,76561197981849043,stanislaw,0,3,2cdde6ece4c31865
