frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
94,54,1,76561198342718168,2,susp,Kevlar Vest,equipment,01JM6ER8Z83WEZ73TYSQ5TW6TG,0,2cdde6ece4c31865
119,75,1,76561198283989223,3,ultimate,Kevlar Vest,equipment,01JM6ER8Z9KVGPPJJ6FJB007BP,0,2cdde6ece4c31865
143,92,1,76561197977105184,3,jks,Kevlar Vest,equipment,01JM6ER8Z9KVGPPJJ6FN33KNR3,0,2cdde6ece4c31865
173,113,1,76561198001151695,3,NAF,Kevlar Vest,equipment,01JM6ER8ZAXXHX5T142SMTJDV9,0,2cdde6ece4c31865
365,274,1,76561198408199043,2,phzy,Smoke Grenade,grenade,01JM6ER8ZECYVWPQ47CZP82VZM,0,2cdde6ece4c31865
375,284,1,76561198408199043,2,phzy,Flashbang,grenade,01JM6ER8ZECYVWPQ47D2JJGR6X,0,2cdde6ece4c31865
386,295,1,76561198184153575,2,JBa,Kevlar Vest,equipment,01JM6ER8ZFZSW2YC5ER2W56V4T,0,2cdde6ece4c31865
449,342,1,76561197981849043,2,stanislaw,Kevlar Vest,equipment,01JM6ER8ZGY7EW5MM1QNYBM8Y8,0,2cdde6ece4c31865
492,372,1,76561198283989223,3,ultimate,Dual Berettas,pistol,01JM6ER8ZECYVWPQ47CW16YEE1,0,2cdde6ece4c31865
577,438,1,76561198016255205,3,Twistzz,Flashbang,grenade,01JM6ER8ZJYD1NK10JCMK87WTX,0,2cdde6ece4c31865
593,452,1,76561198283989223,3,ultimate,Dual Berettas,pistol,01JM6ER8ZH65GK95JK6BQMSY13,0,2cdde6ece4c31865
784,579,1,76561198053126645,3,NertZ,Kevlar Vest,equipment,01JM6ER8ZNATATWEWWNF6BZZVH,0,2cdde6ece4c31865
8718,7297,2,76561197975129851,2,Sonic,Kevlar + Helmet,equipment,01JM6ER9ABQGM6PFKT2T1RD9HJ,0,2cdde6ece4c31865
8744,7313,2,76561197975129851,2,Sonic,AK-47,rifle,01JM6ER9ACV1V6Z7YT3N19MM67,0,2cdde6ece4c31865
8789,7342,2,76561198342718168,2,susp,AK-47,rifle,01JM6ER9ACV1V6Z7YT3Q2FGEY2,0,2cdde6ece4c31865
8794,7347,2,76561197975129851,2,Sonic,Molotov,grenade,01JM6ER9ADVVFB3B64XDA51N8K,0,2cdde6ece4c31865
8802,7355,2,76561198342718168,2,susp,Kevlar + Helmet,equipment,01JM6ER9ADVVFB3B64XEAREMXK,0,2cdde6ece4c31865
8819,7367,2,76561198408199043,2,phzy,Kevlar + Helmet,equipment,01JM6ER9ADVVFB3B64XF514JEV,0,2cdde6ece4c31865
8835,7380,2,76561198342718168,2,susp,Smoke Grenade,grenade,01JM6ER9ADVVFB3B64XG4CFT4B,0,2cdde6ece4c31865
8846,7388,2,76561197975129851,2,Sonic,Smoke Grenade,grenade,01JM6ER9ADVVFB3B64XHF4X4Z7,0,2cdde6ece4c31865
8856,7394,2,76561198342718168,2,susp,Molotov,grenade,01JM6ER9AENCTYVAW2646QT3R9,0,2cdde6ece4c31865
8872,7407,2,76561197975129851,2,Sonic,HE Grenade,grenade,01JM6ER9AENCTYVAW2648G87S7,0,2cdde6ece4c31865
8884,7416,2,76561198342718168,2,susp,HE Grenade,grenade,01JM6ER9AENCTYVAW2677WRDZP,0,2cdde6ece4c31865
8899,7424,2,76561197975129851,2,Sonic,Flashbang,grenade,01JM6ER9AFZE6ASZS6676WV173,0,2cdde6ece4c31865
8910,7429,2,76561198342718168,2,susp,Flashbang,grenade,01JM6ER9AFZE6ASZS668F8HBHF,0,2cdde6ece4c31865
8928,7439,2,76561197981849043,2,stanislaw,MAC-10,smg,01JM6ER9AFZE6ASZS66CC4KFKS,0,2cdde6ece4c31865
8970,7459,2,76561197981849043,2,stanislaw,Kevlar + Helmet,equipment,01JM6ER9AGVSTD705QAXAQ8E5C,0,2cdde6ece4c31865
9019,7489,2,76561198184153575,2,JBa,Galil AR,rifle,01JM6ER9AHY4C1KC15QF80X8K1,0,2cdde6ece4c31865
9024,7493,2,76561197981849043,2,stanislaw,Smoke Grenade,grenade,01JM6ER9AHY4C1KC15QHP4GE0X,0,2cdde6ece4c31865
9038,7504,2,76561198184153575,2,JBa,Kevlar + Helmet,equipment,01JM6ER9AHY4C1KC15QJPB27MG,0,2cdde6ece4c31865
9042,7507,2,76561197981849043,2,stanislaw,HE Grenade,grenade,01JM6ER9AHY4C1KC15QM19HCYB,0,2cdde6ece4c31865
9057,7517,2,76561197981849043,2,stanislaw,Molotov,grenade,01JM6ER9AJ9N4KB66J1ANCNM8H,0,2cdde6ece4c31865
9070,7530,2,76561197981849043,2,stanislaw,Flashbang,grenade,01JM6ER9AJ9N4KB66J1CQJ2H8Q,0,2cdde6ece4c31865
9081,7540,2,76561198184153575,2,JBa,Smoke Grenade,grenade,01JM6ER9AJ9N4KB66J1DBZJ2DJ,0,2cdde6ece4c31865
