frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
3164,2568,1,dev1ce,76561197987713664,3,Team A,dav1deuS,76561198120491311,2,Team B,,0,0,,Dual Berettas,pistol,1,0,0,0,0,0,-616.156921,1347.411377,-109.742371,0,0,-871.214966,1439.654785,-112.472473,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,6.926173,2e4c30c44c381f4a
4313,3517,1,nqz,76561198350342505,2,Team B,Staehr,76561198005107817,3,Team A,snow,76561198377335846,2,Team B,P250,pistol,0,0,0,0,0,0,1304.495117,1195.296143,1.031250,0,0,1409.049561,2274.283936,1.398359,0,0,0,1298.965942,1727.243286,1.031250,0,0,1,0,27.529541,2e4c30c44c381f4a
4493,3669,1,kauez,76561198385657675,2,Team B,stavn,76561198022365638,3,Team A,,0,0,,Glock-18,pistol,1,0,0,0,0,0,1419.419189,2483.443848,46.520363,0,1,1197.909546,2600.511230,97.212608,0,1,0,0.000000,0.000000,0.000000,0,1,0,0,6.534241,2e4c30c44c381f4a
4613,3778,1,dev1ce,76561197987713664,3,Team A,kauez,76561198385657675,2,Team B,cadiaN,76561198004115516,3,Team A,Dual Berettas,pistol,1,0,1,0,0,0,459.541046,2692.555420,95.884254,0,1,1373.274536,2604.079590,79.167992,0,0,0,684.575439,2129.195312,-72.823914,1,0,0,0,23.326799,2e4c30c44c381f4a
5576,4626,1,jabbi,76561198120557348,3,Team A,nqz,76561198350342505,2,Team B,,0,0,,USP-S,pistol,1,0,0,0,0,0,1101.464355,2264.142822,13.985363,0,0,1456.493652,1718.790039,-7.718384,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,16.536032,2e4c30c44c381f4a
5766,4794,1,cadiaN,76561198004115516,3,Team A,biguzera,76561198015308884,2,Team B,jabbi,76561198120557348,3,Team A,USP-S,pistol,0,0,0,0,0,0,1125.463135,2132.047852,1.485445,0,0,1426.677979,2427.604736,30.996441,0,0,0,1255.799194,2074.624268,0.884505,0,0,0,0,10.744067,2e4c30c44c381f4a
5921,4937,1,dev1ce,76561197987713664,3,Team A,snow,76561198377335846,2,Team B,,0,0,,Dual Berettas,pistol,0,0,0,0,0,0,591.559387,2625.460938,95.357689,0,0,1006.158630,2600.801514,96.531250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,10.568820,2e4c30c44c381f4a
9340,7565,2,stavn,76561198022365638,3,Team A,dav1deuS,76561198120491311,2,Team B,,0,0,,M4A1,rifle,0,1,0,0,0,0,-82.149048,1578.240845,2.341320,0,0,-228.578308,480.647919,-1.527222,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,28.127752,2e4c30c44c381f4a
12251,10077,2,Staehr,76561198005107817,3,Team A,kauez,76561198385657675,2,Team B,,0,0,,MP9,smg,0,0,0,0,0,0,861.753479,874.726929,0.363810,0,0,657.866211,797.860413,0.556332,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,5.538273,2e4c30c44c381f4a
12475,10274,2,Staehr,76561198005107817,3,Team A,snow,76561198377335846,2,Team B,,0,0,,MP9,smg,1,0,0,0,0,0,636.547852,1059.128174,0.984236,0,0,641.891113,598.888550,0.898550,0,0,0,0.000000,0.000000,0.000000,0,0,1,0,11.691088,2e4c30c44c381f4a
