name,steamid,score,team name,kills,assists,deaths,headshots,hs %,k/d,kast,avg damages per round,avg kills per round,avg death per round,utility_damage_per_round,mvp,rank type,rank,old rank,win count,bomb planted,bomb defused,hostage rescued,health damage,armor damage,utility damage,1v1,1v2,1v3,1v4,1v5,1v1 won,1v2 won,1v3 won,1v4 won,1v5 won,1v1 lost,1v2 lost,1v3 lost,1v4 lost,1v5 lost,first kill,first death,trade kill,trade death,first trade kill,first trade death,1k,2k,3k,4k,5k,htlv 2,htlv,crosshair share code,color,inspect weapon count,match checksum
nqz,76561198350342505,31,Team B,10,3,10,1,10,1.000000,77.777779,69.111115,0.555556,0.555556,0.777778,1,-1,0,0,0,3,0,0,1244,56,14,5,6,13,7,5,0,0,1,0,0,5,6,12,7,5,1,0,3,2,0,0,6,0,0,1,0,1.051116,1.021009,CSGO-iuXxN-Z4tML-FcpUT-2pfxZ-kSLoD,0,0,a9fedde9b99c606b
kauez,76561198385657675,23,Team B,8,4,12,6,75,0.666667,77.777779,64.000000,0.444444,0.666667,5.333333,1,-1,0,0,0,1,0,0,1152,214,96,5,6,13,7,5,0,0,1,0,0,5,6,12,7,5,2,1,3,2,0,1,6,1,0,0,0,0.885047,0.676175,CSGO-CUqL5-6bLpJ-bVHm5-wyEOd-2pFKO,3,0,a9fedde9b99c606b
dav1deuS,76561198120491311,39,Team B,16,4,14,11,68,1.142857,72.222221,89.111115,0.888889,0.777778,1.944444,3,-1,0,0,0,1,0,0,1604,176,35,2,3,10,4,2,0,0,1,0,0,2,3,9,4,2,4,2,5,3,0,1,4,6,0,0,0,1.249785,1.117763,CSGO-96eQM-EXDqv-f7hSv-pkU8n-N4SKF,2,0,a9fedde9b99c606b
ztr,76561199009468655,31,Team A,12,5,10,5,41,1.200000,72.222221,85.111115,0.666667,0.555556,6.944445,3,-1,0,0,0,1,0,0,1532,253,125,2,3,10,4,2,0,0,1,0,0,2,3,9,4,2,3,0,0,2,0,0,8,2,0,0,0,1.168868,0.984939,CSGO-rZpZ7-WswDB-rtrYT-t8ANs-8t8rN,4,0,a9fedde9b99c606b
Tauson,76561198316706174,23,Team A,9,3,11,3,33,0.818182,83.333328,59.611111,0.500000,0.611111,5.833333,1,-1,0,0,0,0,0,0,1073,164,105,2,3,10,4,2,0,0,1,0,0,2,3,9,4,2,2,4,1,4,0,1,7,1,0,0,0,0.983648,0.768028,CSGO-phwUf-T6UD4-4EFi4-eyquk-OYTSH,4,0,a9fedde9b99c606b
snow,76561198377335846,10,Team B,5,0,15,2,40,0.333333,55.555557,30.333334,0.277778,0.833333,3.944444,0,-1,0,0,0,0,0,0,546,149,71,3,4,11,5,3,0,0,1,0,0,3,4,10,5,3,1,2,1,3,0,1,5,0,0,0,0,0.360080,0.368391,CSGO-a7v6E-GC3GN-JfUQj-KqSLV-7T8SA,4,0,a9fedde9b99c606b
PR,76561198310561479,34,Team A,16,4,8,5,31,2.000000,77.777779,91.000000,0.888889,0.444444,2.111111,2,-1,0,0,0,0,0,0,1638,232,38,2,3,10,4,2,0,0,1,0,0,2,3,9,4,2,2,0,3,2,0,0,7,0,3,0,0,1.474019,1.487057,CSGO-ZCfnv-2mwWn-PspZZ-RmXKq-EaVvD,0,0,a9fedde9b99c606b
REZ,76561198034172415,36,Team A,16,3,9,9,56,1.777778,77.777779,88.833336,0.888889,0.500000,3.333333,3,-1,0,0,0,0,0,0,1599,278,60,1,2,9,3,1,0,0,1,0,0,1,2,8,3,1,3,3,3,1,0,0,7,3,1,0,0,1.431945,1.344944,CSGO-3UtZZ-SdfmZ-bGNai-4WNVy-t2pxA,0,0,a9fedde9b99c606b
biguzera,76561198015308884,15,Team B,5,2,14,4,80,0.357143,61.111111,42.888889,0.277778,0.777778,2.000000,0,-1,0,0,0,0,0,0,772,51,36,2,3,10,4,2,0,0,1,0,0,2,3,9,4,2,0,5,0,4,0,3,5,0,0,0,0,0.481488,0.413827,CSGO-LneS2-EiZ6B-rSGmT-ySb95-OwUrC,1,0,a9fedde9b99c606b
sl3nd,76561198098071693,36,Team A,12,1,6,8,66,2.000000,83.333328,70.500000,0.666667,0.333333,1.833333,4,-1,0,0,0,3,0,0,1269,80,33,2,3,10,4,2,1,1,2,1,1,1,2,8,3,1,0,1,1,1,0,1,4,2,0,1,0,1.299507,1.360038,CSGO-7Wjo5-HxVV9-KsUAv-vXnWu-hCtdA,1,0,a9fedde9b99c606b
