steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198186878873,ag1l,2,800,650,1050,pistol,1,795130c6663b9062
76561199009468655,ztr,3,800,650,850,pistol,1,795130c6663b9062
76561198065448360,story,2,800,650,950,pistol,1,795130c6663b9062
76561197994395491,roman ,2,800,800,800,pistol,1,795130c6663b9062
76561198310561479,PR,3,800,650,850,pistol,1,795130c6663b9062
76561197997981170,MUTiRiS,2,800,700,600,pistol,1,795130c6663b9062
76561198034172415,REZ,3,800,650,850,pistol,1,795130c6663b9062
76561198026724513,Shr,2,800,650,850,pistol,1,795130c6663b9062
76561198098071693,sl3nd,3,800,650,850,pistol,1,795130c6663b9062
76561198316706174,Tauson,3,800,650,850,pistol,1,795130c6663b9062
76561197997981170,MUTiRiS,2,2600,700,700,eco,2,795130c6663b9062
76561198034172415,REZ,3,4000,3550,3750,semi,2,795130c6663b9062
76561198098071693,sl3nd,3,3400,3350,3550,semi,2,795130c6663b9062
76561198316706174,Tauson,3,3700,3650,5500,full,2,795130c6663b9062
76561198186878873,ag1l,2,2050,0,200,eco,2,795130c6663b9062
76561197994395491,roman ,2,2200,0,200,eco,2,795130c6663b9062
76561199009468655,ztr,3,4000,3850,3250,semi,2,795130c6663b9062
76561198065448360,story,2,2050,0,200,eco,2,795130c6663b9062
76561198310561479,PR,3,3400,3350,3550,semi,2,795130c6663b9062
76561198026724513,Shr,2,2050,0,200,eco,2,795130c6663b9062
