frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
1477,286,1,76561198034172415,3,REZ,M4A1,rifle,01JM6ETJ67G62VQH8K3WZVGSVW,0,524c22e996af05d8
1593,311,1,76561198034172415,3,REZ,Incendiary Grenade,grenade,01JM6ETJ69ACM7P12BAFJ03S47,0,524c22e996af05d8
2568,551,1,76561198098071693,3,sl3nd,AWP,sniper,01JM6ETJ5PGTBN5HD0D0RF2122,0,524c22e996af05d8
2842,608,1,76561198098071693,3,sl3nd,Kevlar + Helmet,equipment,01JM6ETJ6R6EHR9YQTX4G2SWAH,0,524c22e996af05d8
2878,623,1,76561198098071693,3,sl3nd,Flashbang,grenade,01JM6ETJ6R6EHR9YQTXAY8EVNX,0,524c22e996af05d8
2895,626,1,76561198098071693,3,sl3nd,Smoke Grenade,grenade,01JM6ETJ6R6EHR9YQTXFEGYKE9,0,524c22e996af05d8
2898,629,1,76561198098071693,3,sl3nd,HE Grenade,grenade,01JM6ETJ6R6EHR9YQTXJVTWEA1,0,524c22e996af05d8
2907,638,1,76561198098071693,3,sl3nd,Incendiary Grenade,grenade,01JM6ETJ6R6EHR9YQTXPF847RD,0,524c22e996af05d8
4577,1139,1,76561198310561479,3,PR,Kevlar + Helmet,equipment,01JM6ETJ7C7074JX5W2QZNFAFG,0,524c22e996af05d8
4602,1150,1,76561198316706174,3,Tauson,M4A1,rifle,01JM6ETJ7C7074JX5W2S6A9XTT,0,524c22e996af05d8
4650,1163,1,76561198310561479,3,PR,MP9,smg,01JM6ETJ7D1TBGC6EJJKQ7XZ3W,0,524c22e996af05d8
4650,1163,1,76561198316706174,3,Tauson,Kevlar + Helmet,equipment,01JM6ETJ7D1TBGC6EJJPD8D9ZG,0,524c22e996af05d8
4778,1214,1,76561198316706174,3,Tauson,Smoke Grenade,grenade,01JM6ETJ7FQ48DKEQMWVNCSC2Q,0,524c22e996af05d8
4843,1223,1,76561198316706174,3,Tauson,HE Grenade,grenade,01JM6ETJ7FQ48DKEQMWZMVG75X,0,524c22e996af05d8
4870,1229,1,76561198310561479,3,PR,Smoke Grenade,grenade,01JM6ETJ7GZQC94N2B5D5EZ64Z,0,524c22e996af05d8
