name,steamid,score,team name,kills,assists,deaths,headshots,hs %,k/d,kast,avg damages per round,avg kills per round,avg death per round,utility_damage_per_round,mvp,rank type,rank,old rank,win count,bomb planted,bomb defused,hostage rescued,health damage,armor damage,utility damage,1v1,1v2,1v3,1v4,1v5,1v1 won,1v2 won,1v3 won,1v4 won,1v5 won,1v1 lost,1v2 lost,1v3 lost,1v4 lost,1v5 lost,first kill,first death,trade kill,trade death,first trade kill,first trade death,1k,2k,3k,4k,5k,htlv 2,htlv,crosshair share code,color,inspect weapon count,match checksum
PR,76561198310561479,44,Team B,17,6,14,8,47,1.214286,72.727272,93.818184,0.772727,0.636364,3.909091,4,-1,0,0,0,2,0,0,2064,390,86,3,5,5,8,6,2,0,0,0,0,1,5,5,8,6,0,0,3,5,0,0,4,2,3,0,0,1.248523,1.233043,CSGO-ZCfnv-2mwWn-PspZZ-RmXKq-EaVvD,0,0,21e8fb23cd6fbd3c
REZ,76561198034172415,42,Team B,17,7,17,12,70,1.000000,81.818184,89.227272,0.772727,0.772727,5.454545,3,-1,0,0,0,1,0,0,1963,380,120,3,5,5,8,6,2,0,0,0,0,1,5,5,8,6,6,2,2,6,0,1,5,3,2,0,0,1.232056,1.068785,CSGO-3UtZZ-SdfmZ-bGNai-4WNVy-t2pxA,3,0,21e8fb23cd6fbd3c
Shr,76561198026724513,31,Team A,13,5,18,7,53,0.722222,68.181816,69.000000,0.590909,0.818182,0.500000,1,-1,0,0,0,0,0,0,1518,212,11,3,5,5,8,6,2,0,0,0,0,1,5,5,8,6,3,4,3,3,0,1,8,1,1,0,0,0.877352,0.747869,CSGO-WnQHE-BTaKA-wHs7v-KR8QX-o2OtQ,4,0,21e8fb23cd6fbd3c
Tauson,76561198316706174,24,Team B,8,8,14,5,62,0.571429,77.272728,51.727272,0.363636,0.636364,7.590909,0,-1,0,0,0,1,0,0,1138,286,167,4,6,6,9,7,2,0,0,0,0,2,6,6,9,7,2,5,4,4,0,1,4,2,0,0,0,0.802479,0.653951,CSGO-phwUf-T6UD4-4EFi4-eyquk-OYTSH,1,0,21e8fb23cd6fbd3c
story,76561198065448360,39,Team A,18,4,18,8,44,1.000000,68.181816,80.954544,0.818182,0.818182,3.227273,2,-1,0,0,0,0,0,0,1781,195,71,6,8,8,11,9,2,0,0,0,0,4,8,8,11,9,2,3,2,4,0,1,4,4,2,0,0,1.107518,1.095953,CSGO-vV7aw-jANzv-HDsfV-2aNTa-YfyHL,3,0,21e8fb23cd6fbd3c
ztr,76561199009468655,45,Team B,18,3,12,7,38,1.500000,77.272728,76.500000,0.818182,0.545455,7.863636,4,-1,0,0,0,1,2,0,1683,320,173,5,7,7,10,8,3,1,1,1,1,2,6,6,9,7,3,1,7,4,0,0,3,3,3,0,0,1.300435,1.371737,CSGO-rZpZ7-WswDB-rtrYT-t8ANs-8t8rN,4,0,21e8fb23cd6fbd3c
MUTiRiS,76561197997981170,36,Team A,13,7,14,5,38,0.928571,81.818184,74.136360,0.590909,0.636364,7.818182,2,-1,0,0,0,0,2,0,1631,178,172,3,5,5,8,6,2,0,0,0,0,1,5,5,8,6,0,2,1,3,0,1,5,2,0,1,0,1.099282,1.002035,CSGO-Bd7ys-qT9Ti-9a24R-DZ5Dh-Y2hWA,0,0,21e8fb23cd6fbd3c
roman ,76561197994395491,18,Team A,8,2,14,3,37,0.571429,59.090908,49.863636,0.363636,0.636364,10.045455,1,-1,0,0,0,0,0,0,1097,281,221,5,7,7,10,8,2,0,0,0,0,3,7,7,10,8,1,4,4,1,0,0,2,2,1,0,0,0.636618,0.746233,CSGO-QPtP3-N2bZ3-pzaZ9-ayOrc-qat4N,1,0,21e8fb23cd6fbd3c
sl3nd,76561198098071693,44,Team B,18,5,13,4,22,1.384615,90.909096,74.681816,0.818182,0.590909,1.500000,2,-1,0,0,0,1,0,0,1643,172,33,5,7,7,10,8,2,0,0,0,0,3,7,7,10,8,3,0,4,5,0,0,7,4,1,0,0,1.378997,1.202729,CSGO-7Wjo5-HxVV9-KsUAv-vXnWu-hCtdA,2,0,21e8fb23cd6fbd3c
ag1l,76561198186878873,44,Team A,17,4,15,8,47,1.133333,77.272728,81.772728,0.772727,0.681818,1.272727,3,-1,0,0,0,2,1,0,1799,248,28,5,7,7,10,8,3,1,1,1,1,2,6,6,9,7,2,1,2,3,0,0,5,3,2,0,0,1.209880,1.143135,CSGO-4sopE-UHJUk-V8LSV-FTH4W-X3nQD,2,0,21e8fb23cd6fbd3c
