frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
102,51,1,76561198014259134,3,FL4MUS,Kevlar Vest,equipment,01JM6EV6P98GJH18YED3BVX61K,0,5bf3360f6d134a54
290,186,1,76561198388056582,2,drop,Kevlar Vest,equipment,01JM6EV6PCFZ8MTW4M0KZS160A,0,5bf3360f6d134a54
318,207,1,76561198080114546,3,fame,Kevlar Vest,equipment,01JM6EV6PCFZ8MTW4M0P3YGH9N,0,5bf3360f6d134a54
383,251,1,76561198055109028,3,ICY,Kevlar Vest,equipment,01JM6EV6PDZ5W0VW1J2936ZCVQ,0,5bf3360f6d134a54
577,377,1,76561198157388473,2,Lucaozy,Smoke Grenade,grenade,01JM6EV6PH1VQ2FSA5HQZWJ2FG,0,5bf3360f6d134a54
602,391,1,76561198157388473,2,Lucaozy,Flashbang,grenade,01JM6EV6PJFC4H19DK6FBR9PWM,0,5bf3360f6d134a54
698,449,1,76561198010496342,2,exit,Kevlar Vest,equipment,01JM6EV6PMKE7W3ADBJAS8T04B,0,5bf3360f6d134a54
722,465,1,76561198044045107,3,electronic,Flashbang,grenade,01JM6EV6PMKE7W3ADBJBQVTQ8N,0,5bf3360f6d134a54
758,485,1,76561198044045107,3,electronic,Smoke Grenade,grenade,01JM6EV6PN92GGPR5A0ZMBBX99,0,5bf3360f6d134a54
775,498,1,76561197985565685,2,saffee,Kevlar Vest,equipment,01JM6EV6PN92GGPR5A10J46BQA,0,5bf3360f6d134a54
810,517,1,76561198061423730,2,insani,Kevlar Vest,equipment,01JM6EV6PP6935J9WCC3CJKBTQ,0,5bf3360f6d134a54
1384,891,1,76561197995817501,3,FL1T,Kevlar Vest,equipment,01JM6EV6Q0R26VEWE47C31T9WD,0,5bf3360f6d134a54
8315,6750,2,76561198388056582,2,drop,Kevlar + Helmet,equipment,01JM6EV6Y0VF1AYZBDGVVB4RWV,0,5bf3360f6d134a54
8345,6773,2,76561198157388473,2,Lucaozy,Kevlar + Helmet,equipment,01JM6EV6Y1J5408VMEE5Y8JJWH,0,5bf3360f6d134a54
8352,6780,2,76561198061423730,2,insani,Kevlar + Helmet,equipment,01JM6EV6Y1J5408VMEE6A1RE29,0,5bf3360f6d134a54
8410,6818,2,76561198388056582,2,drop,MAC-10,smg,01JM6EV6Y2FGVYXAT201RKMF47,0,5bf3360f6d134a54
8478,6857,2,76561198157388473,2,Lucaozy,AK-47,rifle,01JM6EV6Y38R8Y500M98402CQT,0,5bf3360f6d134a54
8508,6874,2,76561198388056582,2,drop,HE Grenade,grenade,01JM6EV6Y48G0TWNRDJEEG732K,0,5bf3360f6d134a54
8529,6885,2,76561198388056582,2,drop,Molotov,grenade,01JM6EV6Y59QMCNHP4MNVT4F8C,0,5bf3360f6d134a54
8549,6897,2,76561198388056582,2,drop,Smoke Grenade,grenade,01JM6EV6Y59QMCNHP4MP5ZZMFH,0,5bf3360f6d134a54
8630,6947,2,76561198157388473,2,Lucaozy,Molotov,grenade,01JM6EV6XXSKNCKFQ382E1KMVE,0,5bf3360f6d134a54
8649,6960,2,76561198157388473,2,Lucaozy,Flashbang,grenade,01JM6EV6XW32J6AZZF77EKNDJH,1,5bf3360f6d134a54
8667,6970,2,76561197985565685,2,saffee,Kevlar + Helmet,equipment,01JM6EV6Y74ECXZ38CZG7RED6D,0,5bf3360f6d134a54
8732,7008,2,76561198010496342,2,exit,MAC-10,smg,01JM6EV6Y9F5ATJJ34V3MQ18ZY,0,5bf3360f6d134a54
8763,7030,2,76561198010496342,2,exit,Kevlar + Helmet,equipment,01JM6EV6Y9F5ATJJ34V7K2988D,0,5bf3360f6d134a54
8796,7058,2,76561198010496342,2,exit,Smoke Grenade,grenade,01JM6EV6XVBBZK1YBDFJTCFY8X,0,5bf3360f6d134a54
8801,7060,2,76561197985565685,2,saffee,Galil AR,rifle,01JM6EV6YA12YGDV06RKG5034C,0,5bf3360f6d134a54
8825,7075,2,76561198010496342,2,exit,HE Grenade,grenade,01JM6EV6YA12YGDV06RNQMT5Y6,0,5bf3360f6d134a54
8842,7088,2,76561198010496342,2,exit,Molotov,grenade,01JM6EV6YB28P8Y23P0KE4CB35,0,5bf3360f6d134a54
8873,7108,2,76561198010496342,2,exit,Flashbang,grenade,01JM6EV6YB28P8Y23P0KK5FME5,0,5bf3360f6d134a54
8926,7141,2,76561197985565685,2,saffee,Smoke Grenade,grenade,01JM6EV6YCQDFBQRB2C1EYAM1T,0,5bf3360f6d134a54
8948,7155,2,76561197985565685,2,saffee,Flashbang,grenade,01JM6EV6YD23C7K3NWVXG0BVDR,0,5bf3360f6d134a54
9007,7187,2,76561198157388473,2,Lucaozy,HE Grenade,grenade,01JM6EV6YE04TMBYYNHPW7ZWEX,0,5bf3360f6d134a54
9193,7317,2,76561197995817501,3,FL1T,Kevlar Vest,equipment,01JM6EV6YHREGR7S9HEQ8A40GC,0,5bf3360f6d134a54
9198,7320,2,76561198014259134,3,FL4MUS,Five-SeveN,pistol,01JM6EV6YHREGR7S9HERMZ19E4,0,5bf3360f6d134a54
9205,7321,2,76561198044045107,3,electronic,MP9,smg,01JM6EV6YHREGR7S9HEVF0WQK3,0,5bf3360f6d134a54
9230,7334,2,76561198014259134,3,FL4MUS,Kevlar Vest,equipment,01JM6EV6YJSWQCVXQC7TXP5FZG,0,5bf3360f6d134a54
9239,7341,2,76561198044045107,3,electronic,Kevlar Vest,equipment,01JM6EV6YJSWQCVXQC7VEEYNDG,0,5bf3360f6d134a54
