steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198010496342,exit,2,800,800,700,pistol,1,7daded92331b1937
76561198055109028,ICY,3,800,650,950,pistol,1,7daded92331b1937
76561198080114546,fame,3,800,800,700,pistol,1,7daded92331b1937
76561198014259134,FL4MUS,3,800,650,850,pistol,1,7daded92331b1937
76561198061423730,insani,2,800,650,950,pistol,1,7daded92331b1937
76561197985565685,saffee,2,800,800,800,pistol,1,7daded92331b1937
76561197995817501,FL1T,3,800,650,950,pistol,1,7daded92331b1937
76561198044045107,electronic,3,800,800,700,pistol,1,7daded92331b1937
76561198388056582,drop,2,800,650,850,pistol,1,7daded92331b1937
76561198157388473,Lucaozy,2,800,650,1050,pistol,1,7daded92331b1937
76561198157388473,Lucaozy,2,4300,4200,4400,full,2,7daded92331b1937
76561198061423730,insani,2,3700,3700,3900,semi,2,7daded92331b1937
76561197985565685,saffee,2,3250,3100,3200,semi,2,7daded92331b1937
76561197995817501,FL1T,3,2650,2550,2950,force-buy,2,7daded92331b1937
76561198010496342,exit,2,3250,3150,3350,semi,2,7daded92331b1937
76561198055109028,ICY,3,2050,1850,1850,force-buy,2,7daded92331b1937
76561198080114546,fame,3,2500,2500,2700,force-buy,2,7daded92331b1937
76561198388056582,drop,2,4000,4000,4200,full,2,7daded92331b1937
76561198044045107,electronic,3,1900,1900,2400,force-buy,2,7daded92331b1937
76561198014259134,FL4MUS,3,2050,1850,1850,force-buy,2,7daded92331b1937
76561198010496342,exit,2,3950,3600,5100,full,3,7daded92331b1937
76561198055109028,ICY,3,2900,2700,2900,force-buy,3,7daded92331b1937
76561198080114546,fame,3,3000,3000,3200,force-buy,3,7daded92331b1937
76561198061423730,insani,2,3250,3250,3450,semi,3,7daded92331b1937
76561197995817501,FL1T,3,2500,1600,4700,full,3,7daded92331b1937
76561198044045107,electronic,3,3600,3500,600,eco,3,7daded92331b1937
76561198388056582,drop,2,4150,4000,4200,full,3,7daded92331b1937
76561198014259134,FL4MUS,3,2600,2550,2750,force-buy,3,7daded92331b1937
76561198157388473,Lucaozy,2,3350,2200,4200,full,3,7daded92331b1937
76561197985565685,saffee,2,3400,3300,3500,semi,3,7daded92331b1937
76561198080114546,fame,3,2900,2100,2300,semi,4,7daded92331b1937
76561198044045107,electronic,3,3000,1450,2900,semi,4,7daded92331b1937
76561197985565685,saffee,2,3900,1100,4100,full,4,7daded92331b1937
76561197995817501,FL1T,3,4100,2350,5200,full,4,7daded92331b1937
76561198388056582,drop,2,3950,1200,5200,full,4,7daded92331b1937
76561198014259134,FL4MUS,3,2950,1100,4050,semi,4,7daded92331b1937
76561198157388473,Lucaozy,2,4650,3700,5100,full,4,7daded92331b1937
76561198061423730,insani,2,3500,900,5100,full,4,7daded92331b1937
76561198010496342,exit,2,4150,2200,4200,full,4,7daded92331b1937
