frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
4624,3695,1,3,3,0,76561197995817501,FL1T,0,0,2d16c1abd0c120e1
15425,12518,2,3,3,0,76561198044045107,electronic,1,0,2d16c1abd0c120e1
30451,25089,3,2,3,0,76561198080114546,fame,0,1,2d16c1abd0c120e1
30537,25164,3,1,2,1,76561198120491311,dav1deuS,1,1,2d16c1abd0c120e1
45599,36978,5,3,3,0,76561198080114546,fame,0,0,2d16c1abd0c120e1
55382,44756,6,2,2,0,76561198015308884,biguzera,0,0,2d16c1abd0c120e1
68446,55337,7,2,3,0,76561198055109028,ICY,1,0,2d16c1abd0c120e1
80943,65343,8,5,3,0,76561198080114546,fame,0,1,2d16c1abd0c120e1
105139,84593,10,3,2,0,76561198120491311,dav1deuS,0,2,2d16c1abd0c120e1
105793,85173,10,1,3,1,76561197995817501,FL1T,1,1,2d16c1abd0c120e1
128352,103210,12,2,3,0,76561198014259134,FL4MUS,0,0,2d16c1abd0c120e1
150558,121074,13,3,2,0,76561198044045107,electronic,0,0,2d16c1abd0c120e1
159889,128605,14,3,2,0,76561198055109028,ICY,0,1,2d16c1abd0c120e1
169850,136511,15,3,2,0,76561198055109028,ICY,0,1,2d16c1abd0c120e1
