name,steamid,score,team name,kills,assists,deaths,headshots,hs %,k/d,kast,avg damages per round,avg kills per round,avg death per round,utility_damage_per_round,mvp,rank type,rank,old rank,win count,bomb planted,bomb defused,hostage rescued,health damage,armor damage,utility damage,1v1,1v2,1v3,1v4,1v5,1v1 won,1v2 won,1v3 won,1v4 won,1v5 won,1v1 lost,1v2 lost,1v3 lost,1v4 lost,1v5 lost,first kill,first death,trade kill,trade death,first trade kill,first trade death,1k,2k,3k,4k,5k,htlv 2,htlv,crosshair share code,color,inspect weapon count,match checksum
ICY,76561198055109028,20,Team A,8,3,11,3,37,0.727273,66.666672,62.799999,0.533333,0.733333,0.533333,0,-1,0,0,0,1,0,0,942,141,8,5,7,10,3,4,2,0,0,0,0,3,7,10,3,4,0,0,6,1,0,0,4,2,0,0,0,0.839185,0.741034,CSGO-dmzSZ-VsSLj-NSZcH-KVkFV-JK5mA,2,0,2d16c1abd0c120e1
nqz,76561198350342505,47,Team B,12,3,5,5,41,2.400000,93.333336,82.733330,0.800000,0.333333,0.000000,6,-1,0,0,0,5,0,0,1241,52,0,2,4,7,0,1,2,0,0,0,0,0,4,7,0,1,0,0,2,2,0,0,5,2,1,0,0,1.541288,1.406986,CSGO-iuXxN-Z4tML-FcpUT-2pfxZ-kSLoD,0,0,2d16c1abd0c120e1
fame,76561198080114546,13,Team A,6,3,15,2,33,0.400000,66.666672,44.400002,0.400000,1.000000,2.200000,0,-1,0,0,0,0,0,0,666,134,33,5,7,10,3,4,2,0,0,0,0,3,7,10,3,4,1,3,1,5,0,2,4,1,0,0,0,0.522954,0.372869,CSGO-vjGru-yOv3D-iovxr-ZXBEY-CcfiK,0,0,2d16c1abd0c120e1
biguzera,76561198015308884,33,Team B,12,4,10,8,66,1.200000,80.000000,82.866669,0.800000,0.666667,6.800000,1,-1,0,0,0,1,0,0,1243,115,102,3,5,8,1,2,2,0,0,0,0,1,5,8,1,2,3,2,2,0,0,0,8,2,0,0,0,1.273390,1.018356,CSGO-LneS2-EiZ6B-rSGmT-ySb95-OwUrC,1,0,2d16c1abd0c120e1
FL1T,76561197995817501,22,Team A,11,4,13,4,36,0.846154,86.666664,65.733330,0.733333,0.866667,4.600000,1,-1,0,0,0,0,0,0,986,233,69,4,6,9,2,3,3,1,1,1,1,1,5,8,1,2,3,0,2,5,0,0,6,1,1,0,0,1.103028,0.876428,CSGO-NpjdZ-5378L-BMRxJ-Y243S-b9qmJ,4,0,2d16c1abd0c120e1
snow,76561198377335846,50,Team B,19,3,5,12,63,3.800000,80.000000,103.666664,1.266667,0.333333,0.600000,3,-1,0,0,0,2,0,0,1555,287,9,2,4,7,0,1,2,0,0,0,0,0,4,7,0,1,0,1,3,1,0,0,8,1,3,0,0,1.914298,1.990239,CSGO-a7v6E-GC3GN-JfUQj-KqSLV-7T8SA,4,0,2d16c1abd0c120e1
dav1deuS,76561198120491311,34,Team B,12,9,13,10,83,0.923077,100.000000,113.666664,0.800000,0.866667,8.066667,1,-1,0,0,0,1,0,0,1705,150,121,4,6,9,2,3,3,1,1,1,1,1,5,8,1,2,3,3,3,4,0,2,5,2,1,0,0,1.444578,0.970798,CSGO-96eQM-EXDqv-f7hSv-pkU8n-N4SKF,2,0,2d16c1abd0c120e1
kauez,76561198385657675,26,Team B,9,2,8,5,55,1.125000,86.666664,54.000000,0.600000,0.533333,1.266667,2,-1,0,0,0,0,1,0,810,121,19,2,4,7,0,1,2,0,0,0,0,0,4,7,0,1,1,2,1,4,0,1,4,1,1,0,0,1.114586,1.037646,CSGO-CUqL5-6bLpJ-bVHm5-wyEOd-2pFKO,3,0,2d16c1abd0c120e1
electronic,76561198044045107,22,Team A,10,3,13,5,50,0.769231,66.666672,80.533333,0.666667,0.866667,9.066667,1,-1,0,0,0,0,0,0,1208,219,136,4,6,9,2,3,2,0,0,0,0,2,6,9,2,3,1,1,3,2,0,0,4,3,0,0,0,0.940124,0.782057,CSGO-XvQtE-YZF5M-98uXV-7nWbf-ZbJaA,3,0,2d16c1abd0c120e1
FL4MUS,76561198014259134,16,Team A,6,5,12,4,66,0.500000,73.333336,56.133335,0.400000,0.800000,0.933333,0,-1,0,0,0,0,0,0,842,211,14,3,5,8,1,2,2,0,0,0,0,1,5,8,1,2,3,3,1,2,0,0,4,1,0,0,0,0.729030,0.536440,CSGO-2xkTh-UwMhs-Wfw9o-G8jLV-2JH8D,1,0,2d16c1abd0c120e1
