frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
5188,4078,1,Shr,76561198026724513,2,Team B,electronic,76561198044045107,3,Team A,ag1l,76561198186878873,2,Team B,Glock-18,pistol,0,0,1,0,0,0,488.712860,2370.914551,97.283699,0,1,765.089172,2122.856934,-52.695496,0,1,0,318.738800,1863.719482,97.142647,0,1,0,0,10.263206,4190a28a28d8d8a7
5462,4315,1,FL4MUS,76561198014259134,3,Team A,Shr,76561198026724513,2,Team B,,0,0,,USP-S,pistol,1,0,0,0,0,0,1557.044556,1796.056152,1.031252,0,0,648.582458,2491.343506,96.378830,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,29.160635,4190a28a28d8d8a7
6675,5344,1,FL4MUS,76561198014259134,3,Team A,story,76561198065448360,2,Team B,,0,0,,USP-S,pistol,1,0,0,0,0,0,1786.879150,1975.631470,3.627550,0,0,280.467743,2139.259033,98.687973,0,0,0,0.000000,0.000000,0.000000,0,0,1,0,38.522995,4190a28a28d8d8a7
7116,5724,1,FL1T,76561197995817501,3,Team A,MUTiRiS,76561197997981170,2,Team B,ICY,76561198055109028,3,Team A,USP-S,pistol,1,0,0,0,0,0,1565.144043,2531.176270,62.950958,0,0,448.215637,2737.915527,96.942947,0,0,0,1300.361328,2538.843994,80.502663,0,0,0,0,28.886118,4190a28a28d8d8a7
7632,6168,1,fame,76561198080114546,3,Team A,roman ,76561197994395491,2,Team B,,0,0,,Dual Berettas,pistol,0,0,0,0,0,0,930.138367,2576.492432,95.782356,0,0,289.392365,1784.001099,96.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,25.888298,4190a28a28d8d8a7
7715,6245,1,fame,76561198080114546,3,Team A,ag1l,76561198186878873,2,Team B,FL4MUS,76561198014259134,3,Team A,Dual Berettas,pistol,1,0,0,0,0,0,967.766663,2479.320068,96.531250,0,0,919.588135,2087.211914,-19.431946,0,0,0,1766.103882,2029.564819,3.443792,0,0,0,0,10.518288,4190a28a28d8d8a7
12064,9550,2,electronic,76561198044045107,3,Team A,MUTiRiS,76561197997981170,2,Team B,,0,0,,M4A1,rifle,1,0,0,0,0,0,-16.410217,1355.562256,0.299520,0,0,-866.695984,1445.896973,-112.536926,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,21.945082,4190a28a28d8d8a7
12103,9584,2,FL1T,76561197995817501,3,Team A,Shr,76561198026724513,2,Team B,,0,0,,MP9,smg,0,0,0,0,0,0,-565.944275,1346.302002,-109.513184,0,0,-1017.948975,1434.740356,-112.766052,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,11.705380,4190a28a28d8d8a7
12218,9679,2,ICY,76561198055109028,3,Team A,roman ,76561197994395491,2,Team B,,0,0,,SSG 08,sniper,1,0,0,0,0,0,-639.746277,2532.921631,-81.431030,0,0,-122.600586,391.627411,-1.324158,0,0,0,0.000000,0.000000,0.000000,0,0,1,0,56.004204,4190a28a28d8d8a7
14252,11360,2,electronic,76561198044045107,3,Team A,story,76561198065448360,2,Team B,ICY,76561198055109028,3,Team A,M4A1,rifle,1,0,0,0,0,0,-258.258118,1505.576782,32.036003,0,0,-476.846191,-593.672424,2.437926,0,0,0,-626.471802,2550.060303,-81.728149,0,0,0,0,53.614388,4190a28a28d8d8a7
15860,12734,2,FL1T,76561197995817501,3,Team A,ag1l,76561198186878873,2,Team B,,0,0,,MP9,smg,0,0,0,0,0,0,-486.627686,1437.007812,-110.968750,0,0,-1126.493652,1361.310059,-111.516113,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,16.372545,4190a28a28d8d8a7
19089,15103,3,FL1T,76561197995817501,3,Team A,MUTiRiS,76561197997981170,2,Team B,,0,0,,Galil AR,rifle,0,0,0,0,0,0,-279.836914,1248.910889,-108.195496,0,0,-287.025696,559.618347,-1.017944,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,17.655556,4190a28a28d8d8a7
19185,15181,3,ICY,76561198055109028,3,Team A,ag1l,76561198186878873,2,Team B,,0,0,,Galil AR,rifle,1,0,0,0,0,0,-135.560364,1431.969849,-0.427246,0,0,-183.791992,321.319427,2.160105,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,28.265173,4190a28a28d8d8a7
20454,16258,3,Shr,76561198026724513,2,Team B,FL1T,76561197995817501,3,Team A,,0,0,,Tec-9,pistol,0,0,0,0,0,0,-487.620972,1576.135010,-123.948364,0,0,-334.051392,1161.435791,-86.326721,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,11.313772,4190a28a28d8d8a7
20540,16323,3,Shr,76561198026724513,2,Team B,ICY,76561198055109028,3,Team A,,0,0,,Tec-9,pistol,0,0,0,0,0,0,-479.529236,1566.527710,-124.316772,0,0,-217.140259,769.833008,32.031246,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,21.660381,4190a28a28d8d8a7
21767,17387,3,roman ,76561197994395491,2,Team B,FL4MUS,76561198014259134,3,Team A,,0,0,,Desert Eagle,pistol,1,0,0,0,0,0,188.262253,143.845535,8.031254,0,0,609.199707,262.691742,0.805845,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,11.175887,4190a28a28d8d8a7
22607,18121,3,fame,76561198080114546,3,Team A,Shr,76561198026724513,2,Team B,electronic,76561198044045107,3,Team A,M4A1,rifle,0,0,0,0,0,0,-646.177917,2250.554688,-119.931458,0,0,-276.397583,1352.509277,-68.968750,0,0,0,-288.682068,2054.164307,-127.521301,0,0,0,0,24.688822,4190a28a28d8d8a7
23060,18516,3,electronic,76561198044045107,3,Team A,story,76561198065448360,2,Team B,fame,76561198080114546,3,Team A,M4A1,rifle,1,0,0,0,0,0,-456.885681,1515.800537,-125.423828,0,0,-208.591309,341.412384,2.160104,0,0,0,-19.673645,2150.214355,-127.998413,0,0,0,0,30.650938,4190a28a28d8d8a7
25971,21076,3,roman ,76561197994395491,2,Team B,electronic,76561198044045107,3,Team A,,0,0,,Galil AR,rifle,0,0,0,0,0,0,-1702.458618,2247.446777,-1.809143,0,0,-1384.316284,2139.849854,1.526741,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,8.530847,4190a28a28d8d8a7
25973,21078,3,fame,76561198080114546,3,Team A,roman ,76561197994395491,2,Team B,electronic,76561198044045107,3,Team A,M4A1,rifle,0,0,0,0,0,0,-1336.108521,2175.410645,2.213395,0,0,-1702.353149,2247.786621,-1.806396,0,0,0,-1384.495605,2139.239014,1.551366,1,0,0,0,9.474500,4190a28a28d8d8a7
29811,23820,4,Shr,76561198026724513,2,Team B,FL4MUS,76561198014259134,3,Team A,roman ,76561197994395491,2,Team B,AK-47,rifle,0,0,1,0,0,0,661.844910,865.238403,-0.214355,0,1,1344.025146,808.791382,-10.395996,0,1,0,363.497559,-341.383789,38.796875,0,0,0,0,17.414953,4190a28a28d8d8a7
31596,25186,4,story,76561198065448360,2,Team B,electronic,76561198044045107,3,Team A,,0,0,,AWP,sniper,0,0,0,0,0,0,1330.362305,510.832062,-92.458008,0,0,1277.049316,1472.769653,0.900973,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,24.624071,4190a28a28d8d8a7
31840,25383,4,FL1T,76561197995817501,3,Team A,Shr,76561198026724513,2,Team B,,0,0,,M4A1,rifle,1,0,0,0,0,0,1399.593384,1931.855957,-8.465698,0,0,1321.136963,1190.947754,0.978870,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,18.924429,4190a28a28d8d8a7
31903,25444,4,fame,76561198080114546,3,Team A,story,76561198065448360,2,Team B,FL1T,76561197995817501,3,Team A,M4A1,rifle,1,0,0,0,0,0,1281.096436,2278.360840,13.300168,0,0,1455.772705,558.171448,-82.556824,0,0,0,1427.686401,1933.509521,-9.916626,1,1,1,0,43.982716,4190a28a28d8d8a7
31992,25512,4,ag1l,76561198186878873,2,Team B,ICY,76561198055109028,3,Team A,MUTiRiS,76561197997981170,2,Team B,AK-47,rifle,1,0,1,0,0,0,1124.172607,832.237000,0.839924,0,1,1748.437378,2218.810791,3.201445,0,1,0,587.453247,250.027939,22.781250,0,0,0,0,38.624329,4190a28a28d8d8a7
32118,25618,4,fame,76561198080114546,3,Team A,roman ,76561197994395491,2,Team B,,0,0,,M4A1,rifle,0,0,0,0,0,0,1488.660767,2306.195068,2.019397,0,0,1248.405151,1157.746216,0.031248,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,29.802404,4190a28a28d8d8a7
32119,25619,4,ag1l,76561198186878873,2,Team B,fame,76561198080114546,3,Team A,roman ,76561197994395491,2,Team B,AK-47,rifle,0,0,0,0,0,0,1251.309937,844.979126,0.036686,0,0,1488.951660,2306.134521,2.007494,0,0,0,1248.405151,1157.746216,0.031248,1,0,0,0,37.599083,4190a28a28d8d8a7
33510,26834,4,MUTiRiS,76561197997981170,2,Team B,FL1T,76561197995817501,3,Team A,Shr,76561198026724513,2,Team B,AK-47,rifle,1,0,0,0,0,0,1355.344116,2088.123535,-5.680725,0,0,304.077637,2135.211426,98.171509,0,0,0,1321.558960,1190.896851,0.810073,0,0,1,0,26.864311,4190a28a28d8d8a7
40722,32317,5,FL4MUS,76561198014259134,3,Team A,story,76561198065448360,2,Team B,,0,0,,Desert Eagle,pistol,1,0,0,0,0,0,1303.115356,443.407593,-113.823242,0,0,1421.237061,566.067871,-78.952026,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,4.341171,4190a28a28d8d8a7
40858,32429,5,roman ,76561197994395491,2,Team B,FL4MUS,76561198014259134,3,Team A,ag1l,76561198186878873,2,Team B,AK-47,rifle,1,0,0,0,0,0,1129.581421,1126.070068,-0.265686,0,0,1377.660034,508.031555,-99.112427,0,1,0,1235.912231,1188.711670,0.139821,1,0,0,0,17.201233,4190a28a28d8d8a7
40864,32435,5,ICY,76561198055109028,3,Team A,MUTiRiS,76561197997981170,2,Team B,fame,76561198080114546,3,Team A,USP-S,pistol,1,0,0,0,0,0,1340.432373,2270.474609,6.499825,0,0,1273.693481,1479.987061,1.030936,0,1,0,1357.237549,2170.090820,-3.598694,0,0,0,0,20.162952,4190a28a28d8d8a7
40957,32520,5,ag1l,76561198186878873,2,Team B,electronic,76561198044045107,3,Team A,,0,0,,AK-47,rifle,1,0,0,0,0,0,1247.557861,1143.351685,-0.031250,0,0,1371.550293,2042.858398,-7.010925,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,23.064138,4190a28a28d8d8a7
41095,32641,5,Shr,76561198026724513,2,Team B,fame,76561198080114546,3,Team A,,0,0,,AK-47,rifle,0,0,0,0,0,0,1195.540405,847.489685,0.144670,0,0,1426.916382,2130.400879,-8.628723,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,33.117111,4190a28a28d8d8a7
