name,steamid,score,team name,kills,assists,deaths,headshots,hs %,k/d,kast,avg damages per round,avg kills per round,avg death per round,utility_damage_per_round,mvp,rank type,rank,old rank,win count,bomb planted,bomb defused,hostage rescued,health damage,armor damage,utility damage,1v1,1v2,1v3,1v4,1v5,1v1 won,1v2 won,1v3 won,1v4 won,1v5 won,1v1 lost,1v2 lost,1v3 lost,1v4 lost,1v5 lost,first kill,first death,trade kill,trade death,first trade kill,first trade death,1k,2k,3k,4k,5k,htlv 2,htlv,crosshair share code,color,inspect weapon count,match checksum
Sonic,76561197975129851,30,Team A,12,7,7,5,41,1.714286,82.352943,77.529411,0.705882,0.411765,9.647058,1,-1,0,0,0,0,1,0,1318,238,164,3,4,5,12,4,1,2,1,1,1,2,2,4,11,3,3,1,1,1,0,0,8,2,0,0,0,1.342430,1.139094,CSGO-Y2OsJ-wVWtb-wRud9-RGWsE-vurBE,1,0,eadba096300e07f7
susp,76561198342718168,36,Team A,15,2,7,5,33,2.142857,70.588234,88.529411,0.882353,0.411765,1.529412,3,-1,0,0,0,0,0,0,1505,222,26,1,2,3,10,2,0,1,0,0,0,1,1,3,10,2,3,0,4,1,0,0,1,3,0,2,0,1.414977,1.730113,CSGO-EpSJb-pjOkf-ptH8M-Vatbf-tUfOQ,2,0,eadba096300e07f7
Krimbo,76561198170631091,12,Team B,5,2,13,2,40,0.384615,64.705887,37.470589,0.294118,0.764706,6.117647,0,-1,0,0,0,1,0,0,637,126,104,4,5,6,13,5,0,1,0,0,0,4,4,6,13,5,0,2,0,5,0,2,5,0,0,0,0,0.512132,0.438170,CSGO-RPFhT-QOeBx-67bos-ppF9P-HLAfD,3,0,eadba096300e07f7
JBa,76561198184153575,45,Team A,21,2,10,12,57,2.100000,76.470589,105.882355,1.235294,0.588235,8.882353,7,-1,0,0,0,0,1,0,1800,348,151,2,3,4,11,3,0,1,0,0,0,2,2,4,11,3,1,2,3,4,0,0,3,2,3,0,1,1.724466,2.085395,CSGO-K5H2N-OYoi3-wEWQ3-2M73C-oCyXD,0,0,eadba096300e07f7
JDC,76561198078771373,22,Team B,10,2,13,6,60,0.769231,70.588234,71.000000,0.588235,0.764706,10.941176,1,-1,0,0,0,0,0,0,1207,148,186,1,2,3,10,2,0,1,0,0,0,1,1,3,10,2,3,6,0,6,0,2,2,4,0,0,0,0.916584,0.820390,CSGO-Cr7BJ-7CbBi-yx2oQ-Jy32v-7cG4C,1,0,eadba096300e07f7
stanislaw,76561197981849043,30,Team A,11,7,9,6,54,1.222222,82.352943,79.352943,0.647059,0.529412,0.117647,0,-1,0,0,0,1,0,0,1349,277,2,2,3,4,11,3,0,1,0,0,0,2,2,4,11,3,2,1,1,2,0,0,5,3,0,0,0,1.234728,1.027851,CSGO-xX2Z2-BAYki-otAtZ-KcNZz-QQchQ,3,0,eadba096300e07f7
phzy,76561198408199043,22,Team A,8,4,11,4,50,0.727273,64.705887,73.764709,0.470588,0.647059,1.176471,2,-1,0,0,0,0,1,0,1254,87,20,2,3,4,11,3,0,1,0,0,0,2,2,4,11,3,3,1,1,2,0,1,4,2,0,0,0,0.855218,0.750071,CSGO-9nAxC-Giv3a-r4rEP-Jy32v-7cG4C,4,0,eadba096300e07f7
hyped,76561198139604328,24,Team B,10,2,13,5,50,0.769231,70.588234,62.588234,0.588235,0.764706,2.764706,0,-1,0,0,0,1,0,0,1064,99,47,6,7,8,15,7,0,1,0,0,0,6,6,8,15,7,0,0,7,1,0,0,5,1,1,0,0,0.889666,0.820390,CSGO-WnQHE-BTaKA-wHs7v-KR8QX-o2OtQ,2,0,eadba096300e07f7
kyuubii,76561198144926364,22,Team B,10,5,14,3,30,0.714286,76.470589,65.470589,0.588235,0.823529,14.235294,2,-1,0,0,0,0,0,0,1113,221,242,2,3,4,11,3,0,1,0,0,0,2,2,4,11,3,1,3,4,4,0,2,6,2,0,0,0,0.928064,0.704038,CSGO-eTAce-8qGDN-bafu7-cpVtO-9RaUN,4,0,eadba096300e07f7
tabseN,76561197961491680,26,Team B,9,7,14,5,55,0.642857,76.470589,68.470589,0.529412,0.823529,5.764706,1,-1,0,0,0,1,0,0,1164,222,98,5,6,7,14,6,0,1,0,0,0,5,5,7,14,6,1,1,3,4,0,1,6,0,1,0,0,0.898542,0.689012,CSGO-FEJFd-jYrPH-OZkKs-Bqduc-iA9WB,0,0,eadba096300e07f7
