frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
8230,6808,1,4,2,0,76561198139604328,hyped,0,0,b0a70b5c0e07178d
16697,13587,2,2,3,0,76561198408199043,phzy,0,1,b0a70b5c0e07178d
16758,13637,2,1,2,1,76561198170631091,Krimbo,1,1,b0a70b5c0e07178d
31277,25157,3,2,3,0,76561198342718168,susp,0,1,b0a70b5c0e07178d
34110,27669,3,1,2,1,76561198078771373,JDC,1,0,b0a70b5c0e07178d
44696,36185,4,4,3,0,76561197981849043,stanislaw,0,1,b0a70b5c0e07178d
54402,43975,5,2,2,0,76561198170631091,Krimbo,0,0,b0a70b5c0e07178d
69393,55698,6,5,2,0,76561198170631091,Krimbo,0,0,b0a70b5c0e07178d
78655,63247,7,5,2,0,76561197961491680,tabseN,0,0,b0a70b5c0e07178d
98011,78540,9,5,2,0,76561198170631091,Krimbo,0,1,b0a70b5c0e07178d
104123,83356,10,2,3,0,76561198184153575,JBa,0,1,b0a70b5c0e07178d
104316,83530,10,1,2,1,76561197961491680,tabseN,1,1,b0a70b5c0e07178d
114403,91154,11,3,3,0,76561197975129851,Sonic,0,0,b0a70b5c0e07178d
120562,95750,12,5,2,0,76561198139604328,hyped,0,0,b0a70b5c0e07178d
145546,115390,13,4,3,0,76561198144926364,kyuubii,0,0,b0a70b5c0e07178d
165344,131360,15,3,3,0,76561198139604328,hyped,0,0,b0a70b5c0e07178d
193076,153569,17,3,2,0,76561198184153575,JBa,0,0,b0a70b5c0e07178d
214739,170532,19,3,2,0,76561198408199043,phzy,0,1,b0a70b5c0e07178d
221843,175986,20,4,2,0,76561197975129851,Sonic,0,0,b0a70b5c0e07178d
231641,183904,21,5,2,0,76561197981849043,stanislaw,0,2,b0a70b5c0e07178d
244112,193632,22,3,2,0,76561198408199043,phzy,0,0,b0a70b5c0e07178d
253384,201026,23,4,2,0,76561197975129851,Sonic,0,0,b0a70b5c0e07178d
263739,209252,24,3,3,0,76561198144926364,kyuubii,0,0,b0a70b5c0e07178d
272872,216568,25,2,3,0,76561198078771373,JDC,0,0,b0a70b5c0e07178d
276487,219280,26,4,3,0,76561197961491680,tabseN,1,0,b0a70b5c0e07178d
293911,233426,27,4,3,0,76561197961491680,tabseN,0,0,b0a70b5c0e07178d
306030,243191,28,2,3,0,76561198184153575,JBa,0,0,b0a70b5c0e07178d
311621,247392,29,4,2,0,76561198170631091,Krimbo,0,2,b0a70b5c0e07178d
