name,steamid,score,team name,kills,assists,deaths,headshots,hs %,k/d,kast,avg damages per round,avg kills per round,avg death per round,utility_damage_per_round,mvp,rank type,rank,old rank,win count,bomb planted,bomb defused,hostage rescued,health damage,armor damage,utility damage,1v1,1v2,1v3,1v4,1v5,1v1 won,1v2 won,1v3 won,1v4 won,1v5 won,1v1 lost,1v2 lost,1v3 lost,1v4 lost,1v5 lost,first kill,first death,trade kill,trade death,first trade kill,first trade death,1k,2k,3k,4k,5k,htlv 2,htlv,crosshair share code,color,inspect weapon count,match checksum
hyped,76561198139604328,42,Team B,19,2,19,5,26,1.000000,65.517242,65.413795,0.655172,0.655172,7.379310,3,-1,0,0,0,0,0,0,1897,109,214,6,9,9,11,8,3,0,0,0,0,3,9,9,11,8,4,4,3,5,0,1,6,3,1,1,0,0.973066,1.069438,CSGO-WnQHE-BTaKA-wHs7v-KR8QX-o2OtQ,2,0,b0a70b5c0e07178d
Krimbo,76561198170631091,41,Team B,14,8,19,6,42,0.736842,68.965515,65.758621,0.482759,0.655172,2.137931,2,-1,0,0,0,2,0,0,1907,300,62,8,11,11,13,10,4,1,1,1,1,4,10,10,12,9,0,2,4,1,0,0,7,2,1,0,0,0.870931,0.785372,CSGO-RPFhT-QOeBx-67bos-ppF9P-HLAfD,3,0,b0a70b5c0e07178d
JDC,76561198078771373,41,Team B,15,12,21,9,60,0.714286,72.413788,76.275864,0.517241,0.724138,12.758620,1,-1,0,0,0,1,0,0,2212,417,370,5,8,8,10,7,4,1,1,1,1,1,7,7,9,6,2,5,2,5,0,2,11,2,0,0,0,0.936552,0.697772,CSGO-Cr7BJ-7CbBi-yx2oQ-Jy32v-7cG4C,1,0,b0a70b5c0e07178d
tabseN,76561197961491680,42,Team B,20,6,20,7,35,1.000000,72.413788,77.241379,0.689655,0.689655,11.068966,4,-1,0,0,0,2,0,0,2240,668,321,7,10,10,12,9,4,1,1,1,1,3,9,9,11,8,4,1,5,5,0,0,6,1,4,0,0,1.086430,1.090049,CSGO-FEJFd-jYrPH-OZkKs-Bqduc-iA9WB,4,0,b0a70b5c0e07178d
stanislaw,76561197981849043,46,Team A,17,5,16,6,35,1.062500,79.310349,63.344826,0.586207,0.551724,1.103448,3,-1,0,0,0,2,0,0,1837,432,32,5,8,8,10,7,3,0,0,0,0,2,8,8,10,7,2,4,4,4,0,1,10,2,1,0,0,1.072960,0.956408,CSGO-xX2Z2-BAYki-otAtZ-KcNZz-QQchQ,3,0,b0a70b5c0e07178d
phzy,76561198408199043,50,Team A,17,4,14,3,17,1.214286,82.758621,59.000000,0.586207,0.482759,6.241379,2,-1,0,0,0,5,0,0,1711,251,181,6,9,9,11,8,3,0,0,0,0,3,9,9,11,8,0,1,4,2,0,0,9,4,0,0,0,1.117545,0.992809,CSGO-K5H2N-OYoi3-wEWQ3-2M73C-oCyXD,4,0,b0a70b5c0e07178d
kyuubii,76561198144926364,46,Team B,16,5,22,6,37,0.727273,62.068962,59.655174,0.551724,0.758621,10.724138,3,-1,0,0,0,3,1,0,1730,349,311,5,8,8,10,7,3,0,0,0,0,2,8,8,10,7,3,3,4,4,0,1,6,2,2,0,0,0.795231,0.818393,CSGO-eTAce-8qGDN-bafu7-cpVtO-9RaUN,0,0,b0a70b5c0e07178d
JBa,76561198184153575,79,Team A,32,5,16,16,50,2.000000,89.655174,104.793106,1.103448,0.551724,6.551724,5,-1,0,0,0,2,1,0,3039,536,190,6,9,9,11,8,3,0,0,0,0,3,9,9,11,8,7,2,6,5,0,0,13,1,4,0,1,1.728182,1.748600,CSGO-K5H2N-OYoi3-wEWQ3-2M73C-oCyXD,1,0,b0a70b5c0e07178d
Sonic,76561197975129851,43,Team A,16,9,19,8,50,0.842105,79.310349,68.862068,0.551724,0.655172,18.241379,3,-1,0,0,0,1,0,0,1997,360,529,6,9,9,11,8,3,0,0,0,0,3,9,9,11,8,2,2,2,6,0,1,9,2,1,0,0,1.019424,0.842992,CSGO-Y2OsJ-wVWtb-wRud9-RGWsE-vurBE,0,0,b0a70b5c0e07178d
susp,76561198342718168,43,Team A,19,10,19,8,42,1.000000,86.206894,79.551727,0.655172,0.655172,9.655172,3,-1,0,0,0,0,0,0,2307,422,280,4,7,7,9,6,3,0,0,0,0,1,7,7,9,6,4,4,5,8,0,2,6,5,1,0,0,1.196825,0.989429,CSGO-SfAPh-ooCmG-G5ych-UeWRd-OnMHA,2,0,b0a70b5c0e07178d
