name,steamid,score,team name,kills,assists,deaths,headshots,hs %,k/d,kast,avg damages per round,avg kills per round,avg death per round,utility_damage_per_round,mvp,rank type,rank,old rank,win count,bomb planted,bomb defused,hostage rescued,health damage,armor damage,utility damage,1v1,1v2,1v3,1v4,1v5,1v1 won,1v2 won,1v3 won,1v4 won,1v5 won,1v1 lost,1v2 lost,1v3 lost,1v4 lost,1v5 lost,first kill,first death,trade kill,trade death,first trade kill,first trade death,1k,2k,3k,4k,5k,htlv 2,htlv,crosshair share code,color,inspect weapon count,match checksum
phzy,76561198408199043,51,Team B,16,1,8,2,12,2.000000,88.235298,84.588234,0.941176,0.470588,3.117647,4,-1,0,0,0,4,0,0,1438,114,53,2,6,2,1,0,1,1,0,0,0,1,5,2,1,0,3,1,2,3,0,0,5,4,1,0,0,1.544824,1.458180,CSGO-9nAxC-Giv3a-r4rEP-Jy32v-7cG4C,3,0,967336fe72e43148
chelo,76561198067763828,15,Team A,5,6,13,2,40,0.384615,64.705887,67.411766,0.294118,0.764706,13.588235,0,-1,0,0,0,0,0,0,1146,304,231,2,6,2,1,0,1,1,0,0,0,1,5,2,1,0,1,2,2,5,0,0,3,1,0,0,0,0.631385,0.472291,CSGO-nXB8v-an9rO-uyYTo-ibEpA-qMh8E,3,0,967336fe72e43148
JBa,76561198184153575,45,Team B,11,7,4,5,45,2.750000,100.000000,65.352943,0.647059,0.235294,6.470588,6,-1,0,0,0,2,1,0,1111,129,110,5,9,5,4,3,3,3,2,2,2,2,6,3,2,1,0,0,4,3,0,0,7,2,0,0,0,1.475487,1.234275,CSGO-K5H2N-OYoi3-wEWQ3-2M73C-oCyXD,4,0,967336fe72e43148
stanislaw,76561197981849043,26,Team B,8,1,12,5,62,0.666667,70.588234,41.058823,0.470588,0.705882,2.352941,0,-1,0,0,0,2,0,0,698,71,40,3,7,3,2,1,1,1,0,0,0,2,6,3,2,1,0,3,0,2,0,1,8,0,0,0,0,0.744572,0.633720,CSGO-xX2Z2-BAYki-otAtZ-KcNZz-QQchQ,0,0,967336fe72e43148
KSCERATO,76561198058500492,19,Team A,7,3,12,3,42,0.583333,70.588234,77.294121,0.411765,0.705882,5.882353,0,-1,0,0,0,0,0,0,1314,321,100,3,7,3,2,1,1,1,0,0,0,2,6,3,2,1,2,3,0,2,0,0,2,1,1,0,0,0.821402,0.721058,CSGO-PXGLy-zn3hS-SbLyx-hOUJZ-X3nQD,0,0,967336fe72e43148
FalleN,76561197960690195,30,Team A,10,1,13,2,20,0.769231,64.705887,41.117645,0.588235,0.764706,0.058824,2,-1,0,0,0,3,0,0,699,67,1,5,9,5,4,3,1,1,0,0,0,4,8,5,4,3,4,2,3,2,0,0,4,3,0,0,0,0.772159,0.786268,CSGO-yiXm3-VRYV6-PSGrf-ZEyDc-7JNMB,4,0,967336fe72e43148
Sonic,76561197975129851,35,Team B,12,3,11,9,75,1.090909,76.470589,81.705879,0.705882,0.647059,4.882353,1,-1,0,0,0,1,0,0,1389,155,83,2,6,2,1,0,1,1,0,0,0,1,5,2,1,0,2,3,1,5,0,0,3,3,1,0,0,1.164025,1.083144,CSGO-Y2OsJ-wVWtb-wRud9-RGWsE-vurBE,1,0,967336fe72e43148
Skullz,76561198118646644,20,Team A,8,1,11,4,50,0.727273,70.588234,59.176472,0.470588,0.647059,4.000000,1,-1,0,0,0,0,1,0,1006,263,68,2,6,2,1,0,1,1,0,0,0,1,5,2,1,0,0,1,5,2,0,1,4,2,0,0,0,0.833896,0.750071,CSGO-ySLmr-MRRob-xAdOd-Ekkkf-JkA6Q,2,0,967336fe72e43148
yuurih,76561198164970560,29,Team A,11,3,10,7,63,1.100000,64.705887,77.117645,0.647059,0.588235,2.176471,1,-1,0,0,0,1,0,0,1311,217,37,5,9,5,4,3,1,1,0,0,0,4,8,5,4,3,2,0,1,1,0,0,3,4,0,0,0,1.043964,1.013863,CSGO-Jhfkc-4UpR6-DJftC-VfGek-pL3ED,1,0,967336fe72e43148
susp,76561198342718168,45,Team B,12,7,6,7,58,2.000000,94.117645,98.529411,0.705882,0.352941,9.941176,2,-1,0,0,0,3,0,0,1675,281,169,2,6,2,1,0,1,1,0,0,0,1,5,2,1,0,3,2,4,1,0,0,10,1,0,0,0,1.526860,1.153082,CSGO-EpSJb-pjOkf-ptH8M-Vatbf-tUfOQ,2,0,967336fe72e43148
