frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
5740,4685,1,3,2,0,76561198058500492,KSCERATO,1,1,4df19d8300502981
38897,31559,4,5,3,0,76561197981849043,stanislaw,0,1,4df19d8300502981
50178,40711,5,3,2,0,76561197960690195,FalleN,0,2,4df19d8300502981
50738,41202,5,1,3,1,76561197975129851,Sonic,1,1,4df19d8300502981
58180,47074,6,2,3,0,76561197975129851,Sonic,0,1,4df19d8300502981
59806,48487,6,1,2,1,76561198067763828,chelo,1,1,4df19d8300502981
78726,63874,8,4,3,0,76561198408199043,phzy,1,0,4df19d8300502981
91819,74492,9,3,3,0,76561198342718168,susp,1,1,4df19d8300502981
99741,80832,10,4,2,0,76561198164970560,yuurih,0,1,4df19d8300502981
110217,89302,11,5,2,0,76561198118646644,Skullz,0,0,4df19d8300502981
120179,97368,12,3,2,0,76561198118646644,Skullz,0,0,4df19d8300502981
142905,115930,13,3,2,0,76561198184153575,JBa,0,0,4df19d8300502981
165313,134308,15,4,2,0,76561198342718168,susp,0,1,4df19d8300502981
174815,141905,16,3,2,0,76561198184153575,JBa,0,1,4df19d8300502981
187822,152375,17,3,2,0,76561198408199043,phzy,0,0,4df19d8300502981
198606,160986,18,3,2,0,76561198184153575,JBa,0,0,4df19d8300502981
