steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198058500492,KSCERATO,2,800,750,950,pistol,1,4df19d8300502981
76561198342718168,susp,3,800,650,1250,pistol,1,4df19d8300502981
76561198408199043,phzy,3,800,700,600,pistol,1,4df19d8300502981
76561198118646644,Skullz,2,800,650,850,pistol,1,4df19d8300502981
76561198164970560,yuurih,2,800,650,850,pistol,1,4df19d8300502981
76561198184153575,JBa,3,800,650,850,pistol,1,4df19d8300502981
76561198067763828,chelo,2,800,650,950,pistol,1,4df19d8300502981
76561197960690195,FalleN,2,800,800,700,pistol,1,4df19d8300502981
76561197981849043,stanislaw,3,800,800,700,pistol,1,4df19d8300502981
76561197975129851,Sonic,3,800,650,950,pistol,1,4df19d8300502981
76561198118646644,Skullz,2,2650,2500,2550,force-buy,2,4df19d8300502981
76561198164970560,yuurih,2,2650,2600,2600,force-buy,2,4df19d8300502981
76561198067763828,chelo,2,2950,2900,2600,force-buy,2,4df19d8300502981
76561198058500492,KSCERATO,2,3150,3100,3650,force-buy,2,4df19d8300502981
76561198408199043,phzy,3,4200,4200,5600,full,2,4df19d8300502981
76561197975129851,Sonic,3,3650,3550,3250,semi,2,4df19d8300502981
76561198184153575,JBa,3,3650,3550,3750,semi,2,4df19d8300502981
76561197960690195,FalleN,2,2800,2650,2900,force-buy,2,4df19d8300502981
76561198342718168,susp,3,3950,3950,4150,semi,2,4df19d8300502981
76561197981849043,stanislaw,3,4100,4050,4250,semi,2,4df19d8300502981
76561197960690195,FalleN,2,3650,3400,3400,semi,3,4df19d8300502981
76561198342718168,susp,3,1400,1300,1800,force-buy,3,4df19d8300502981
76561198408199043,phzy,3,1400,700,4900,full,3,4df19d8300502981
76561197981849043,stanislaw,3,1750,1650,2350,force-buy,3,4df19d8300502981
76561198118646644,Skullz,2,3950,3900,4000,full,3,4df19d8300502981
76561198184153575,JBa,3,2100,1900,3850,force-buy,3,4df19d8300502981
76561198067763828,chelo,2,3850,2200,5100,full,3,4df19d8300502981
76561198058500492,KSCERATO,2,3850,1200,4200,full,3,4df19d8300502981
76561197975129851,Sonic,3,1500,1450,1450,force-buy,3,4df19d8300502981
76561198164970560,yuurih,2,3850,1100,3850,semi,3,4df19d8300502981
76561198184153575,JBa,3,2100,200,3050,semi,4,4df19d8300502981
76561197960690195,FalleN,2,4050,1100,3750,semi,4,4df19d8300502981
76561198058500492,KSCERATO,2,6450,700,5300,full,4,4df19d8300502981
76561198408199043,phzy,3,2600,0,200,eco,4,4df19d8300502981
76561197975129851,Sonic,3,1950,0,1150,semi,4,4df19d8300502981
76561198118646644,Skullz,2,3550,900,4500,full,4,4df19d8300502981
76561198067763828,chelo,2,5750,700,5100,full,4,4df19d8300502981
76561198342718168,susp,3,2000,0,200,eco,4,4df19d8300502981
76561197981849043,stanislaw,3,2000,500,700,eco,4,4df19d8300502981
76561198164970560,yuurih,2,6250,1200,3950,semi,4,4df19d8300502981
76561197960690195,FalleN,2,6200,5700,6700,full,5,4df19d8300502981
76561197975129851,Sonic,3,4350,4350,4550,full,5,4df19d8300502981
76561198118646644,Skullz,2,6200,500,4500,full,5,4df19d8300502981
76561198184153575,JBa,3,4300,4200,4400,force-buy,5,4df19d8300502981
76561198067763828,chelo,2,8300,800,5100,full,5,4df19d8300502981
76561198058500492,KSCERATO,2,9600,2200,5300,full,5,4df19d8300502981
76561198342718168,susp,3,4400,4400,4600,full,5,4df19d8300502981
76561198408199043,phzy,3,5000,4950,5150,full,5,4df19d8300502981
76561197981849043,stanislaw,3,4200,4050,4250,force-buy,5,4df19d8300502981
76561198164970560,yuurih,2,9500,3600,5400,full,5,4df19d8300502981
76561198342718168,susp,3,3800,3750,5050,full,6,4df19d8300502981
76561198408199043,phzy,3,3550,2900,6750,full,6,4df19d8300502981
76561197975129851,Sonic,3,4700,4200,5050,full,6,4df19d8300502981
76561198067763828,chelo,2,9500,6850,5000,full,6,4df19d8300502981
76561198058500492,KSCERATO,2,9700,7600,5100,full,6,4df19d8300502981
76561197981849043,stanislaw,3,3950,3850,4250,semi,6,4df19d8300502981
76561198118646644,Skullz,2,7700,4900,5000,full,6,4df19d8300502981
76561198164970560,yuurih,2,8200,4800,5000,full,6,4df19d8300502981
76561198184153575,JBa,3,3600,3550,3750,semi,6,4df19d8300502981
76561197960690195,FalleN,2,3000,2100,6850,full,6,4df19d8300502981
76561198058500492,KSCERATO,2,5350,4900,5100,full,7,4df19d8300502981
76561197981849043,stanislaw,3,2300,2150,2150,force-buy,7,4df19d8300502981
76561198164970560,yuurih,2,6650,4900,5100,full,7,4df19d8300502981
76561198184153575,JBa,3,3150,3050,3250,force-buy,7,4df19d8300502981
76561198067763828,chelo,2,6800,3700,5100,full,7,4df19d8300502981
76561197960690195,FalleN,2,4650,2200,7150,full,7,4df19d8300502981
76561198342718168,susp,3,1950,1950,1950,force-buy,7,4df19d8300502981
76561198408199043,phzy,3,2550,1150,1150,semi,7,4df19d8300502981
76561197975129851,Sonic,3,2700,2700,2400,force-buy,7,4df19d8300502981
76561198118646644,Skullz,2,6050,4900,5100,full,7,4df19d8300502981
76561198184153575,JBa,3,3100,1200,2950,semi,8,4df19d8300502981
76561198058500492,KSCERATO,2,4250,2200,5100,full,8,4df19d8300502981
76561198342718168,susp,3,2400,700,700,eco,8,4df19d8300502981
76561198164970560,yuurih,2,5250,800,5000,full,8,4df19d8300502981
76561198067763828,chelo,2,6900,1100,5000,full,8,4df19d8300502981
76561197960690195,FalleN,2,5950,1100,7050,full,8,4df19d8300502981
76561198408199043,phzy,3,3800,650,1350,semi,8,4df19d8300502981
76561197981849043,stanislaw,3,2550,700,4150,semi,8,4df19d8300502981
76561197975129851,Sonic,3,2400,700,1100,semi,8,4df19d8300502981
76561198118646644,Skullz,2,5250,3900,5100,full,8,4df19d8300502981
76561197981849043,stanislaw,3,4750,4750,4950,full,9,4df19d8300502981
76561198067763828,chelo,2,9900,1400,5000,full,9,4df19d8300502981
76561198058500492,KSCERATO,2,5850,2200,5100,full,9,4df19d8300502981
76561198342718168,susp,3,4600,2350,5600,full,9,4df19d8300502981
76561197975129851,Sonic,3,4600,4550,5050,full,9,4df19d8300502981
76561198118646644,Skullz,2,5450,1000,5100,full,9,4df19d8300502981
76561198164970560,yuurih,2,7950,1400,5100,full,9,4df19d8300502981
76561198184153575,JBa,3,4800,4700,4900,full,9,4df19d8300502981
76561197960690195,FalleN,2,8350,3800,7150,full,9,4df19d8300502981
76561198408199043,phzy,3,6350,6250,7300,full,9,4df19d8300502981
76561197981849043,stanislaw,3,3400,3350,3550,force-buy,10,4df19d8300502981
76561198164970560,yuurih,2,10350,800,5100,full,10,4df19d8300502981
76561197960690195,FalleN,2,8250,2400,7050,full,10,4df19d8300502981
76561198058500492,KSCERATO,2,7150,2200,5100,full,10,4df19d8300502981
76561198342718168,susp,3,5950,5250,5250,full,10,4df19d8300502981
76561198408199043,phzy,3,3500,2700,7650,full,10,4df19d8300502981
76561197975129851,Sonic,3,3750,3750,4250,force-buy,10,4df19d8300502981
76561198118646644,Skullz,2,8550,3700,5100,full,10,4df19d8300502981
76561198184153575,JBa,3,3600,3550,3750,force-buy,10,4df19d8300502981
76561198067763828,chelo,2,12000,7800,5000,full,10,4df19d8300502981
76561198058500492,KSCERATO,2,6350,5100,5100,full,11,4df19d8300502981
76561198408199043,phzy,3,4150,1300,7650,full,11,4df19d8300502981
76561197975129851,Sonic,3,4150,3700,5350,full,11,4df19d8300502981
76561198118646644,Skullz,2,6550,4900,5100,full,11,4df19d8300502981
76561198164970560,yuurih,2,11250,4800,5000,full,11,4df19d8300502981
76561198184153575,JBa,3,3900,3500,5600,full,11,4df19d8300502981
76561197960690195,FalleN,2,7250,6950,7150,full,11,4df19d8300502981
76561198342718168,susp,3,3950,2700,5600,full,11,4df19d8300502981
76561197981849043,stanislaw,3,3300,2900,5800,full,11,4df19d8300502981
76561198067763828,chelo,2,5600,4800,5000,full,11,4df19d8300502981
76561198408199043,phzy,3,6100,1500,7950,full,12,4df19d8300502981
76561198164970560,yuurih,2,8350,8250,3700,force-buy,12,4df19d8300502981
76561198184153575,JBa,3,3650,1500,5600,full,12,4df19d8300502981
76561198342718168,susp,3,4800,2450,5900,full,12,4df19d8300502981
76561197981849043,stanislaw,3,3950,2450,5800,full,12,4df19d8300502981
76561197975129851,Sonic,3,4600,2500,5800,full,12,4df19d8300502981
76561198118646644,Skullz,2,3550,3400,3600,force-buy,12,4df19d8300502981
76561198067763828,chelo,2,2700,2700,2700,force-buy,12,4df19d8300502981
76561197960690195,FalleN,2,2200,2200,7150,full,12,4df19d8300502981
76561198058500492,KSCERATO,2,3150,3050,3250,force-buy,12,4df19d8300502981
76561197960690195,FalleN,3,800,800,1000,pistol,13,4df19d8300502981
76561197981849043,stanislaw,2,800,800,700,pistol,13,4df19d8300502981
76561197975129851,Sonic,2,800,650,850,pistol,13,4df19d8300502981
76561198118646644,Skullz,3,800,650,850,pistol,13,4df19d8300502981
76561198067763828,chelo,3,800,650,850,pistol,13,4df19d8300502981
76561198058500492,KSCERATO,3,800,650,850,pistol,13,4df19d8300502981
76561198342718168,susp,2,800,650,850,pistol,13,4df19d8300502981
76561198408199043,phzy,2,800,650,850,pistol,13,4df19d8300502981
76561198164970560,yuurih,3,800,800,1000,pistol,13,4df19d8300502981
76561198184153575,JBa,2,800,650,950,pistol,13,4df19d8300502981
76561198164970560,yuurih,3,3500,3450,4150,semi,14,4df19d8300502981
76561198184153575,JBa,2,3550,3550,1350,force-buy,14,4df19d8300502981
76561198067763828,chelo,3,4250,4200,4700,full,14,4df19d8300502981
76561198058500492,KSCERATO,3,3950,3850,5000,full,14,4df19d8300502981
76561198342718168,susp,2,2650,2500,4900,full,14,4df19d8300502981
76561197975129851,Sonic,2,2650,2600,2600,force-buy,14,4df19d8300502981
76561197960690195,FalleN,3,3800,3750,3650,semi,14,4df19d8300502981
76561198408199043,phzy,2,2650,2050,2050,semi,14,4df19d8300502981
76561197981849043,stanislaw,2,2500,2500,2500,force-buy,14,4df19d8300502981
76561198118646644,Skullz,3,4250,4150,4350,semi,14,4df19d8300502981
76561198164970560,yuurih,3,3300,1300,4150,semi,15,4df19d8300502981
76561198184153575,JBa,2,0,0,1350,force-buy,15,4df19d8300502981
76561198067763828,chelo,3,3300,1300,5400,full,15,4df19d8300502981
76561198058500492,KSCERATO,3,4250,2700,5800,full,15,4df19d8300502981
76561198342718168,susp,2,2550,1000,1000,eco,15,4df19d8300502981
76561198408199043,phzy,2,3000,0,200,eco,15,4df19d8300502981
76561197975129851,Sonic,2,350,300,4900,full,15,4df19d8300502981
76561197960690195,FalleN,3,3300,3300,3150,semi,15,4df19d8300502981
76561197981849043,stanislaw,2,2400,600,800,eco,15,4df19d8300502981
76561198118646644,Skullz,3,3350,1700,4950,full,15,4df19d8300502981
76561198342718168,susp,2,4750,4700,4900,full,16,4df19d8300502981
76561198408199043,phzy,2,5900,5900,6100,full,16,4df19d8300502981
76561197975129851,Sonic,2,3250,3100,3300,force-buy,16,4df19d8300502981
76561198164970560,yuurih,3,5250,1100,5900,full,16,4df19d8300502981
76561198184153575,JBa,2,2900,2900,4800,full,16,4df19d8300502981
76561198067763828,chelo,3,5550,5000,5400,full,16,4df19d8300502981
76561198058500492,KSCERATO,3,4800,1300,5800,full,16,4df19d8300502981
76561197981849043,stanislaw,2,4700,4600,2400,force-buy,16,4df19d8300502981
76561198118646644,Skullz,3,5500,2300,5200,full,16,4df19d8300502981
76561197960690195,FalleN,3,4450,4200,3750,semi,16,4df19d8300502981
76561197960690195,FalleN,3,3500,2700,7650,full,17,4df19d8300502981
76561198058500492,KSCERATO,3,7350,3700,5800,full,17,4df19d8300502981
76561197981849043,stanislaw,2,3500,3450,3650,force-buy,17,4df19d8300502981
76561198164970560,yuurih,3,7700,4100,5800,full,17,4df19d8300502981
76561198067763828,chelo,3,4100,2700,5800,full,17,4df19d8300502981
76561198342718168,susp,2,3750,3700,3900,force-buy,17,4df19d8300502981
76561198408199043,phzy,2,3400,3400,3600,force-buy,17,4df19d8300502981
76561197975129851,Sonic,2,3850,3700,3900,force-buy,17,4df19d8300502981
76561198118646644,Skullz,3,6750,5700,5900,full,17,4df19d8300502981
76561198184153575,JBa,2,3700,3700,3900,force-buy,17,4df19d8300502981
76561198164970560,yuurih,3,9350,1300,5400,full,18,4df19d8300502981
76561198184153575,JBa,2,4400,3300,3000,semi,18,4df19d8300502981
76561198067763828,chelo,3,6050,2700,5800,full,18,4df19d8300502981
76561198342718168,susp,2,4100,3350,3850,semi,18,4df19d8300502981
76561198408199043,phzy,2,4000,3700,3500,semi,18,4df19d8300502981
76561198118646644,Skullz,3,6800,1300,5900,full,18,4df19d8300502981
76561197960690195,FalleN,3,3850,4200,6650,full,18,4df19d8300502981
76561198058500492,KSCERATO,3,5100,5600,4700,full,18,4df19d8300502981
76561197981849043,stanislaw,2,4450,3300,3400,semi,18,4df19d8300502981
76561197975129851,Sonic,2,4450,3700,4100,full,18,4df19d8300502981
