frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
83,40,1,76561198342718168,3,susp,Kevlar Vest,equipment,01JM6EY6QSXRVHJC3ZXH74A6NR,0,2691cc418a36940e
129,75,1,76561198184153575,3,JBa,Kevlar Vest,equipment,01JM6EY6QTZ6H0TQ3X57V0Z8RW,0,2691cc418a36940e
143,85,1,76561198408199043,3,phzy,Kevlar Vest,equipment,01JM6EY6QTZ6H0TQ3X58AHM1PA,0,2691cc418a36940e
206,124,1,76561198067763828,2,chelo,Kevlar Vest,equipment,01JM6EY6QV888FBWTDGZK8N9RC,0,2691cc418a36940e
218,131,1,76561197975129851,3,Sonic,Kevlar Vest,equipment,01JM6EY6QV888FBWTDH0MD088H,0,2691cc418a36940e
232,141,1,76561197981849043,3,stanislaw,Dual Berettas,pistol,01JM6EY6QWJC7CMDS1B4N9RBP2,0,2691cc418a36940e
249,152,1,76561197960690195,2,FalleN,P250,pistol,01JM6EY6QWJC7CMDS1B8H4NBPA,0,2691cc418a36940e
281,173,1,76561197960690195,2,FalleN,Smoke Grenade,grenade,01JM6EY6QX2CMTYHJRARKA76ZZ,0,2691cc418a36940e
285,176,1,76561198058500492,2,KSCERATO,Kevlar Vest,equipment,01JM6EY6QX2CMTYHJRAWBYZ51F,0,2691cc418a36940e
290,181,1,76561197960690195,2,FalleN,Flashbang,grenade,01JM6EY6QX2CMTYHJRAXJFKZXW,0,2691cc418a36940e
355,232,1,76561198118646644,2,Skullz,Kevlar Vest,equipment,01JM6EY6QY0BYWGF4N0V5641MN,0,2691cc418a36940e
874,658,1,76561197981849043,3,stanislaw,Smoke Grenade,grenade,01JM6EY6R6D2YMNGZGZGBFXEKP,0,2691cc418a36940e
876,659,1,76561197981849043,3,stanislaw,Flashbang,grenade,01JM6EY6R6D2YMNGZGZK46Y9WM,0,2691cc418a36940e
1090,832,1,76561198164970560,2,yuurih,Kevlar Vest,equipment,01JM6EY6R9KH0HAH7VVV24BHCX,0,2691cc418a36940e
5588,4640,2,76561198342718168,3,susp,M4A1,rifle,01JM6EY6Y7HRV3CNVFS20D031R,0,2691cc418a36940e
5605,4655,2,76561198342718168,3,susp,Kevlar + Helmet,equipment,01JM6EY6Y87ZMQ55ZGG19090B6,0,2691cc418a36940e
5623,4667,2,76561198408199043,3,phzy,Kevlar + Helmet,equipment,01JM6EY6Y87ZMQ55ZGG20N6GZJ,0,2691cc418a36940e
5624,4668,2,76561197975129851,3,Sonic,Kevlar + Helmet,equipment,01JM6EY6Y87ZMQ55ZGG510RQVN,0,2691cc418a36940e
5645,4685,2,76561198058500492,2,KSCERATO,Kevlar + Helmet,equipment,01JM6EY6Y98NS3WE7CDQC6GY5M,0,2691cc418a36940e
