steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198408199043,phzy,3,800,650,950,pistol,1,2691cc418a36940e
76561198342718168,susp,3,800,650,850,pistol,1,2691cc418a36940e
76561198164970560,yuurih,2,800,650,850,pistol,1,2691cc418a36940e
76561198184153575,JBa,3,800,650,850,pistol,1,2691cc418a36940e
76561197981849043,stanislaw,3,800,800,700,pistol,1,2691cc418a36940e
76561197960690195,FalleN,2,800,800,700,pistol,1,2691cc418a36940e
76561198118646644,Skullz,2,800,650,850,pistol,1,2691cc418a36940e
76561198058500492,KSCERATO,2,800,650,950,pistol,1,2691cc418a36940e
76561197975129851,Sonic,3,800,650,850,pistol,1,2691cc418a36940e
76561198067763828,chelo,2,800,650,850,pistol,1,2691cc418a36940e
76561197981849043,stanislaw,3,3250,3250,3650,semi,2,2691cc418a36940e
76561198118646644,Skullz,2,2050,2000,2000,force-buy,2,2691cc418a36940e
76561198408199043,phzy,3,3700,3550,4500,full,2,2691cc418a36940e
76561198342718168,susp,3,4000,3850,4700,full,2,2691cc418a36940e
76561198058500492,KSCERATO,2,2050,2000,2000,force-buy,2,2691cc418a36940e
76561198184153575,JBa,3,4000,3950,4800,full,2,2691cc418a36940e
76561197960690195,FalleN,2,1900,1800,1800,force-buy,2,2691cc418a36940e
76561198164970560,yuurih,2,2050,2000,2000,force-buy,2,2691cc418a36940e
76561197975129851,Sonic,3,3400,3250,4400,semi,2,2691cc418a36940e
76561198067763828,chelo,2,2050,2000,2000,force-buy,2,2691cc418a36940e
76561197981849043,stanislaw,3,3250,1100,4050,semi,3,2691cc418a36940e
76561198118646644,Skullz,2,2450,300,200,eco,3,2691cc418a36940e
76561198342718168,susp,3,3700,3700,5200,full,3,2691cc418a36940e
76561198058500492,KSCERATO,2,2450,0,200,eco,3,2691cc418a36940e
76561198184153575,JBa,3,3900,3700,5400,full,3,2691cc418a36940e
76561197975129851,Sonic,3,3700,2700,5800,full,3,2691cc418a36940e
76561197960690195,FalleN,2,2500,0,1900,semi,3,2691cc418a36940e
76561198408199043,phzy,3,3700,1000,4300,semi,3,2691cc418a36940e
76561198164970560,yuurih,2,3050,1700,1900,semi,3,2691cc418a36940e
76561198067763828,chelo,2,2450,300,300,eco,3,2691cc418a36940e
76561198164970560,yuurih,2,5200,1700,5100,full,4,2691cc418a36940e
76561197975129851,Sonic,3,2700,2550,2750,force-buy,4,2691cc418a36940e
76561198067763828,chelo,2,5700,4900,5200,full,4,2691cc418a36940e
76561197981849043,stanislaw,3,4750,4750,3100,force-buy,4,2691cc418a36940e
76561198184153575,JBa,3,1600,1450,1450,force-buy,4,2691cc418a36940e
76561197960690195,FalleN,2,5750,4800,5000,full,4,2691cc418a36940e
76561198118646644,Skullz,2,6000,4900,5300,full,4,2691cc418a36940e
76561198408199043,phzy,3,4100,4050,6100,full,4,2691cc418a36940e
76561198342718168,susp,3,1400,1350,1350,force-buy,4,2691cc418a36940e
76561198058500492,KSCERATO,2,5700,4900,5100,full,4,2691cc418a36940e
76561197981849043,stanislaw,3,1900,1850,1850,force-buy,5,2691cc418a36940e
76561198118646644,Skullz,2,4350,4200,4400,full,5,2691cc418a36940e
76561198058500492,KSCERATO,2,5250,3700,5100,full,5,2691cc418a36940e
76561197975129851,Sonic,3,2050,1950,1950,force-buy,5,2691cc418a36940e
76561197960690195,FalleN,2,4800,4800,7050,full,5,2691cc418a36940e
76561198408199043,phzy,3,2350,1150,1150,semi,5,2691cc418a36940e
76561198342718168,susp,3,1950,1800,1800,force-buy,5,2691cc418a36940e
76561198164970560,yuurih,2,6750,4900,5100,full,5,2691cc418a36940e
76561198184153575,JBa,3,2050,1900,2100,force-buy,5,2691cc418a36940e
76561198067763828,chelo,2,4050,2100,5000,full,5,2691cc418a36940e
76561198058500492,KSCERATO,2,5350,3250,3450,semi,6,2691cc418a36940e
76561197981849043,stanislaw,3,2450,500,700,eco,6,2691cc418a36940e
76561197960690195,FalleN,2,3500,2100,7050,full,6,2691cc418a36940e
76561198342718168,susp,3,3150,1450,1450,semi,6,2691cc418a36940e
76561198164970560,yuurih,2,5350,1200,5100,full,6,2691cc418a36940e
76561198184153575,JBa,3,3150,1450,1450,semi,6,2691cc418a36940e
76561197975129851,Sonic,3,2500,0,500,eco,6,2691cc418a36940e
76561198067763828,chelo,2,5450,4900,5100,full,6,2691cc418a36940e
76561198118646644,Skullz,2,4850,3900,5100,full,6,2691cc418a36940e
76561198408199043,phzy,3,3900,2900,3750,semi,6,2691cc418a36940e
76561197981849043,stanislaw,3,4850,4850,5050,full,7,2691cc418a36940e
76561198118646644,Skullz,2,5050,1200,5100,full,7,2691cc418a36940e
76561198058500492,KSCERATO,2,6800,1200,3450,semi,7,2691cc418a36940e
76561197975129851,Sonic,3,5700,5700,4850,full,7,2691cc418a36940e
76561198067763828,chelo,2,4050,2100,5000,full,7,2691cc418a36940e
76561197960690195,FalleN,2,5200,3400,7050,full,7,2691cc418a36940e
76561198408199043,phzy,3,4200,2550,7000,full,7,2691cc418a36940e
76561198342718168,susp,3,4600,4550,4550,full,7,2691cc418a36940e
76561198164970560,yuurih,2,7650,5100,5000,full,7,2691cc418a36940e
76561198184153575,JBa,3,4600,4600,4800,full,7,2691cc418a36940e
76561197981849043,stanislaw,3,3250,3000,3400,semi,8,2691cc418a36940e
76561197960690195,FalleN,2,3200,2400,4700,full,8,2691cc418a36940e
76561198118646644,Skullz,2,5250,4900,5100,full,8,2691cc418a36940e
76561198058500492,KSCERATO,2,7200,7200,5100,full,8,2691cc418a36940e
76561198164970560,yuurih,2,3950,3900,4100,full,8,2691cc418a36940e
76561198184153575,JBa,3,4150,4000,5300,full,8,2691cc418a36940e
76561197975129851,Sonic,3,3250,2700,5800,full,8,2691cc418a36940e
76561198067763828,chelo,2,3650,3500,3900,force-buy,8,2691cc418a36940e
76561198408199043,phzy,3,5100,3600,7200,full,8,2691cc418a36940e
76561198342718168,susp,3,3300,2700,5900,full,8,2691cc418a36940e
76561198164970560,yuurih,2,3300,3250,3450,semi,9,2691cc418a36940e
76561197981849043,stanislaw,3,2650,1950,1950,semi,9,2691cc418a36940e
76561197960690195,FalleN,2,4350,4300,4900,full,9,2691cc418a36940e
76561198118646644,Skullz,2,3900,2200,5100,full,9,2691cc418a36940e
76561198408199043,phzy,3,4300,950,1150,semi,9,2691cc418a36940e
76561198342718168,susp,3,3000,1350,1350,semi,9,2691cc418a36940e
76561198184153575,JBa,3,2850,1350,1350,semi,9,2691cc418a36940e
76561197975129851,Sonic,3,3250,1850,1850,semi,9,2691cc418a36940e
76561198067763828,chelo,2,3400,3300,3500,semi,9,2691cc418a36940e
76561198058500492,KSCERATO,2,4450,4100,5100,full,9,2691cc418a36940e
76561198067763828,chelo,2,1500,1500,1800,force-buy,10,2691cc418a36940e
76561197981849043,stanislaw,3,4250,2700,5800,full,10,2691cc418a36940e
76561197960690195,FalleN,2,1750,1700,1700,force-buy,10,2691cc418a36940e
76561198118646644,Skullz,2,3100,3100,3200,force-buy,10,2691cc418a36940e
76561198408199043,phzy,3,7200,7050,7250,full,10,2691cc418a36940e
76561198184153575,JBa,3,5050,4600,5950,full,10,2691cc418a36940e
76561198342718168,susp,3,4900,2300,5200,full,10,2691cc418a36940e
76561198058500492,KSCERATO,2,1750,1700,1900,force-buy,10,2691cc418a36940e
76561198164970560,yuurih,2,2650,2600,2400,force-buy,10,2691cc418a36940e
76561197975129851,Sonic,3,4950,4900,5700,full,10,2691cc418a36940e
76561198118646644,Skullz,2,2200,300,300,eco,11,2691cc418a36940e
76561198408199043,phzy,3,3400,800,7550,full,11,2691cc418a36940e
76561198342718168,susp,3,6450,700,5600,full,11,2691cc418a36940e
76561198058500492,KSCERATO,2,1950,300,300,eco,11,2691cc418a36940e
76561198164970560,yuurih,2,1950,0,200,eco,11,2691cc418a36940e
76561198184153575,JBa,3,3700,2700,5800,full,11,2691cc418a36940e
76561197975129851,Sonic,3,3600,600,6100,full,11,2691cc418a36940e
76561198067763828,chelo,2,1900,0,200,eco,11,2691cc418a36940e
76561197981849043,stanislaw,3,5400,3300,5900,full,11,2691cc418a36940e
76561197960690195,FalleN,2,1950,400,600,eco,11,2691cc418a36940e
76561197960690195,FalleN,2,4250,4200,4000,full,12,2691cc418a36940e
76561198408199043,phzy,3,6050,3200,7550,full,12,2691cc418a36940e
76561198342718168,susp,3,9000,4500,5900,full,12,2691cc418a36940e
76561198184153575,JBa,3,4850,300,5900,full,12,2691cc418a36940e
76561198067763828,chelo,2,4300,4200,4500,full,12,2691cc418a36940e
76561197981849043,stanislaw,3,5650,2900,5900,full,12,2691cc418a36940e
76561198118646644,Skullz,2,4300,4200,4400,full,12,2691cc418a36940e
76561198058500492,KSCERATO,2,4050,4000,4200,full,12,2691cc418a36940e
76561198164970560,yuurih,2,4350,4000,4200,full,12,2691cc418a36940e
76561197975129851,Sonic,3,6250,700,6100,full,12,2691cc418a36940e
76561198342718168,susp,2,800,650,850,pistol,13,2691cc418a36940e
76561198184153575,JBa,2,800,650,850,pistol,13,2691cc418a36940e
76561197975129851,Sonic,2,800,650,1150,pistol,13,2691cc418a36940e
76561197981849043,stanislaw,2,800,800,700,pistol,13,2691cc418a36940e
76561198058500492,KSCERATO,3,800,650,850,pistol,13,2691cc418a36940e
76561198164970560,yuurih,3,800,650,850,pistol,13,2691cc418a36940e
76561198067763828,chelo,3,800,650,850,pistol,13,2691cc418a36940e
76561197960690195,FalleN,3,800,800,700,pistol,13,2691cc418a36940e
76561198118646644,Skullz,3,800,650,1250,pistol,13,2691cc418a36940e
76561198408199043,phzy,2,800,800,1000,pistol,13,2691cc418a36940e
76561198342718168,susp,2,3700,3700,3900,semi,14,2691cc418a36940e
