name,steamid,score,team name,kills,assists,deaths,headshots,hs %,k/d,kast,avg damages per round,avg kills per round,avg death per round,utility_damage_per_round,mvp,rank type,rank,old rank,win count,bomb planted,bomb defused,hostage rescued,health damage,armor damage,utility damage,1v1,1v2,1v3,1v4,1v5,1v1 won,1v2 won,1v3 won,1v4 won,1v5 won,1v1 lost,1v2 lost,1v3 lost,1v4 lost,1v5 lost,first kill,first death,trade kill,trade death,first trade kill,first trade death,1k,2k,3k,4k,5k,htlv 2,htlv,crosshair share code,color,inspect weapon count,match checksum
Djoko,76561198047876970,34,Team A,13,6,18,8,61,0.722222,70.833328,63.500000,0.541667,0.750000,10.458333,1,-1,0,0,0,1,0,0,1524,250,251,3,10,9,7,4,1,0,0,0,0,2,10,9,7,4,4,3,2,8,0,0,7,1,0,1,0,0.875144,0.826209,CSGO-oNmvB-ONbiV-fBONR-LFQh2-8bBAA,3,0,3a5be6e4d45a306e
Lucky,76561198031890115,36,Team A,14,5,16,6,42,0.875000,75.000000,72.458336,0.583333,0.666667,7.000000,2,-1,0,0,0,0,0,0,1739,237,168,3,10,9,7,4,1,0,0,0,0,2,10,9,7,4,2,1,2,5,0,0,8,0,2,0,0,1.010499,0.905006,CSGO-qW2GL-L2XNG-9NYj9-5sq8G-HzQRO,4,0,3a5be6e4d45a306e
JDC,76561198078771373,50,Team B,19,7,18,8,42,1.055556,66.666672,103.041664,0.791667,0.750000,7.625000,5,-1,0,0,0,1,1,0,2473,304,183,2,9,8,6,3,1,0,0,0,0,1,9,8,6,3,7,1,3,1,0,0,9,2,2,0,0,1.191496,1.059252,CSGO-42mOR-yq7WF-wWT8U-tjxTL-s5eyC,1,0,3a5be6e4d45a306e
Ex3rcice,76561198168198200,40,Team A,14,5,15,7,50,0.933333,87.500000,59.125000,0.583333,0.625000,1.791667,2,-1,0,0,0,2,1,0,1419,208,43,4,11,10,8,5,1,0,0,0,0,3,11,10,8,5,0,1,5,6,0,1,7,2,1,0,0,1.081287,0.914914,CSGO-QY2B2-LDYFz-iiy3i-w2jWy-vP6FP,2,0,3a5be6e4d45a306e
Graviti,76561198179538505,53,Team A,19,2,16,13,68,1.187500,58.333332,86.000000,0.791667,0.666667,3.000000,4,-1,0,0,0,2,1,0,2064,173,72,4,11,10,8,5,1,0,0,0,0,3,11,10,8,5,1,4,5,0,0,0,4,2,1,2,0,1.099783,1.344930,CSGO-JULWA-cxmTk-JT7uE-FTVT4-V78WB,1,0,3a5be6e4d45a306e
tabseN,76561197961491680,28,Team B,13,4,19,7,53,0.684211,62.500000,50.208332,0.541667,0.791667,9.000000,0,-1,0,0,0,0,0,0,1205,198,216,1,8,7,5,2,1,0,0,0,0,0,8,7,5,2,2,2,3,4,0,1,9,2,0,0,0,0.741272,0.671285,CSGO-qVsva-G54Cx-YH9oG-98vnA-vWXTB,4,0,3a5be6e4d45a306e
kyuubii,76561198144926364,56,Team B,22,5,19,9,40,1.157895,79.166672,93.666664,0.916667,0.791667,4.708333,3,-1,0,0,0,2,1,0,2248,431,113,3,10,9,7,4,1,0,0,0,0,2,10,9,7,4,1,2,2,4,0,1,9,2,3,0,0,1.330282,1.202120,CSGO-dkfKY-NQvA4-BWjpV-sGzWW-U9z6A,0,0,3a5be6e4d45a306e
Maka,76561198045739761,64,Team A,24,4,15,6,25,1.600000,79.166672,109.250000,1.000000,0.625000,4.750000,4,-1,0,0,0,4,0,0,2622,263,114,2,9,8,6,3,1,0,0,0,0,1,9,8,6,3,4,4,4,2,0,1,7,3,1,2,0,1.536842,1.577238,CSGO-OX88s-h7Z95-kH2AD-cqdSW-zqLDR,0,0,3a5be6e4d45a306e
hyped,76561198139604328,35,Team B,11,6,15,2,18,0.733333,70.833328,52.958332,0.458333,0.625000,7.708333,1,-1,0,0,0,3,1,0,1271,111,185,4,11,10,8,5,2,1,1,1,1,2,10,9,7,4,3,4,2,3,0,1,7,2,0,0,0,0.835995,0.737969,CSGO-Cr7BJ-7CbBi-yx2oQ-Jy32v-7cG4C,2,0,3a5be6e4d45a306e
Krimbo,76561198170631091,39,Team B,15,7,13,10,66,1.153846,75.000000,62.208332,0.625000,0.541667,4.666667,2,-1,0,0,0,1,0,0,1493,289,112,7,14,13,11,8,1,0,0,0,0,6,14,13,11,8,0,2,1,0,0,0,8,2,1,0,0,1.088627,1.017881,CSGO-SiKaS-nXbX8-nMQ3B-Etwwy-K5nQD,3,0,3a5be6e4d45a306e
