frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
4544,3702,1,4,2,0,76561198031890115,Lucky,0,0,7a873ef2dfe2748b
12797,10568,2,4,2,0,76561198179538505,Graviti,0,0,7a873ef2dfe2748b
21293,17505,3,3,3,0,76561197967432889,MAJ3R,1,0,7a873ef2dfe2748b
35427,29258,4,3,3,0,76561198410750263,jottAAA,1,0,7a873ef2dfe2748b
59960,49664,6,4,2,0,76561198031890115,Lucky,0,1,7a873ef2dfe2748b
67918,56054,7,2,3,0,76561198410750263,jottAAA,0,1,7a873ef2dfe2748b
67933,56067,7,1,2,1,76561198179538505,Graviti,1,1,7a873ef2dfe2748b
92687,76511,9,3,3,0,76561197967432889,MAJ3R,0,0,7a873ef2dfe2748b
103184,85097,10,3,3,0,76561198044118796,XANTARES,1,1,7a873ef2dfe2748b
114789,94550,11,2,3,0,76561198083485506,woxic,0,0,7a873ef2dfe2748b
126679,104277,12,2,3,0,76561198083485506,woxic,0,0,7a873ef2dfe2748b
150065,123888,13,4,2,0,76561198044118796,XANTARES,0,1,7a873ef2dfe2748b
158459,130710,14,5,2,0,76561198812513923,Wicadia,0,3,7a873ef2dfe2748b
174414,143620,15,3,2,0,76561198812513923,Wicadia,0,1,7a873ef2dfe2748b
193177,158951,17,2,2,0,76561198812513923,Wicadia,0,0,7a873ef2dfe2748b
