steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198168198200,Ex3rcice,2,800,650,850,pistol,1,7a873ef2dfe2748b
76561198045739761,Maka,2,800,650,1050,pistol,1,7a873ef2dfe2748b
76561198083485506,woxic,3,800,650,850,pistol,1,7a873ef2dfe2748b
76561198812513923,Wicadia,3,800,650,950,pistol,1,7a873ef2dfe2748b
76561197967432889,MAJ3R,3,800,800,1200,pistol,1,7a873ef2dfe2748b
76561198044118796,XANTARES,3,800,650,950,pistol,1,7a873ef2dfe2748b
76561198047876970,Djoko,2,800,650,850,pistol,1,7a873ef2dfe2748b
76561198031890115,Lucky,2,800,650,850,pistol,1,7a873ef2dfe2748b
76561198179538505,Graviti,2,800,800,1000,pistol,1,7a873ef2dfe2748b
76561198410750263,jottAAA,3,800,800,200,pistol,1,7a873ef2dfe2748b
76561198168198200,Ex3rcice,2,2350,300,300,eco,2,7a873ef2dfe2748b
76561198812513923,Wicadia,3,4000,3900,4700,full,2,7a873ef2dfe2748b
76561198044118796,XANTARES,3,3700,3550,4800,full,2,7a873ef2dfe2748b
76561198047876970,Djoko,2,2050,0,200,eco,2,7a873ef2dfe2748b
76561198031890115,Lucky,2,2050,0,200,eco,2,7a873ef2dfe2748b
76561198410750263,jottAAA,3,3550,3550,3950,semi,2,7a873ef2dfe2748b
76561198045739761,Maka,2,2050,700,700,eco,2,7a873ef2dfe2748b
76561197967432889,MAJ3R,3,3250,3050,3750,semi,2,7a873ef2dfe2748b
76561198179538505,Graviti,2,1900,0,200,eco,2,7a873ef2dfe2748b
76561198083485506,woxic,3,3700,3550,3750,semi,2,7a873ef2dfe2748b
76561198812513923,Wicadia,3,3950,1300,5500,full,3,7a873ef2dfe2748b
76561197967432889,MAJ3R,3,3450,800,3750,semi,3,7a873ef2dfe2748b
76561198044118796,XANTARES,3,3400,1300,5500,full,3,7a873ef2dfe2748b
76561198047876970,Djoko,2,4450,4400,4900,full,3,7a873ef2dfe2748b
76561198031890115,Lucky,2,4450,4400,4600,full,3,7a873ef2dfe2748b
76561198179538505,Graviti,2,4300,4200,4400,full,3,7a873ef2dfe2748b
76561198410750263,jottAAA,3,3550,2300,4850,full,3,7a873ef2dfe2748b
76561198168198200,Ex3rcice,2,4750,4700,5100,full,3,7a873ef2dfe2748b
76561198083485506,woxic,3,4600,4300,5800,full,3,7a873ef2dfe2748b
76561198045739761,Maka,2,3750,3700,3900,force-buy,3,7a873ef2dfe2748b
76561198044118796,XANTARES,3,3800,3750,4750,full,4,7a873ef2dfe2748b
76561198083485506,woxic,3,1700,1650,3950,force-buy,4,7a873ef2dfe2748b
76561198045739761,Maka,2,3850,1400,5000,full,4,7a873ef2dfe2748b
76561198812513923,Wicadia,3,3850,3850,4050,force-buy,4,7a873ef2dfe2748b
76561198047876970,Djoko,2,3850,3700,4900,full,4,7a873ef2dfe2748b
76561198031890115,Lucky,2,3550,2200,5100,full,4,7a873ef2dfe2748b
76561198179538505,Graviti,2,3600,2200,5100,full,4,7a873ef2dfe2748b
76561198410750263,jottAAA,3,2950,2900,3100,force-buy,4,7a873ef2dfe2748b
76561198168198200,Ex3rcice,2,4450,3000,5000,full,4,7a873ef2dfe2748b
76561197967432889,MAJ3R,3,4050,3200,5400,full,4,7a873ef2dfe2748b
