frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
3650,3028,1,Ex3rcice,76561198168198200,3,Team A,XANTARES,76561198044118796,2,Team B,,0,0,,USP-S,pistol,1,0,0,0,0,0,1775.765991,1312.153076,-145.968750,0,0,1435.202637,901.812012,-151.968750,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,13.538709,6c679391a6dbcf2f
3798,3159,1,Ex3rcice,76561198168198200,3,Team A,Wicadia,76561198812513923,2,Team B,,0,0,,USP-S,pistol,1,0,0,0,0,0,1725.025513,1338.138794,-151.968750,0,0,1408.821167,834.850281,-151.968750,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,15.098166,6c679391a6dbcf2f
3864,3216,1,Djoko,76561198047876970,3,Team A,jottAAA,76561198410750263,2,Team B,,0,0,,Dual Berettas,pistol,1,0,0,0,0,0,1640.990356,1003.321289,-151.968750,0,0,1350.695312,854.774780,-151.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,8.287210,6c679391a6dbcf2f
4010,3339,1,woxic,76561198083485506,2,Team B,Ex3rcice,76561198168198200,3,Team A,XANTARES,76561198044118796,2,Team B,Glock-18,pistol,1,0,0,0,0,0,748.257202,600.815674,-151.968750,0,0,1727.978027,1060.981567,-151.968750,0,0,0,1435.202637,901.812012,-151.968750,1,0,0,0,27.568205,6c679391a6dbcf2f
7705,6613,1,Maka,76561198045739761,3,Team A,MAJ3R,76561197967432889,2,Team B,,0,0,,USP-S,pistol,1,0,0,0,0,0,924.440979,2163.483887,-39.968750,0,0,1626.288208,1441.363159,-151.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,25.795712,6c679391a6dbcf2f
7989,6863,1,Maka,76561198045739761,3,Team A,woxic,76561198083485506,2,Team B,,0,0,,USP-S,pistol,1,0,0,0,0,0,1018.907043,2239.700684,-39.968750,0,0,1721.963867,1298.813721,-151.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,29.968000,6c679391a6dbcf2f
15431,12943,2,Djoko,76561198047876970,3,Team A,XANTARES,76561198044118796,2,Team B,,0,0,,FAMAS,rifle,1,0,0,0,0,0,1105.251953,1475.247559,-129.364990,0,0,112.315865,1166.275391,-31.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,26.593012,6c679391a6dbcf2f
15668,13151,2,Djoko,76561198047876970,3,Team A,Wicadia,76561198812513923,2,Team B,,0,0,,FAMAS,rifle,0,0,0,0,0,0,1023.437561,1311.126099,-87.968750,0,0,94.933350,1248.509644,-31.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,23.676731,6c679391a6dbcf2f
15789,13247,2,Lucky,76561198031890115,3,Team A,MAJ3R,76561197967432889,2,Team B,,0,0,,M4A1,rifle,1,0,0,0,0,0,-218.068481,1005.126953,60.031250,0,0,-272.700195,1552.399780,27.031248,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,14.014554,6c679391a6dbcf2f
15835,13285,2,Maka,76561198045739761,3,Team A,jottAAA,76561198410750263,2,Team B,,0,0,,M4A4,rifle,1,0,0,0,0,0,-353.798889,2267.294434,24.031292,0,0,-210.439087,1628.216919,27.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,16.648676,6c679391a6dbcf2f
