number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,1,1,1265,1600,6863,7989,7183,8400,Team A,Team B,1,0,3,2,4000,4000,4200,4350,3400,3350,pistol,pistol,101841,8,Team A,3,0,6c679391a6dbcf2f
2,7183,8400,8463,10129,13366,15924,13686,16318,Team A,Team B,2,0,3,2,18350,10450,22000,1000,17950,0,semi,eco,95926,8,Team A,3,0,6c679391a6dbcf2f
3,13686,16318,14966,17974,20934,25160,21254,25555,Team A,Team B,2,1,3,2,18150,22450,25200,23100,6600,22200,full,full,112729,9,Team B,2,0,6c679391a6dbcf2f
4,21254,25555,22534,27253,27776,33536,28096,33941,Team A,Team B,2,2,3,2,18550,18300,3200,25500,3200,4800,eco,full,101752,9,Team B,2,0,6c679391a6dbcf2f
5,28096,33941,29376,35647,37426,45162,37746,45542,Team A,Team B,2,3,3,2,25150,31550,26000,25700,24800,8000,full,full,143060,1,Team B,2,0,6c679391a6dbcf2f
6,40695,49155,41975,50788,45901,55546,46221,55945,Team A,Team B,2,4,3,2,12450,42550,5750,28050,700,8300,semi,full,81481,9,Team B,2,0,6c679391a6dbcf2f
7,46221,55945,47501,57679,56079,67794,56399,68173,Team A,Team B,3,4,3,2,26850,51800,26900,27650,25900,12800,full,full,151067,7,Team A,3,0,6c679391a6dbcf2f
8,56399,68173,57679,70015,63576,77216,63896,77605,Team A,Team B,4,4,3,2,20250,50300,25900,27750,19200,26950,full,full,115292,8,Team A,3,0,6c679391a6dbcf2f
9,63896,77605,65176,79400,71269,86722,71589,87107,Team A,Team B,4,5,3,2,18200,32850,28450,27450,6800,26450,full,full,116235,1,Team B,2,0,6c679391a6dbcf2f
10,71589,87107,72869,88834,76127,92945,76447,93344,Team A,Team B,4,6,3,2,21700,25200,26100,25600,18950,20600,full,full,74430,9,Team B,2,0,6c679391a6dbcf2f
11,76447,93344,77727,95190,86498,105445,86818,105842,Team A,Team B,4,7,3,2,15250,21950,5650,26000,5250,16100,semi,full,154280,1,Team B,2,0,6c679391a6dbcf2f
12,89291,108911,90571,110707,95020,116056,95564,116716,Team A,Team B,4,8,3,2,24500,24350,29450,28250,24250,14200,full,full,91094,9,Team B,2,0,6c679391a6dbcf2f
13,95564,116716,110171,134244,112475,136932,112795,137326,Team A,Team B,4,9,2,3,4000,4000,4150,4000,3350,3400,pistol,pistol,257741,8,Team B,3,0,6c679391a6dbcf2f
14,112795,137326,114075,139114,118244,144108,118564,144501,Team A,Team B,4,10,2,3,10450,18350,10450,19850,10050,17250,force-buy,semi,86466,8,Team B,3,0,6c679391a6dbcf2f
15,118564,144501,119844,146238,123019,150083,123339,150481,Team A,Team B,4,11,2,3,12700,19450,6050,24350,5650,9450,semi,full,71166,8,Team B,3,0,6c679391a6dbcf2f
16,123339,150481,124619,152292,132272,161431,132592,161808,Team A,Team B,5,11,2,3,21850,28350,23000,28700,21700,10350,full,full,139605,1,Team A,2,0,6c679391a6dbcf2f
17,132592,161808,133872,163520,140444,171453,140764,171835,Team A,Team B,5,12,2,3,18850,25300,25200,29900,9200,18350,full,full,122967,8,Team B,3,0,6c679391a6dbcf2f
18,143567,175545,144847,177292,151638,185480,151958,185872,Team A,Team B,6,12,2,3,21950,24700,21700,30550,20900,11550,full,full,126664,9,Team A,2,0,6c679391a6dbcf2f
19,154691,189558,155971,191364,163315,199981,163635,200366,Team A,Team B,7,12,2,3,19100,20850,26850,6500,16300,5900,full,semi,132886,9,Team A,2,0,6c679391a6dbcf2f
20,163635,200366,164915,202135,172361,211071,172681,211457,Team A,Team B,8,12,2,3,20450,26250,22900,25400,17800,24400,full,full,136481,9,Team A,2,0,6c679391a6dbcf2f
21,172681,211457,173961,213299,177917,217985,178237,218377,Team A,Team B,9,12,2,3,20300,14550,26550,4900,16000,4700,full,eco,83227,9,Team A,2,0,6c679391a6dbcf2f
22,181001,221877,182281,223604,187918,230357,188238,230747,Team A,Team B,10,12,2,3,22050,24350,28050,24950,8000,23950,full,full,108114,1,Team A,2,0,6c679391a6dbcf2f
23,188238,230747,189518,232444,197298,241753,197618,242154,Team A,Team B,11,12,2,3,32450,17700,28150,16550,9500,7950,full,semi,140319,1,Team A,2,0,6c679391a6dbcf2f
24,197618,242154,198898,243933,207169,253876,207713,254516,Team A,Team B,12,12,2,3,41050,27350,28650,29800,12150,20700,full,full,149448,9,Team A,2,0,6c679391a6dbcf2f
25,207713,254516,208993,256192,216445,265114,216765,265499,Team A,Team B,13,12,2,3,62500,62500,27350,32350,26850,31350,full,full,135117,1,Team A,2,1,6c679391a6dbcf2f
26,219171,268465,220451,270160,227195,278142,227515,278525,Team A,Team B,13,13,2,3,54150,41050,28050,30300,14550,18700,full,full,123375,8,Team B,3,1,6c679391a6dbcf2f
27,227515,278525,228795,280380,236152,289377,236696,290050,Team A,Team B,13,14,2,3,47200,39900,28850,30750,29150,15850,full,full,138356,7,Team B,3,1,6c679391a6dbcf2f
28,239243,293301,240523,295022,248392,304334,248712,304717,Team A,Team B,13,15,3,2,62500,62500,31050,27350,30450,27250,full,full,140663,9,Team B,2,1,6c679391a6dbcf2f
29,248712,304717,251879,308959,257254,315523,257254,315523,Team A,Team B,13,16,3,2,24000,47300,31450,27550,31050,23650,full,full,137769,9,Team B,2,1,6c679391a6dbcf2f
