number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,1,1,1267,1634,5034,5960,5354,6344,Team A,Team B,1,0,3,2,4000,4000,4400,4450,3400,3450,pistol,pistol,76845,8,Team A,3,0,59915953161c3f2c
2,5354,6344,6634,8060,10011,12065,10331,12450,Team A,Team B,2,0,3,2,18350,10950,20550,1000,17850,0,semi,eco,73775,8,Team A,3,0,59915953161c3f2c
3,10331,12450,11611,14114,20380,24583,20700,24967,Team A,Team B,2,1,3,2,18250,22950,23250,23300,5200,22100,full,full,156462,1,Team B,2,0,59915953161c3f2c
4,20700,24967,21980,26709,30893,37192,31213,37594,Team A,Team B,3,1,3,2,19350,19250,26250,25400,12900,8700,full,full,157649,7,Team A,3,0,59915953161c3f2c
5,31213,37594,32493,39365,39428,47672,39748,48053,Team A,Team B,3,2,3,2,25750,24550,27650,24450,22350,23450,full,full,129962,1,Team B,2,0,59915953161c3f2c
6,39748,48053,41028,49750,47711,57595,48031,57988,Team A,Team B,4,2,3,2,10700,19800,21300,27350,10200,9200,force-buy,full,123050,7,Team A,3,0,59915953161c3f2c
7,48031,57988,49311,59685,56897,68660,57217,69039,Team A,Team B,4,3,3,2,19600,21800,27250,22450,16850,21450,full,full,137622,1,Team B,2,0,59915953161c3f2c
8,59843,72232,61123,73836,67186,81201,67506,81598,Team A,Team B,4,4,3,2,10050,19050,19650,27350,8150,8100,force-buy,full,115660,1,Team B,2,0,59915953161c3f2c
9,67506,81598,72749,87864,75889,91715,76209,92099,Team A,Team B,5,4,3,2,12000,29650,11550,27450,800,9600,semi,full,130465,8,Team A,3,0,59915953161c3f2c
10,76209,92099,77489,93894,84285,101944,84605,102343,Team A,Team B,5,5,3,2,28350,27050,32100,25850,13700,24850,full,full,126957,9,Team B,2,0,59915953161c3f2c
11,84605,102343,85885,104018,88416,107175,88736,107577,Team A,Team B,5,6,3,2,22550,19650,23750,27950,22350,16200,full,full,62311,9,Team B,2,0,59915953161c3f2c
12,88736,107577,90016,109325,97461,117921,98005,118587,Team A,Team B,5,7,3,2,10000,21000,10300,28550,9700,7600,force-buy,full,133392,9,Team B,2,0,59915953161c3f2c
13,98005,118587,112441,135940,116463,140553,116783,140940,Team A,Team B,6,7,2,3,4000,4000,5100,4600,3300,3400,pistol,pistol,283265,9,Team A,2,0,59915953161c3f2c
14,116783,140940,118063,142746,126102,152160,126422,152547,Team A,Team B,6,8,2,3,18750,11300,20350,12300,18450,11000,full,force-buy,144688,7,Team B,3,0,59915953161c3f2c
15,126422,152547,127702,154291,134585,162415,134905,162824,Team A,Team B,6,9,2,3,11200,20500,1000,25950,0,17600,eco,full,127254,8,Team B,3,0,59915953161c3f2c
16,134905,162824,136185,164612,142436,172156,142756,172561,Team A,Team B,6,10,2,3,20700,20650,21200,26250,20500,5300,full,full,120341,8,Team B,3,0,59915953161c3f2c
17,142756,172561,144036,174248,152077,183775,152397,184160,Team A,Team B,6,11,2,3,12500,33100,3500,28700,3100,13050,eco,full,144611,7,Team B,3,0,59915953161c3f2c
18,154679,187033,155959,188785,162924,197144,163244,197532,Team A,Team B,7,11,2,3,28100,39150,25900,31250,25200,20950,full,full,130387,9,Team A,2,0,59915953161c3f2c
19,165921,200948,167201,202675,176169,213238,176489,213620,Team A,Team B,8,11,2,3,20750,26200,25500,26400,18700,25400,full,full,158487,1,Team A,2,0,59915953161c3f2c
20,176489,213620,177769,215388,180302,218424,180622,218806,Team A,Team B,9,11,2,3,21150,10700,27650,1300,13900,500,full,eco,61950,9,Team A,2,0,59915953161c3f2c
21,180622,218806,181902,220568,187157,226966,187477,227352,Team A,Team B,10,11,2,3,24800,22800,26150,23900,13700,22500,full,full,105228,1,Team A,2,0,59915953161c3f2c
22,187477,227352,188757,229037,195507,236910,195827,237315,Team A,Team B,10,12,2,3,30100,15100,27450,10550,9000,5450,full,semi,123256,8,Team B,3,0,59915953161c3f2c
23,195827,237315,197107,239119,203789,247196,203789,247196,Team A,Team B,10,13,2,3,12750,23000,26450,28650,26050,21750,full,full,127421,8,Team B,3,0,59915953161c3f2c
