frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
8789,7130,1,2,2,0,76561198083485506,woxic,0,0,2560f7943b930418
18162,14666,2,5,3,0,76561198068422762,frozen,0,2,2560f7943b930418
25781,20733,3,5,3,0,76561198068422762,frozen,0,1,2560f7943b930418
35323,28640,4,3,3,0,76561198201620490,broky,0,0,2560f7943b930418
69526,55806,7,4,3,0,76561197997351207,rain,1,0,2560f7943b930418
79447,63625,8,2,3,0,76561197997351207,rain,0,1,2560f7943b930418
83040,66728,8,1,2,1,76561198083485506,woxic,1,1,2560f7943b930418
91737,73622,9,3,3,0,76561198068422762,frozen,0,0,2560f7943b930418
104296,83462,10,4,3,0,76561198201620490,broky,0,3,2560f7943b930418
106622,85430,10,1,2,1,76561197967432889,MAJ3R,1,1,2560f7943b930418
112616,90044,11,5,3,0,76561198201620490,broky,0,0,2560f7943b930418
126559,101328,12,4,3,0,76561198201620490,broky,0,1,2560f7943b930418
149002,119043,13,3,3,0,76561198812513923,Wicadia,0,0,2560f7943b930418
155151,123855,14,3,3,0,76561197967432889,MAJ3R,0,0,2560f7943b930418
163317,130286,15,3,3,0,76561198812513923,Wicadia,1,0,2560f7943b930418
172249,137506,16,3,2,0,76561197989430253,karrigan,0,1,2560f7943b930418
181995,145078,17,2,2,0,76561198068422762,frozen,0,0,2560f7943b930418
