steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198066693739,EliGE,3,800,650,950,pistol,1,2560f7943b930418
76561198083485506,woxic,2,800,700,900,pistol,1,2560f7943b930418
76561198812513923,Wicadia,2,800,650,850,pistol,1,2560f7943b930418
76561197989430253,karrigan,3,800,800,400,pistol,1,2560f7943b930418
76561198068422762,frozen,3,800,650,950,pistol,1,2560f7943b930418
76561197967432889,MAJ3R,2,800,700,900,pistol,1,2560f7943b930418
76561198044118796,XANTARES,2,800,650,850,pistol,1,2560f7943b930418
76561197997351207,rain,3,800,650,850,pistol,1,2560f7943b930418
76561198410750263,jottAAA,2,800,650,850,pistol,1,2560f7943b930418
76561198201620490,broky,3,800,650,850,pistol,1,2560f7943b930418
76561198044118796,XANTARES,2,2650,2400,4600,full,2,2560f7943b930418
76561197997351207,rain,3,3950,3950,4250,semi,2,2560f7943b930418
76561198201620490,broky,3,4250,4250,4950,full,2,2560f7943b930418
76561198083485506,woxic,2,2600,1150,1450,semi,2,2560f7943b930418
76561198812513923,Wicadia,2,3250,3150,3350,force-buy,2,2560f7943b930418
76561197989430253,karrigan,3,3500,3350,3550,semi,2,2560f7943b930418
76561198410750263,jottAAA,2,2950,2800,3000,force-buy,2,2560f7943b930418
76561197967432889,MAJ3R,2,2900,2900,1200,force-buy,2,2560f7943b930418
76561198066693739,EliGE,3,3950,3950,4150,semi,2,2560f7943b930418
76561198068422762,frozen,3,4250,4250,5200,full,2,2560f7943b930418
76561198201620490,broky,3,1400,1350,1350,force-buy,3,2560f7943b930418
76561198068422762,frozen,3,2000,1950,1950,force-buy,3,2560f7943b930418
76561198812513923,Wicadia,2,4550,3250,3450,semi,3,2560f7943b930418
76561197967432889,MAJ3R,2,3250,2200,4150,full,3,2560f7943b930418
76561198083485506,woxic,2,5000,4800,5000,full,3,2560f7943b930418
76561197997351207,rain,3,1400,1350,1350,force-buy,3,2560f7943b930418
76561197989430253,karrigan,3,1550,1450,1450,force-buy,3,2560f7943b930418
76561198410750263,jottAAA,2,4000,1200,4200,full,3,2560f7943b930418
76561198044118796,XANTARES,2,3800,800,5100,full,3,2560f7943b930418
76561198066693739,EliGE,3,1400,1350,1350,force-buy,3,2560f7943b930418
76561197967432889,MAJ3R,2,4600,700,5600,full,4,2560f7943b930418
76561197989430253,karrigan,3,2000,0,200,eco,4,2560f7943b930418
76561198066693739,EliGE,3,1950,0,200,eco,4,2560f7943b930418
76561198201620490,broky,3,1950,200,400,eco,4,2560f7943b930418
76561198044118796,XANTARES,2,6550,600,5100,full,4,2560f7943b930418
76561198083485506,woxic,2,4350,2000,3250,semi,4,2560f7943b930418
76561198410750263,jottAAA,2,6050,1200,4200,full,4,2560f7943b930418
76561198068422762,frozen,3,2250,0,200,eco,4,2560f7943b930418
76561198812513923,Wicadia,2,5150,3900,5400,full,4,2560f7943b930418
76561197997351207,rain,3,1950,0,200,eco,4,2560f7943b930418
76561197967432889,MAJ3R,2,8350,4950,5600,full,5,2560f7943b930418
76561197989430253,karrigan,3,4700,4650,5050,full,5,2560f7943b930418
76561198201620490,broky,3,4150,4050,4750,full,5,2560f7943b930418
76561198812513923,Wicadia,2,4500,800,5300,full,5,2560f7943b930418
76561198068422762,frozen,3,4650,4550,4750,full,5,2560f7943b930418
76561198066693739,EliGE,3,4350,4350,4550,full,5,2560f7943b930418
76561198044118796,XANTARES,2,9200,4900,5100,full,5,2560f7943b930418
76561198083485506,woxic,2,5600,1400,7150,full,5,2560f7943b930418
76561197997351207,rain,3,4350,4350,5050,full,5,2560f7943b930418
76561198410750263,jottAAA,2,8100,4900,5100,full,5,2560f7943b930418
76561198068422762,frozen,3,3000,1000,4250,semi,6,2560f7943b930418
76561198083485506,woxic,2,7700,600,6750,full,6,2560f7943b930418
76561198410750263,jottAAA,2,7300,1200,5100,full,6,2560f7943b930418
76561198044118796,XANTARES,2,7800,1200,5100,full,6,2560f7943b930418
76561197967432889,MAJ3R,2,7200,5100,5000,full,6,2560f7943b930418
76561198812513923,Wicadia,2,7200,1200,5400,full,6,2560f7943b930418
76561197997351207,rain,3,2900,1000,4750,full,6,2560f7943b930418
76561198201620490,broky,3,3300,300,1000,eco,6,2560f7943b930418
76561197989430253,karrigan,3,2950,300,1650,semi,6,2560f7943b930418
76561198066693739,EliGE,3,2900,950,4050,semi,6,2560f7943b930418
76561197997351207,rain,3,5300,5200,5400,full,7,2560f7943b930418
76561198068422762,frozen,3,5400,5200,5400,full,7,2560f7943b930418
76561197967432889,MAJ3R,2,5900,1200,5100,full,7,2560f7943b930418
76561198201620490,broky,3,6400,6400,6600,full,7,2560f7943b930418
76561198410750263,jottAAA,2,9900,1200,5000,full,7,2560f7943b930418
76561198044118796,XANTARES,2,10100,1000,5100,full,7,2560f7943b930418
76561198083485506,woxic,2,10600,1100,7150,full,7,2560f7943b930418
76561198812513923,Wicadia,2,10100,1400,5300,full,7,2560f7943b930418
76561197989430253,karrigan,3,6050,5000,6350,full,7,2560f7943b930418
76561198066693739,EliGE,3,5350,1700,5450,full,7,2560f7943b930418
76561197989430253,karrigan,3,4450,4350,5050,full,8,2560f7943b930418
76561198201620490,broky,3,3400,3400,5450,full,8,2560f7943b930418
76561198044118796,XANTARES,2,12600,4900,5100,full,8,2560f7943b930418
76561198083485506,woxic,2,13100,1350,7150,full,8,2560f7943b930418
76561198066693739,EliGE,3,7350,7250,5400,full,8,2560f7943b930418
76561197967432889,MAJ3R,2,8500,1400,5000,full,8,2560f7943b930418
76561197997351207,rain,3,3500,3500,5200,full,8,2560f7943b930418
76561198410750263,jottAAA,2,12200,1200,5100,full,8,2560f7943b930418
76561198068422762,frozen,3,3600,2900,5300,full,8,2560f7943b930418
76561198812513923,Wicadia,2,13100,1200,5400,full,8,2560f7943b930418
76561198044118796,XANTARES,2,10950,4900,5100,full,9,2560f7943b930418
76561197997351207,rain,3,4300,1650,1650,semi,9,2560f7943b930418
76561197989430253,karrigan,3,3500,1450,1450,semi,9,2560f7943b930418
76561198066693739,EliGE,3,3500,2200,2400,semi,9,2560f7943b930418
76561198201620490,broky,3,3500,1100,1100,semi,9,2560f7943b930418
76561198068422762,frozen,3,4100,2600,2800,semi,9,2560f7943b930418
76561197967432889,MAJ3R,2,10950,5400,5400,full,9,2560f7943b930418
76561198083485506,woxic,2,15400,1550,7150,full,9,2560f7943b930418
76561198812513923,Wicadia,2,15750,4900,5100,full,9,2560f7943b930418
76561198410750263,jottAAA,2,14250,4900,5100,full,9,2560f7943b930418
76561198066693739,EliGE,3,5300,5250,5450,full,10,2560f7943b930418
76561198410750263,jottAAA,2,13200,1000,5100,full,10,2560f7943b930418
76561197967432889,MAJ3R,2,9400,2900,5400,full,10,2560f7943b930418
76561198044118796,XANTARES,2,9300,4900,5100,full,10,2560f7943b930418
76561198068422762,frozen,3,4900,4850,5050,full,10,2560f7943b930418
76561198812513923,Wicadia,2,14100,900,5100,full,10,2560f7943b930418
76561197997351207,rain,3,6050,5600,5800,full,10,2560f7943b930418
76561197989430253,karrigan,3,5450,5200,5400,full,10,2560f7943b930418
76561198201620490,broky,3,6100,5900,6400,full,10,2560f7943b930418
76561198083485506,woxic,2,16000,4100,6750,full,10,2560f7943b930418
76561197967432889,MAJ3R,2,10350,1700,5100,full,11,2560f7943b930418
