frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
4295,3391,1,XANTARES,76561198044118796,3,Team A,rain,76561197997351207,2,Team B,,0,0,,USP-S,pistol,1,0,0,0,0,0,1255.166748,-1688.247681,-415.968750,0,1,762.053223,-2395.455078,-415.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,21.956347,60fb075c6ceb579d
4331,3421,1,XANTARES,76561198044118796,3,Team A,karrigan,76561197989430253,2,Team B,,0,0,,USP-S,pistol,1,0,0,0,0,0,1242.607300,-1679.593018,-415.968750,0,1,786.487610,-2368.554199,-415.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,21.031528,60fb075c6ceb579d
4358,3445,1,XANTARES,76561198044118796,3,Team A,broky,76561198201620490,2,Team B,,0,0,,USP-S,pistol,1,0,0,0,0,0,1219.568481,-1664.262573,-415.968750,0,1,712.910034,-2441.753662,-415.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,23.598524,60fb075c6ceb579d
4428,3505,1,frozen,76561198068422762,2,Team B,MAJ3R,76561197967432889,3,Team A,,0,0,,Glock-18,pistol,0,0,0,0,0,0,29.175047,-463.620728,-415.968750,0,0,709.042419,907.466919,-479.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,38.904930,60fb075c6ceb579d
5960,4838,1,EliGE,76561198066693739,2,Team B,woxic,76561198083485506,3,Team A,frozen,76561198068422762,2,Team B,Glock-18,pistol,0,0,0,0,0,0,1072.429443,-362.619629,-415.968750,0,0,1211.487183,-446.897583,-127.968750,0,0,0,1152.298096,-229.317322,-415.968750,0,0,0,0,8.401231,60fb075c6ceb579d
6428,5251,1,frozen,76561198068422762,2,Team B,jottAAA,76561198410750263,3,Team A,,0,0,,Glock-18,pistol,1,0,0,0,0,0,1430.714844,-459.034058,-415.968750,0,0,1409.010376,-837.684204,-407.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,9.650799,60fb075c6ceb579d
6596,5400,1,EliGE,76561198066693739,2,Team B,XANTARES,76561198044118796,3,Team A,,0,0,,Glock-18,pistol,1,0,0,0,0,0,1535.419678,-775.396057,-415.968750,0,0,785.908508,-2083.888428,-415.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,38.318542,60fb075c6ceb579d
8532,7125,1,EliGE,76561198066693739,2,Team B,Wicadia,76561198812513923,3,Team A,,0,0,,USP-S,pistol,1,0,0,0,0,0,1138.279175,-1960.220093,-415.968750,0,0,629.285095,-1456.452393,-412.171875,1,0,0,0.000000,0.000000,0.000000,0,0,0,0,18.190149,60fb075c6ceb579d
11448,9299,2,woxic,76561198083485506,3,Team A,EliGE,76561198066693739,2,Team B,,0,0,,SSG 08,sniper,1,2,0,0,0,0,1892.546021,-1946.536621,-415.968750,0,0,-101.702942,-1932.951660,-415.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,50.777306,60fb075c6ceb579d
12892,10524,2,MAJ3R,76561197967432889,3,Team A,karrigan,76561197989430253,2,Team B,,0,0,,MP9,smg,1,0,0,0,0,0,83.931602,-59.893433,-415.968750,0,0,205.448288,-422.896240,-415.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,9.708305,60fb075c6ceb579d
