name,steamid,score,team name,kills,assists,deaths,headshots,hs %,k/d,kast,avg damages per round,avg kills per round,avg death per round,utility_damage_per_round,mvp,rank type,rank,old rank,win count,bomb planted,bomb defused,hostage rescued,health damage,armor damage,utility damage,1v1,1v2,1v3,1v4,1v5,1v1 won,1v2 won,1v3 won,1v4 won,1v5 won,1v1 lost,1v2 lost,1v3 lost,1v4 lost,1v5 lost,first kill,first death,trade kill,trade death,first trade kill,first trade death,1k,2k,3k,4k,5k,htlv 2,htlv,crosshair share code,color,inspect weapon count,match checksum
MAJ3R,76561197967432889,27,Team A,9,8,14,4,44,0.642857,68.181816,65.000000,0.409091,0.636364,9.590909,0,-1,0,0,0,1,0,0,1430,154,211,6,10,6,5,4,1,3,0,0,0,5,7,6,5,4,2,0,0,4,0,0,6,0,1,0,0,0.817876,0.718294,CSGO-dB2kZ-vRqYD-jr9OB-hqiVw-HvD7K,3,0,24caf48b107978c8
woxic,76561198083485506,51,Team A,20,2,11,8,40,1.818182,100.000000,74.590912,0.909091,0.500000,3.545455,2,-1,0,0,0,1,0,0,1641,246,78,7,11,7,6,5,2,4,1,1,1,5,7,6,5,4,2,0,8,2,0,0,10,2,2,0,0,1.558506,1.379400,CSGO-hVyt6-6w7hL-hQyc6-xReeD-3sNkO,2,0,24caf48b107978c8
electronic,76561198044045107,21,Team B,7,5,18,6,85,0.388889,59.090908,46.636364,0.318182,0.818182,0.818182,0,-1,0,0,0,0,0,0,1026,184,18,4,8,4,3,2,1,3,0,0,0,3,5,4,3,2,1,6,2,5,0,2,5,1,0,0,0,0.503697,0.440907,CSGO-XvQtE-YZF5M-98uXV-7nWbf-ZbJaA,0,0,24caf48b107978c8
fame,76561198080114546,29,Team B,10,7,15,7,70,0.666667,68.181816,60.454544,0.454545,0.681818,3.454545,2,-1,0,0,0,0,0,0,1330,209,76,6,10,6,5,4,2,4,1,1,1,4,6,5,4,3,0,4,5,6,0,1,2,1,2,0,0,0.813868,0.824562,CSGO-vjGru-yOv3D-iovxr-ZXBEY-CcfiK,4,0,24caf48b107978c8
Wicadia,76561198812513923,36,Team A,11,5,14,6,54,0.785714,77.272728,64.000000,0.500000,0.636364,1.727273,4,-1,0,0,0,3,0,0,1408,175,38,5,9,5,4,3,1,3,0,0,0,4,6,5,4,3,5,2,1,5,0,2,9,1,0,0,0,0.946031,0.741516,CSGO-BHQFQ-kDP63-P6scP-S9MQs-a4GSQ,4,0,24caf48b107978c8
ICY,76561198055109028,54,Team B,15,2,12,3,20,1.250000,77.272728,58.772728,0.681818,0.545455,2.000000,4,-1,0,0,0,6,0,0,1293,162,44,13,17,13,12,11,2,4,1,1,1,11,13,12,11,10,1,1,6,1,0,0,5,3,0,1,0,1.121316,1.178706,CSGO-WnQHE-BTaKA-wHs7v-KR8QX-o2OtQ,2,0,24caf48b107978c8
jottAAA,76561198410750263,48,Team A,16,7,11,7,43,1.454545,86.363640,75.545456,0.727273,0.500000,11.818182,3,-1,0,0,0,2,1,0,1662,311,260,4,8,4,3,2,1,3,0,0,0,3,5,4,3,2,4,2,1,2,0,0,6,5,0,0,0,1.327505,1.148392,CSGO-wpHzm-v4Si2-CHLPk-mNqCN-5tbJD,1,0,24caf48b107978c8
XANTARES,76561198044118796,55,Team A,21,3,10,11,52,2.100000,81.818184,87.000000,0.954545,0.454545,6.818182,4,-1,0,0,0,1,1,0,1914,384,150,6,10,6,5,4,2,4,1,1,1,4,6,5,4,3,2,2,4,3,0,1,5,4,1,0,1,1.533527,1.691851,CSGO-xbpe2-E24RJ-YXNuO-pQvt8-ppNAK,0,0,24caf48b107978c8
FL4MUS,76561198014259134,37,Team B,15,3,14,9,60,1.071429,81.818184,73.590912,0.681818,0.636364,2.272727,0,-1,0,0,0,0,0,0,1619,294,50,4,8,4,3,2,1,3,0,0,0,3,5,4,3,2,3,1,3,3,0,0,9,3,0,0,0,1.157999,0.946157,CSGO-2xkTh-UwMhs-Wfw9o-G8jLV-2JH8D,4,0,24caf48b107978c8
FL1T,76561197995817501,34,Team B,13,5,18,7,53,0.722222,54.545456,76.045456,0.590909,0.818182,5.681818,3,-1,0,0,0,0,1,0,1673,363,125,6,10,6,5,4,1,3,0,0,0,5,7,6,5,4,1,3,2,5,0,1,1,2,1,0,1,0.800352,1.037900,CSGO-NpjdZ-5378L-BMRxJ-Y243S-b9qmJ,1,0,24caf48b107978c8
