frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
2746,2118,1,woxic,76561198083485506,3,Team A,ICY,76561198055109028,2,Team B,,0,0,,P2000,pistol,1,0,0,0,0,0,-77.432007,1546.041260,1.210908,0,0,-473.476807,385.355865,-0.425354,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,31.135469,f724d4d6b20a12bb
3091,2406,1,woxic,76561198083485506,3,Team A,FL1T,76561197995817501,2,Team B,,0,0,,P2000,pistol,1,0,0,0,0,0,-131.268066,1495.796997,0.361120,0,0,-321.368591,403.382477,-3.964844,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,28.106682,f724d4d6b20a12bb
5054,4100,1,XANTARES,76561198044118796,3,Team A,fame,76561198080114546,2,Team B,,0,0,,USP-S,pistol,1,0,0,0,0,0,499.363953,2222.615479,-126.572998,0,0,700.494690,2118.831055,-68.844116,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,5.956751,f724d4d6b20a12bb
5152,4185,1,woxic,76561198083485506,3,Team A,electronic,76561198044045107,2,Team B,XANTARES,76561198044118796,3,Team A,P2000,pistol,1,0,0,0,0,0,1332.485596,2513.410400,70.826073,0,1,342.177399,1999.767700,96.690346,0,0,0,516.429932,2260.096924,-118.352112,0,0,0,0,28.400391,f724d4d6b20a12bb
5165,4194,1,XANTARES,76561198044118796,3,Team A,FL4MUS,76561198014259134,2,Team B,,0,0,,USP-S,pistol,1,0,0,0,0,0,534.329712,2275.783691,-108.072998,0,0,600.423035,2185.658203,-102.560669,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,2.813124,f724d4d6b20a12bb
13165,10625,2,Wicadia,76561198812513923,3,Team A,ICY,76561198055109028,2,Team B,,0,0,,MP9,smg,1,1,0,0,0,0,-1184.421997,2136.314209,6.212900,0,0,-580.580811,2176.328125,-120.869446,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,15.812283,f724d4d6b20a12bb
13238,10692,2,MAJ3R,76561197967432889,3,Team A,FL1T,76561197995817501,2,Team B,Wicadia,76561198812513923,3,Team A,FAMAS,rifle,0,0,0,0,0,0,-1382.988770,2697.292969,125.031250,0,0,-555.259399,2280.822754,-116.580322,0,0,0,-1187.296509,2166.950195,4.180640,0,0,0,0,24.382450,f724d4d6b20a12bb
13529,10945,2,fame,76561198080114546,2,Team B,Wicadia,76561198812513923,3,Team A,electronic,76561198044045107,2,Team B,Glock-18,pistol,1,0,0,0,0,0,-441.075073,2427.431152,-89.030396,0,0,-1211.967285,2091.153809,13.116951,0,0,0,-988.193909,2369.536865,-36.670044,0,1,0,0,21.588182,f724d4d6b20a12bb
13571,10977,2,MAJ3R,76561197967432889,3,Team A,electronic,76561198044045107,2,Team B,XANTARES,76561198044118796,3,Team A,USP-S,pistol,0,0,0,0,0,0,-1345.496582,2682.253418,130.031250,0,0,-1005.349365,2378.679688,-27.579285,0,0,0,881.722412,2240.634521,-14.516235,0,0,0,0,12.373062,f724d4d6b20a12bb
13705,11093,2,MAJ3R,76561197967432889,3,Team A,fame,76561198080114546,2,Team B,,0,0,,USP-S,pistol,1,0,0,0,0,0,-1324.339600,2674.607178,130.031250,0,0,-656.213196,2366.549316,-106.576172,0,0,0,0.000000,0.000000,0.000000,1,1,0,0,19.655327,f724d4d6b20a12bb
14032,11367,2,FL4MUS,76561198014259134,2,Team B,MAJ3R,76561197967432889,3,Team A,,0,0,,MP9,smg,1,0,0,0,0,0,-1266.021973,2245.993896,3.963256,0,0,-1273.960938,2480.443115,43.923042,0,0,0,0.000000,0.000000,0.000000,1,1,0,0,5.939402,f724d4d6b20a12bb
14066,11398,2,XANTARES,76561198044118796,3,Team A,FL4MUS,76561198014259134,2,Team B,,0,0,,M4A1,rifle,1,0,0,0,0,0,-379.125671,2080.023438,-128.495178,0,0,-1240.536987,2303.190186,8.706745,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,22.831968,f724d4d6b20a12bb
21636,17340,3,FL1T,76561197995817501,2,Team B,XANTARES,76561198044118796,3,Team A,ICY,76561198055109028,2,Team B,AK-47,rifle,0,0,0,0,0,0,1343.550659,1513.545898,-6.817383,0,0,1227.403320,2277.403564,12.694373,0,0,0,1330.186646,1745.601074,-1.637695,0,0,1,0,19.634081,f724d4d6b20a12bb
21661,17361,3,woxic,76561198083485506,3,Team A,electronic,76561198044045107,2,Team B,jottAAA,76561198410750263,3,Team A,M4A1,rifle,0,0,0,0,0,0,538.678955,2082.247559,127.120583,0,0,1393.391724,2221.382080,-4.153442,0,1,0,1039.946167,2040.479126,2.698093,0,0,1,0,22.205963,f724d4d6b20a12bb
