steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198014259134,FL4MUS,2,800,650,850,pistol,1,f724d4d6b20a12bb
76561198410750263,jottAAA,3,800,650,850,pistol,1,f724d4d6b20a12bb
76561198812513923,Wicadia,3,800,650,950,pistol,1,f724d4d6b20a12bb
76561198083485506,woxic,3,800,650,850,pistol,1,f724d4d6b20a12bb
76561198055109028,ICY,2,800,650,950,pistol,1,f724d4d6b20a12bb
76561197995817501,FL1T,2,800,650,850,pistol,1,f724d4d6b20a12bb
76561198044118796,XANTARES,3,800,650,1050,pistol,1,f724d4d6b20a12bb
76561198044045107,electronic,2,800,800,1100,pistol,1,f724d4d6b20a12bb
76561198080114546,fame,2,800,700,900,pistol,1,f724d4d6b20a12bb
76561197967432889,MAJ3R,3,800,800,700,pistol,1,f724d4d6b20a12bb
76561198812513923,Wicadia,3,3400,2700,3650,semi,2,f724d4d6b20a12bb
76561198044118796,XANTARES,3,4000,3900,4600,full,2,f724d4d6b20a12bb
76561197967432889,MAJ3R,3,3250,3250,3750,semi,2,f724d4d6b20a12bb
76561198080114546,fame,2,2000,0,200,eco,2,f724d4d6b20a12bb
76561198410750263,jottAAA,3,3400,3300,4150,semi,2,f724d4d6b20a12bb
76561198083485506,woxic,3,4300,4250,5100,full,2,f724d4d6b20a12bb
76561198055109028,ICY,2,2050,0,200,eco,2,f724d4d6b20a12bb
76561197995817501,FL1T,2,2050,0,200,eco,2,f724d4d6b20a12bb
76561198014259134,FL4MUS,2,2050,0,200,eco,2,f724d4d6b20a12bb
76561198044045107,electronic,2,1900,600,600,eco,2,f724d4d6b20a12bb
76561198055109028,ICY,2,4450,4400,4600,full,3,f724d4d6b20a12bb
76561197995817501,FL1T,2,4450,4400,4400,full,3,f724d4d6b20a12bb
76561198014259134,FL4MUS,2,5050,4800,5000,full,3,f724d4d6b20a12bb
76561198080114546,fame,2,4700,4600,5000,full,3,f724d4d6b20a12bb
76561198410750263,jottAAA,3,3350,800,4550,full,3,f724d4d6b20a12bb
76561198044118796,XANTARES,3,3650,1500,5800,full,3,f724d4d6b20a12bb
76561197967432889,MAJ3R,3,4150,4050,4250,semi,3,f724d4d6b20a12bb
76561198044045107,electronic,2,3700,3550,3750,force-buy,3,f724d4d6b20a12bb
76561198812513923,Wicadia,3,4550,4500,5200,full,3,f724d4d6b20a12bb
76561198083485506,woxic,3,3300,1100,5400,full,3,f724d4d6b20a12bb
76561198044045107,electronic,2,3650,1850,1850,semi,4,f724d4d6b20a12bb
76561198080114546,fame,2,3600,1850,2250,semi,4,f724d4d6b20a12bb
76561198083485506,woxic,3,6600,6450,7650,full,4,f724d4d6b20a12bb
76561198055109028,ICY,2,4150,1650,1650,semi,4,f724d4d6b20a12bb
76561197995817501,FL1T,2,3850,1850,1850,semi,4,f724d4d6b20a12bb
76561197967432889,MAJ3R,3,3600,2900,5700,full,4,f724d4d6b20a12bb
76561198410750263,jottAAA,3,6650,4600,5700,full,4,f724d4d6b20a12bb
76561198812513923,Wicadia,3,3850,1000,5600,full,4,f724d4d6b20a12bb
76561198044118796,XANTARES,3,5650,2700,5600,full,4,f724d4d6b20a12bb
76561198014259134,FL4MUS,2,3750,1650,1650,semi,4,f724d4d6b20a12bb
76561197967432889,MAJ3R,3,2100,0,200,eco,5,f724d4d6b20a12bb
76561198014259134,FL4MUS,2,5650,0,4350,full,5,f724d4d6b20a12bb
76561198080114546,fame,2,5600,0,200,eco,5,f724d4d6b20a12bb
76561198410750263,jottAAA,3,3750,0,200,eco,5,f724d4d6b20a12bb
76561198812513923,Wicadia,3,4850,0,200,eco,5,f724d4d6b20a12bb
76561197995817501,FL1T,2,5850,0,4350,full,5,f724d4d6b20a12bb
76561198044045107,electronic,2,5350,0,200,eco,5,f724d4d6b20a12bb
76561198083485506,woxic,3,1550,0,200,eco,5,f724d4d6b20a12bb
76561198055109028,ICY,2,5350,0,200,eco,5,f724d4d6b20a12bb
76561198044118796,XANTARES,3,4350,0,200,eco,5,f724d4d6b20a12bb
