steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198041683378,NiKo,3,800,650,850,pistol,1,689e7c4b453a1b22
76561197983956651,Magisk,3,800,650,850,pistol,1,689e7c4b453a1b22
76561198012872053,huNter-,2,800,650,850,pistol,1,689e7c4b453a1b22
76561197996678278,TeSeS,3,800,650,850,pistol,1,689e7c4b453a1b22
76561198068002993,HeavyGoD,2,800,650,1550,pistol,1,689e7c4b453a1b22
76561198080703143,malbsMd,2,800,700,900,pistol,1,689e7c4b453a1b22
76561198074762801,m0NESY,2,800,650,850,pistol,1,689e7c4b453a1b22
76561197982141573,Snax,2,800,700,900,pistol,1,689e7c4b453a1b22
76561198057282432,kyxsan,3,800,800,400,pistol,1,689e7c4b453a1b22
76561198799340122,degster,3,800,650,1250,pistol,1,689e7c4b453a1b22
76561198041683378,NiKo,3,4000,3850,5100,full,2,689e7c4b453a1b22
76561198799340122,degster,3,3400,2550,3800,semi,2,689e7c4b453a1b22
76561198068002993,HeavyGoD,2,2350,0,700,eco,2,689e7c4b453a1b22
76561198057282432,kyxsan,3,3550,3550,3950,semi,2,689e7c4b453a1b22
76561198074762801,m0NESY,2,2050,700,700,eco,2,689e7c4b453a1b22
76561197982141573,Snax,2,2000,0,200,eco,2,689e7c4b453a1b22
76561198012872053,huNter-,2,2050,300,300,eco,2,689e7c4b453a1b22
76561198080703143,malbsMd,2,2000,0,200,eco,2,689e7c4b453a1b22
76561197983956651,Magisk,3,3700,3550,4400,semi,2,689e7c4b453a1b22
76561197996678278,TeSeS,3,3700,3650,3850,semi,2,689e7c4b453a1b22
76561198799340122,degster,3,4700,200,4100,semi,3,689e7c4b453a1b22
76561198068002993,HeavyGoD,2,4750,4600,4800,full,3,689e7c4b453a1b22
76561198080703143,malbsMd,2,4400,4400,4600,full,3,689e7c4b453a1b22
76561198074762801,m0NESY,2,3750,3600,3800,force-buy,3,689e7c4b453a1b22
76561198041683378,NiKo,3,4000,1700,5800,full,3,689e7c4b453a1b22
76561197996678278,TeSeS,3,3300,1200,4850,full,3,689e7c4b453a1b22
76561198057282432,kyxsan,3,3550,1300,4450,semi,3,689e7c4b453a1b22
76561197983956651,Magisk,3,3400,1300,5400,full,3,689e7c4b453a1b22
76561198012872053,huNter-,2,4150,4000,4200,full,3,689e7c4b453a1b22
76561197982141573,Snax,2,4400,3900,4100,full,3,689e7c4b453a1b22
76561198080703143,malbsMd,2,3800,2200,2200,semi,4,689e7c4b453a1b22
76561198074762801,m0NESY,2,3650,2400,2600,semi,4,689e7c4b453a1b22
76561197996678278,TeSeS,3,5600,5200,5400,full,4,689e7c4b453a1b22
76561198012872053,huNter-,2,4250,2600,2600,semi,4,689e7c4b453a1b22
76561198068002993,HeavyGoD,2,3650,2500,2500,semi,4,689e7c4b453a1b22
76561198799340122,degster,3,8000,4750,7950,full,4,689e7c4b453a1b22
76561198057282432,kyxsan,3,6950,4000,5600,full,4,689e7c4b453a1b22
76561197983956651,Magisk,3,5900,2700,5800,full,4,689e7c4b453a1b22
76561198041683378,NiKo,3,6100,2300,5200,full,4,689e7c4b453a1b22
76561197982141573,Snax,2,4300,1350,1350,semi,4,689e7c4b453a1b22
76561198012872053,huNter-,2,4900,2100,5200,full,5,689e7c4b453a1b22
76561198068002993,HeavyGoD,2,4700,3400,5500,full,5,689e7c4b453a1b22
76561198041683378,NiKo,3,5500,5400,4850,full,5,689e7c4b453a1b22
76561198080703143,malbsMd,2,4850,2100,5000,full,5,689e7c4b453a1b22
