frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
9086,6227,1,4,3,0,76561198144926364,kyuubii,0,0,19d23a463472ab70
17366,11676,2,3,3,0,76561197961491680,tabseN,0,0,19d23a463472ab70
41044,27781,4,2,2,1,76561197997351207,rain,1,2,19d23a463472ab70
41461,28112,4,1,3,0,76561197961491680,tabseN,0,0,19d23a463472ab70
48195,32170,5,4,3,0,76561198170631091,Krimbo,1,2,19d23a463472ab70
68128,45488,6,4,2,0,76561198201620490,broky,0,0,19d23a463472ab70
75645,50192,7,5,2,0,76561198201620490,broky,0,0,19d23a463472ab70
86980,57496,8,3,3,0,76561198144926364,kyuubii,0,0,19d23a463472ab70
100197,66200,9,4,2,0,76561198201620490,broky,0,0,19d23a463472ab70
115248,76105,10,3,3,0,76561197961491680,tabseN,1,1,19d23a463472ab70
130185,85991,11,2,3,0,76561198139604328,hyped,0,0,19d23a463472ab70
