name,steamid,score,team name,kills,assists,deaths,headshots,hs %,k/d,kast,avg damages per round,avg kills per round,avg death per round,utility_damage_per_round,mvp,rank type,rank,old rank,win count,bomb planted,bomb defused,hostage rescued,health damage,armor damage,utility damage,1v1,1v2,1v3,1v4,1v5,1v1 won,1v2 won,1v3 won,1v4 won,1v5 won,1v1 lost,1v2 lost,1v3 lost,1v4 lost,1v5 lost,first kill,first death,trade kill,trade death,first trade kill,first trade death,1k,2k,3k,4k,5k,htlv 2,htlv,crosshair share code,color,inspect weapon count,match checksum
Krimbo,76561198170631091,34,Team A,11,0,7,4,36,1.571429,63.636364,81.363640,1.000000,0.636364,0.090909,1,-1,0,0,0,0,0,0,895,209,1,2,3,4,5,2,0,1,0,0,0,2,2,4,5,2,1,1,1,1,0,0,5,1,0,1,0,1.311575,1.502028,CSGO-y9FtA-YZzPX-DatLx-78Ehf-OnMHA,4,0,19d23a463472ab70
EliGE,76561198066693739,45,Team B,6,1,7,3,50,0.857143,54.545456,67.909088,0.545455,0.636364,7.727273,5,-1,0,0,0,2,0,0,747,86,85,1,2,3,4,1,0,1,0,0,0,1,1,3,4,1,2,3,0,1,0,0,2,2,0,0,0,0.818334,0.858592,CSGO-CS92t-fKh57-VCDyC-OKpRk-QCk9Q,4,0,19d23a463472ab70
tabseN,76561197961491680,30,Team A,7,4,6,5,71,1.166667,63.636364,88.272728,0.636364,0.545455,12.363636,0,-1,0,0,0,0,0,0,971,329,136,4,5,6,7,4,0,1,0,0,0,4,4,6,7,4,1,0,1,0,0,0,3,2,0,0,0,1.104052,1.008897,CSGO-FEJFd-jYrPH-OZkKs-Bqduc-iA9WB,3,0,19d23a463472ab70
kyuubii,76561198144926364,45,Team A,3,2,9,1,33,0.333333,54.545456,45.272728,0.272727,0.818182,0.818182,4,-1,0,0,0,0,0,0,498,88,9,3,4,5,6,3,0,1,0,0,0,3,3,5,6,3,1,1,1,2,0,1,3,0,0,0,0,0.422335,0.376563,CSGO-eTAce-8qGDN-bafu7-cpVtO-9RaUN,0,0,19d23a463472ab70
JDC,76561198078771373,19,Team A,4,0,8,2,50,0.500000,45.454548,47.909092,0.363636,0.727273,4.636364,2,-1,0,0,0,0,0,0,527,63,51,1,2,3,4,1,0,1,0,0,0,1,1,3,4,1,0,2,0,0,0,0,2,1,0,0,0,0.473316,0.579600,CSGO-GzPG6-VqnhU-9EtQx-K8TM3-EvPcF,1,0,19d23a463472ab70
rain,76561197997351207,40,Team B,9,3,6,5,55,1.500000,81.818184,103.545456,0.818182,0.545455,15.545455,2,-1,0,0,0,0,0,0,1139,120,171,2,3,4,5,2,1,2,1,1,1,1,1,3,4,1,0,0,1,2,0,0,3,0,2,0,0,1.433748,1.371737,CSGO-9neHP-Zf6Sj-Qv9zd-VaCmc-3QqNO,2,0,19d23a463472ab70
broky,76561198201620490,50,Team B,12,3,6,4,33,2.000000,72.727272,103.727272,1.090909,0.545455,6.272727,4,-1,0,0,0,3,0,0,1141,93,69,4,5,6,7,4,0,1,0,0,0,4,4,6,7,4,1,0,2,1,0,0,3,0,3,0,0,1.603694,1.757799,CSGO-z9BVS-JUzq9-sWRUk-89G5j-xGCEB,4,0,19d23a463472ab70
hyped,76561198139604328,46,Team A,9,1,8,3,33,1.125000,90.909096,89.727272,0.818182,0.727273,2.090909,3,-1,0,0,0,0,0,0,987,47,23,2,3,4,5,2,0,1,0,0,0,2,2,4,5,2,3,1,3,3,0,0,3,3,0,0,0,1.340889,1.064837,CSGO-Cr7BJ-7CbBi-yx2oQ-Jy32v-7cG4C,2,0,19d23a463472ab70
karrigan,76561197989430253,36,Team B,5,2,8,1,20,0.625000,63.636364,42.181820,0.454545,0.727273,2.090909,2,-1,0,0,0,2,0,0,464,40,23,1,2,3,4,1,0,1,0,0,0,1,1,3,4,1,1,2,0,0,0,0,3,1,0,0,0,0.684405,0.655555,CSGO-h7Cm3-ACdF5-FEddU-XKCCX-5bq3B,1,0,19d23a463472ab70
frozen,76561198068422762,34,Team B,6,2,7,3,50,0.857143,72.727272,73.000000,0.545455,0.636364,14.818182,0,-1,0,0,0,1,0,0,803,109,163,1,2,3,4,1,0,1,0,0,0,1,1,3,4,1,1,1,2,1,0,0,4,1,0,0,0,0.976408,0.805859,CSGO-qahCY-jRsVr-inX9t-zmTKn-LLUnB,0,0,19d23a463472ab70
