frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
4893,4017,1,5,3,0,76561198170631091,Krimbo,0,0,d9bcb36f06fcf029
15768,12843,2,2,3,0,76561197961491680,tabseN,0,0,d9bcb36f06fcf029
20864,16855,3,3,3,0,76561198170631091,Krimbo,0,0,d9bcb36f06fcf029
27681,22104,4,5,2,0,76561198201620490,broky,0,1,d9bcb36f06fcf029
33744,26681,5,5,2,0,76561198201620490,broky,1,1,d9bcb36f06fcf029
44448,35524,6,3,2,0,76561198201620490,broky,0,0,d9bcb36f06fcf029
52668,41952,7,2,2,0,76561198201620490,broky,0,0,d9bcb36f06fcf029
63690,50828,8,2,2,0,76561198201620490,broky,0,1,d9bcb36f06fcf029
66189,53021,8,1,3,1,76561198139604328,hyped,1,1,d9bcb36f06fcf029
77127,61532,9,4,2,0,76561198066693739,EliGE,0,0,d9bcb36f06fcf029
82905,65841,10,3,2,0,76561198201620490,broky,0,1,d9bcb36f06fcf029
90987,72056,11,3,3,0,76561198170631091,Krimbo,0,0,d9bcb36f06fcf029
99946,79086,12,3,3,0,76561198139604328,hyped,0,0,d9bcb36f06fcf029
122242,97607,13,5,2,0,76561197961491680,tabseN,0,1,d9bcb36f06fcf029
129248,103325,14,2,2,0,76561198078771373,JDC,0,0,d9bcb36f06fcf029
134763,107442,15,3,3,0,76561197989430253,karrigan,1,0,d9bcb36f06fcf029
151920,121671,16,4,3,0,76561197989430253,karrigan,1,0,d9bcb36f06fcf029
159235,127542,17,4,3,0,76561198066693739,EliGE,0,0,d9bcb36f06fcf029
168723,135020,18,3,2,0,76561198139604328,hyped,0,1,d9bcb36f06fcf029
181713,145533,19,2,3,0,76561198068422762,frozen,0,0,d9bcb36f06fcf029
190120,152267,20,4,3,0,76561198068422762,frozen,0,0,d9bcb36f06fcf029
198047,158354,21,2,2,0,76561198139604328,hyped,0,1,d9bcb36f06fcf029
198490,158726,21,1,3,1,76561197997351207,rain,1,1,d9bcb36f06fcf029
204994,163795,22,2,3,0,76561198201620490,broky,1,2,d9bcb36f06fcf029
206870,165436,22,1,2,1,76561197961491680,tabseN,0,0,d9bcb36f06fcf029
