number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,1,1,1262,1705,4648,5609,4968,6003,Team A,Team B,0,1,3,2,4000,4000,4100,4200,3300,3400,pistol,pistol,70206,9,Team B,2,0,d9bcb36f06fcf029
2,4968,6003,6248,7863,13193,16162,13513,16546,Team A,Team B,0,2,3,2,10200,18350,9650,21300,9250,17950,force-buy,full,127180,9,Team B,2,0,d9bcb36f06fcf029
3,13513,16546,14793,18289,17249,21324,17569,21717,Team A,Team B,0,3,3,2,13850,18450,2200,23450,2000,15250,eco,full,59815,9,Team B,2,0,d9bcb36f06fcf029
4,17569,21717,18849,23616,22262,27881,22582,28296,Team A,Team B,1,3,3,2,26950,21850,27700,25300,26400,11000,full,full,77166,8,Team A,3,0,d9bcb36f06fcf029
5,22582,28296,23862,30236,31222,38987,31542,39383,Team A,Team B,2,3,3,2,17900,18150,28500,18650,9300,17650,full,force-buy,133840,12,Team A,3,0,d9bcb36f06fcf029
6,31542,39383,32822,41104,36137,45170,36457,45548,Team A,Team B,3,3,3,2,25850,8200,29400,7500,10600,800,full,semi,72447,8,Team A,3,0,d9bcb36f06fcf029
7,36457,45548,37737,47390,42671,53512,42991,53906,Team A,Team B,4,3,3,2,33000,19600,30150,11100,14200,10900,full,semi,99700,7,Team A,3,0,d9bcb36f06fcf029
8,42991,53906,44271,55826,53667,66917,53987,67313,Team A,Team B,5,3,3,2,37900,27400,30550,24300,18300,23800,full,full,162884,7,Team A,3,0,d9bcb36f06fcf029
9,55975,70061,57255,71752,62082,77778,62402,78171,Team A,Team B,6,3,3,2,38700,25100,30750,24900,22400,24000,full,full,96608,8,Team A,3,0,d9bcb36f06fcf029
10,62402,78171,63682,79983,66455,83624,66775,84016,Team A,Team B,7,3,3,2,33250,18400,30450,8800,9100,9100,full,semi,68265,8,Team A,3,0,d9bcb36f06fcf029
11,66775,84016,68055,86001,73190,92293,73510,92700,Team A,Team B,7,4,3,2,41700,27200,31150,26500,18700,25500,full,full,103619,9,Team B,2,0,d9bcb36f06fcf029
12,73510,92700,74790,94547,79441,100375,79985,101020,Team A,Team B,7,5,3,2,30400,19750,30600,27450,30000,12900,full,full,96082,9,Team B,2,0,d9bcb36f06fcf029
13,79985,101020,94830,119036,98799,123603,99119,124000,Team A,Team B,7,6,2,3,4000,4000,5200,4700,3300,3400,pistol,pistol,282715,8,Team B,3,0,d9bcb36f06fcf029
14,99119,124000,100399,125737,104295,130356,104615,130755,Team A,Team B,7,7,2,3,10500,18350,1400,21400,600,17800,eco,semi,79570,7,Team B,3,0,d9bcb36f06fcf029
15,104615,130755,105895,132758,110941,138851,111261,139244,Team A,Team B,8,7,2,3,26100,20150,23200,27350,22200,17750,full,full,101353,1,Team A,2,0,d9bcb36f06fcf029
16,111261,139244,112541,141019,121657,151906,121977,152290,Team A,Team B,9,7,2,3,22900,10000,25400,15150,13200,9650,full,force-buy,158514,1,Team A,2,0,d9bcb36f06fcf029
17,121977,152290,123257,154073,127804,159527,128124,159942,Team A,Team B,10,7,2,3,28700,10150,25300,5300,9750,0,full,semi,90599,9,Team A,2,0,d9bcb36f06fcf029
18,128124,159942,129404,161842,135550,169356,135870,169746,Team A,Team B,10,8,2,3,37000,22450,27250,23250,10550,22250,full,full,117853,8,Team B,3,0,d9bcb36f06fcf029
19,135870,169746,137150,171641,145713,181917,146033,182315,Team A,Team B,11,8,2,3,34150,17950,26400,26800,25400,16750,full,full,152368,9,Team A,2,0,d9bcb36f06fcf029
20,146033,182315,147313,184140,152644,190567,152964,190969,Team A,Team B,12,8,2,3,26800,11400,27250,1600,16700,1000,full,eco,103306,9,Team A,2,0,d9bcb36f06fcf029
21,155083,193708,156363,195434,159122,198942,159442,199329,Team A,Team B,12,9,2,3,28150,22700,27150,23850,8900,22350,full,full,65524,8,Team B,3,0,d9bcb36f06fcf029
22,159442,199329,160722,201169,166223,207780,166223,207780,Team A,Team B,13,9,2,3,21150,12050,26000,23450,24900,16850,full,full,105797,1,Team A,2,0,d9bcb36f06fcf029
