number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,12,168,1847,3308,10327,15108,10647,15574,Astralis,FURIA,0,1,3,2,19750,22250,25600,22450,16850,21450,pistol,pistol,160692,9,FURIA,2,0,693fb6f5fe54ada3
2,10647,15574,11927,17656,20283,29406,20603,29850,Astralis,FURIA,0,2,3,2,11100,18650,10700,24600,10500,13850,force-buy,full,148775,1,FURIA,2,0,693fb6f5fe54ada3
3,20603,29850,21883,32021,28766,41358,29086,41828,Astralis,FURIA,0,3,3,2,11300,24200,2100,23750,1700,19050,eco,full,123778,9,FURIA,2,0,693fb6f5fe54ada3
4,29086,41828,30366,44160,38352,55526,38672,55975,Astralis,FURIA,1,3,3,2,21600,24100,22650,24150,21350,5200,full,full,147333,7,Astralis,3,0,693fb6f5fe54ada3
5,41311,59867,42591,62030,51910,75379,52230,75855,Astralis,FURIA,1,4,3,2,19850,30400,23200,27350,17650,26650,full,full,166844,1,FURIA,2,0,693fb6f5fe54ada3
6,52230,75855,53510,78084,63425,92014,63745,92450,Astralis,FURIA,1,5,3,2,11700,21650,23600,27450,8650,5600,full,full,173803,1,FURIA,2,0,693fb6f5fe54ada3
7,66703,97083,67983,99251,76783,111525,77103,111966,Astralis,FURIA,1,6,3,2,15950,34550,12650,27350,4150,17200,semi,full,155336,1,FURIA,2,0,693fb6f5fe54ada3
8,77103,111966,78383,114122,85291,124090,85611,124586,Astralis,FURIA,2,6,3,2,26800,35750,30300,27450,17050,19050,full,full,130404,7,Astralis,3,0,693fb6f5fe54ada3
9,88289,128883,89569,131172,95898,140402,96442,141177,Astralis,FURIA,3,6,3,2,28450,27400,34400,26650,23750,26050,full,full,123896,8,Astralis,3,0,693fb6f5fe54ada3
10,96442,141177,110355,161520,116979,170064,117299,170520,Astralis,FURIA,3,7,2,3,4000,4000,4350,4750,3350,3550,pistol,pistol,310704,7,FURIA,3,0,693fb6f5fe54ada3
11,117299,170520,118579,172663,126632,183940,126952,184399,Astralis,FURIA,4,7,2,3,14350,19450,13900,19950,14000,18250,force-buy,semi,144343,1,Astralis,2,0,693fb6f5fe54ada3
12,126952,184399,128232,186713,136769,198358,137089,198798,Astralis,FURIA,5,7,2,3,19650,9400,22600,12000,15150,8850,full,force-buy,150141,1,Astralis,2,0,693fb6f5fe54ada3
13,137089,198798,138369,201136,144895,209805,145215,210245,Astralis,FURIA,6,7,2,3,23500,10950,24250,6550,15350,600,full,semi,118389,1,Astralis,2,0,693fb6f5fe54ada3
14,145215,210245,146495,212486,154755,224068,155075,224514,Astralis,FURIA,7,7,2,3,27450,23250,25900,25300,16500,21200,full,full,148678,9,Astralis,2,0,693fb6f5fe54ada3
15,155075,224514,156355,226678,158970,230608,159290,231092,Astralis,FURIA,7,8,2,3,29000,17750,23750,10500,18650,10300,full,semi,65546,8,FURIA,3,0,693fb6f5fe54ada3
16,159290,231092,160570,233203,170197,246575,170517,247019,Astralis,FURIA,8,8,2,3,17650,24800,17950,28100,17350,15200,force-buy,full,166532,1,Astralis,2,0,693fb6f5fe54ada3
17,173093,251216,174373,253246,183568,266281,183888,266719,Astralis,FURIA,9,8,2,3,19000,21700,27250,28500,9450,19900,full,full,162037,1,Astralis,2,0,693fb6f5fe54ada3
18,183888,266719,185168,268882,188489,273676,188809,274132,Astralis,FURIA,9,9,2,3,28050,16700,26000,17000,11750,6750,full,semi,74828,8,FURIA,3,0,693fb6f5fe54ada3
19,188809,274132,190089,276376,199079,289358,199399,289794,Astralis,FURIA,10,9,2,3,23300,27300,23350,30500,21750,11100,full,full,163768,1,Astralis,2,0,693fb6f5fe54ada3
20,199399,289794,200679,291927,207153,301442,207153,301442,Astralis,FURIA,11,9,2,3,28800,25400,24900,32550,9200,17700,full,full,125284,9,Astralis,2,0,693fb6f5fe54ada3
