steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561197960690195,FalleN,2,800,800,1000,pistol,1,b1546cb16ce4f919
76561197987713664,dev1ce,3,800,650,950,pistol,1,b1546cb16ce4f919
76561198120557348,jabbi,3,800,650,1050,pistol,1,b1546cb16ce4f919
76561198022365638,stavn,3,800,650,850,pistol,1,b1546cb16ce4f919
76561198004115516,cadiaN,3,800,800,400,pistol,1,b1546cb16ce4f919
76561198118646644,Skullz,2,800,650,850,pistol,1,b1546cb16ce4f919
76561198067763828,chelo,2,800,650,850,pistol,1,b1546cb16ce4f919
76561198005107817,Staehr,3,800,650,1150,pistol,1,b1546cb16ce4f919
76561198058500492,KSCERATO,2,800,800,1000,pistol,1,b1546cb16ce4f919
76561198164970560,yuurih,2,800,650,850,pistol,1,b1546cb16ce4f919
76561198067763828,chelo,2,2050,2000,2500,force-buy,2,b1546cb16ce4f919
76561198058500492,KSCERATO,2,1900,1900,2100,force-buy,2,b1546cb16ce4f919
76561198164970560,yuurih,2,2050,2000,2000,force-buy,2,b1546cb16ce4f919
76561198005107817,Staehr,3,4000,3950,3450,semi,2,b1546cb16ce4f919
76561198120557348,jabbi,3,3400,3350,4250,semi,2,b1546cb16ce4f919
76561198004115516,cadiaN,3,3550,3550,3750,semi,2,b1546cb16ce4f919
76561198118646644,Skullz,2,2050,2000,2000,force-buy,2,b1546cb16ce4f919
76561197960690195,FalleN,2,2800,2500,2200,force-buy,2,b1546cb16ce4f919
76561197987713664,dev1ce,3,3700,3550,4450,semi,2,b1546cb16ce4f919
76561198022365638,stavn,3,3700,3550,4600,full,2,b1546cb16ce4f919
76561198022365638,stavn,3,3700,1600,3050,semi,3,b1546cb16ce4f919
76561198004115516,cadiaN,3,3250,1600,3050,semi,3,b1546cb16ce4f919
76561198118646644,Skullz,2,3050,1350,1350,semi,3,b1546cb16ce4f919
76561198067763828,chelo,2,2450,300,300,eco,3,b1546cb16ce4f919
76561198164970560,yuurih,2,2750,700,700,eco,3,b1546cb16ce4f919
76561197987713664,dev1ce,3,4000,2250,4450,semi,3,b1546cb16ce4f919
76561198058500492,KSCERATO,2,2400,300,300,eco,3,b1546cb16ce4f919
76561198005107817,Staehr,3,4200,3900,5700,full,3,b1546cb16ce4f919
76561197960690195,FalleN,2,2700,1700,1900,semi,3,b1546cb16ce4f919
76561198120557348,jabbi,3,3300,2850,4700,full,3,b1546cb16ce4f919
76561198004115516,cadiaN,3,4900,700,3750,semi,4,b1546cb16ce4f919
76561198118646644,Skullz,2,4600,4600,4800,full,4,b1546cb16ce4f919
76561198164970560,yuurih,2,4950,4900,5100,full,4,b1546cb16ce4f919
76561198005107817,Staehr,3,3550,800,5700,full,4,b1546cb16ce4f919
76561198022365638,stavn,3,6550,1100,3650,semi,4,b1546cb16ce4f919
76561198067763828,chelo,2,5050,4800,5000,full,4,b1546cb16ce4f919
76561198058500492,KSCERATO,2,5000,4900,5100,full,4,b1546cb16ce4f919
76561197960690195,FalleN,2,3900,3900,4100,full,4,b1546cb16ce4f919
76561197987713664,dev1ce,3,5300,800,4450,semi,4,b1546cb16ce4f919
76561198120557348,jabbi,3,4300,700,5900,full,4,b1546cb16ce4f919
76561198120557348,jabbi,3,5300,5200,5400,full,5,b1546cb16ce4f919
76561198067763828,chelo,2,3500,1900,5000,full,5,b1546cb16ce4f919
76561198058500492,KSCERATO,2,4250,3900,5100,full,5,b1546cb16ce4f919
76561197960690195,FalleN,2,3250,2900,4100,full,5,b1546cb16ce4f919
76561197987713664,dev1ce,3,6200,6200,6900,full,5,b1546cb16ce4f919
76561198022365638,stavn,3,6850,6700,5050,full,5,b1546cb16ce4f919
76561198004115516,cadiaN,3,5600,5050,6600,full,5,b1546cb16ce4f919
76561198118646644,Skullz,2,3550,2400,5100,full,5,b1546cb16ce4f919
76561198164970560,yuurih,2,3900,3900,4100,full,5,b1546cb16ce4f919
76561198005107817,Staehr,3,4450,4350,4550,full,5,b1546cb16ce4f919
76561198120557348,jabbi,3,2000,2000,2300,force-buy,6,b1546cb16ce4f919
76561198004115516,cadiaN,3,2450,2350,6700,full,6,b1546cb16ce4f919
76561198118646644,Skullz,2,4950,500,5100,full,6,b1546cb16ce4f919
76561198067763828,chelo,2,5700,3900,5100,full,6,b1546cb16ce4f919
76561198058500492,KSCERATO,2,3850,2200,5100,full,6,b1546cb16ce4f919
76561198164970560,yuurih,2,3500,1100,4100,full,6,b1546cb16ce4f919
76561198005107817,Staehr,3,2000,2000,2000,force-buy,6,b1546cb16ce4f919
76561197960690195,FalleN,2,4150,1100,5000,full,6,b1546cb16ce4f919
76561197987713664,dev1ce,3,1900,500,6600,full,6,b1546cb16ce4f919
76561198022365638,stavn,3,2350,2300,3750,force-buy,6,b1546cb16ce4f919
76561198164970560,yuurih,2,6200,4900,5100,full,7,b1546cb16ce4f919
76561198005107817,Staehr,3,2400,2300,3000,force-buy,7,b1546cb16ce4f919
76561197987713664,dev1ce,3,3900,3900,5950,full,7,b1546cb16ce4f919
76561198120557348,jabbi,3,3900,3900,3750,force-buy,7,b1546cb16ce4f919
76561198058500492,KSCERATO,2,5150,4900,5100,full,7,b1546cb16ce4f919
76561197960690195,FalleN,2,7150,4800,5000,full,7,b1546cb16ce4f919
76561198022365638,stavn,3,2450,2300,5400,full,7,b1546cb16ce4f919
76561198004115516,cadiaN,3,2600,2500,4850,full,7,b1546cb16ce4f919
76561198118646644,Skullz,2,7950,4900,5100,full,7,b1546cb16ce4f919
76561198067763828,chelo,2,5900,4900,5100,full,7,b1546cb16ce4f919
