name,steamid,score,team name,kills,assists,deaths,headshots,hs %,k/d,kast,avg damages per round,avg kills per round,avg death per round,utility_damage_per_round,mvp,rank type,rank,old rank,win count,bomb planted,bomb defused,hostage rescued,health damage,armor damage,utility damage,1v1,1v2,1v3,1v4,1v5,1v1 won,1v2 won,1v3 won,1v4 won,1v5 won,1v1 lost,1v2 lost,1v3 lost,1v4 lost,1v5 lost,first kill,first death,trade kill,trade death,first trade kill,first trade death,1k,2k,3k,4k,5k,htlv 2,htlv,crosshair share code,color,inspect weapon count,match checksum
huNter-,76561198012872053,5,Team A,2,1,7,1,50,0.285714,44.444447,45.777779,0.222222,0.777778,11.444445,0,-1,0,0,0,0,0,0,412,44,103,1,4,3,3,2,0,0,0,0,0,1,4,3,3,2,0,2,0,1,0,0,2,0,0,0,0,0.321048,0.367411,CSGO-Bbsse-sKooz-GNLtr-HScwK-5tbJD,0,0,1d90a7887b738639
Snax,76561197982141573,13,Team A,6,2,4,2,33,1.500000,77.777779,73.000000,0.666667,0.444444,17.888889,1,-1,0,0,0,0,0,0,657,81,161,1,4,3,3,2,0,0,0,0,0,1,4,3,3,2,1,1,0,1,0,0,0,3,0,0,0,1.224344,1.204714,CSGO-OFKZZ-mZp9n-KXx4x-2SmEp-jcYHK,1,0,1d90a7887b738639
malbsMd,76561198080703143,20,Team A,5,6,4,2,40,1.250000,66.666672,81.777779,0.555556,0.444444,0.444444,1,-1,0,0,0,0,2,0,736,76,4,0,3,2,2,1,0,0,0,0,0,0,3,2,2,1,0,0,2,0,0,0,1,2,0,0,0,1.119562,1.047430,CSGO-MQYLm-nK5pN-DtXZW-KkmSV-OP3ED,3,0,1d90a7887b738639
HeavyGoD,76561198068002993,19,Team A,8,1,6,3,37,1.333333,77.777779,81.111115,0.888889,0.666667,2.666667,1,-1,0,0,0,0,1,0,730,156,24,2,5,4,4,3,0,0,0,0,0,2,5,4,4,3,1,1,1,2,0,0,4,2,0,0,0,1.312883,1.144184,CSGO-dE62s-bXOib-X28Yu-zJHtx-hif4D,4,0,1d90a7887b738639
frozen,76561198068422762,21,Team B,6,4,5,4,66,1.200000,88.888893,81.444443,0.666667,0.555556,15.000000,1,-1,0,0,0,1,0,0,733,118,135,2,5,4,4,3,0,0,0,0,0,2,5,4,4,3,0,0,1,0,0,0,3,0,1,0,0,1.295405,1.113842,CSGO-qahCY-jRsVr-inX9t-zmTKn-LLUnB,4,0,1d90a7887b738639
EliGE,76561198066693739,17,Team B,6,3,5,6,100,1.200000,55.555557,99.222221,0.666667,0.555556,3.444444,1,-1,0,0,0,0,0,0,893,156,31,1,4,3,3,2,0,0,0,0,0,1,4,3,3,2,2,1,2,0,0,0,3,0,1,0,0,1.097891,1.113842,CSGO-CS92t-fKh57-VCDyC-OKpRk-QCk9Q,0,0,1d90a7887b738639
karrigan,76561197989430253,8,Team B,3,0,8,2,66,0.375000,66.666672,30.333334,0.333333,0.888889,2.444444,0,-1,0,0,0,1,0,0,273,66,22,0,3,2,2,1,0,0,0,0,0,0,3,2,2,1,1,0,0,2,0,0,3,0,0,0,0,0.459605,0.369371,CSGO-aGcCh-DtQyf-2tyYi-LbxXi-Mv5qB,2,0,1d90a7887b738639
m0NESY,76561198074762801,21,Team A,9,1,5,5,55,1.800000,77.777779,77.888885,1.000000,0.555556,1.555556,1,-1,0,0,0,0,0,0,701,29,14,0,3,2,2,1,0,0,0,0,0,0,3,2,2,1,1,1,1,1,0,0,2,2,1,0,0,1.457820,1.521243,CSGO-EvvTA-D6U88-mXTHk-acm3G-bkMHA,2,0,1d90a7887b738639
broky,76561198201620490,20,Team B,4,0,6,2,50,0.666667,66.666672,42.111111,0.444444,0.666667,6.555555,1,-1,0,0,0,4,0,0,379,62,59,1,4,3,3,2,0,0,0,0,0,1,4,3,3,2,0,0,1,1,0,0,2,1,0,0,0,0.711753,0.708401,CSGO-2uABj-Rr3dC-yhVt3-bXe8v-tDu8O,1,0,1d90a7887b738639
rain,76561197997351207,19,Team B,7,1,6,6,85,1.166667,88.888893,77.888885,0.777778,0.666667,0.000000,1,-1,0,0,0,1,0,0,701,129,0,0,3,2,2,1,0,0,0,0,0,0,3,2,2,1,2,2,0,1,0,0,3,2,0,0,0,1.287645,1.051351,CSGO-R9YYa-TSs2C-GbTyM-ktUeQ-Rx6KQ,1,0,1d90a7887b738639
