frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
6421,5349,1,2,3,0,76561198068002993,HeavyGoD,0,0,55f900d795622dae
14251,11543,2,5,3,0,76561198074762801,m0NESY,0,0,55f900d795622dae
25529,20929,3,4,3,0,76561197982141573,Snax,0,0,55f900d795622dae
33204,26850,4,5,2,0,76561198201620490,broky,0,1,55f900d795622dae
39272,31568,5,5,2,0,76561198068422762,frozen,0,1,55f900d795622dae
45610,36662,6,4,2,0,76561198201620490,broky,0,0,55f900d795622dae
52851,42387,7,4,3,0,76561198074762801,m0NESY,0,0,55f900d795622dae
80618,65069,9,5,2,0,76561198066693739,EliGE,0,0,55f900d795622dae
88957,71585,10,2,3,1,76561198068002993,HeavyGoD,1,2,55f900d795622dae
90060,72549,10,1,2,0,76561198201620490,broky,0,0,55f900d795622dae
98507,79446,11,3,2,0,76561197989430253,karrigan,1,2,55f900d795622dae
98991,79855,11,1,3,1,76561198074762801,m0NESY,1,0,55f900d795622dae
110465,88963,12,4,3,0,76561198074762801,m0NESY,0,0,55f900d795622dae
133708,108013,13,3,3,0,76561198068422762,frozen,0,0,55f900d795622dae
141979,114718,14,3,2,0,76561198080703143,malbsMd,0,1,55f900d795622dae
155156,125244,15,4,3,0,76561198201620490,broky,1,2,55f900d795622dae
165665,133610,16,4,2,0,76561198080703143,malbsMd,0,0,55f900d795622dae
174471,140737,17,4,2,0,76561198080703143,malbsMd,0,0,55f900d795622dae
182692,147451,18,4,2,0,76561197982141573,Snax,0,0,55f900d795622dae
188288,151705,19,3,2,0,76561198068002993,HeavyGoD,0,0,55f900d795622dae
196823,158648,20,2,2,0,76561198080703143,malbsMd,0,0,55f900d795622dae
206140,166221,21,4,2,0,76561198080703143,malbsMd,0,0,55f900d795622dae
