frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
5714,4727,1,HeavyGoD,76561198068002993,3,Team A,ICY,76561198055109028,2,Team B,,0,0,,USP-S,pistol,1,0,0,0,0,0,2107.645752,-202.446777,251.827835,0,0,1378.447754,211.449692,129.784927,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,21.453060,3374c692d0b7534
5780,4785,1,FL4MUS,76561198014259134,2,Team B,malbsMd,76561198080703143,3,Team A,,0,0,,Glock-18,pistol,0,0,0,0,0,0,1378.182617,1069.077759,167.757431,0,0,2403.477051,1040.464233,168.357910,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,26.041031,3374c692d0b7534
6184,5141,1,huNter-,76561198012872053,3,Team A,FL4MUS,76561198014259134,2,Team B,,0,0,,USP-S,pistol,1,0,0,0,0,0,1832.931396,274.224792,161.031219,0,0,2386.065430,984.211182,163.967789,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,22.950569,3374c692d0b7534
6261,5210,1,HeavyGoD,76561198068002993,3,Team A,electronic,76561198044045107,2,Team B,,0,0,,USP-S,pistol,1,0,0,0,0,0,2586.615234,-93.000854,93.598686,0,0,1838.868286,51.196507,127.064781,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,19.355270,3374c692d0b7534
6348,5292,1,fame,76561198080114546,2,Team B,HeavyGoD,76561198068002993,3,Team A,,0,0,,Glock-18,pistol,1,0,0,0,0,0,1808.148193,63.186394,128.589142,0,0,2590.916016,-78.858032,96.007111,0,0,0,0.000000,0.000000,0.000000,1,1,0,0,20.227650,3374c692d0b7534
6495,5421,1,m0NESY,76561198074762801,3,Team A,FL1T,76561197995817501,2,Team B,,0,0,,USP-S,pistol,1,0,0,0,0,0,1976.454224,522.825745,160.031250,0,0,2321.014404,780.954834,154.897903,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,10.943113,3374c692d0b7534
6589,5507,1,fame,76561198080114546,2,Team B,huNter-,76561198012872053,3,Team A,electronic,76561198044045107,2,Team B,Glock-18,pistol,1,0,0,0,0,0,2082.415039,156.813599,160.031250,0,0,1905.085083,333.757629,161.031250,0,0,0,1839.418945,54.905849,127.167770,0,1,0,0,6.382238,3374c692d0b7534
6706,5607,1,m0NESY,76561198074762801,3,Team A,fame,76561198080114546,2,Team B,HeavyGoD,76561198068002993,3,Team A,Knife,melee,0,0,0,0,0,0,2123.818848,166.696304,197.812500,1,0,2182.897705,198.332367,160.031250,0,0,0,2590.745117,-79.703125,95.876701,1,0,0,0,1.729176,3374c692d0b7534
14333,11713,2,huNter-,76561198012872053,3,Team A,electronic,76561198044045107,2,Team B,m0NESY,76561198074762801,3,Team A,MP9,smg,1,0,1,0,0,0,1434.987549,1190.187866,177.869431,0,0,1484.779053,945.919495,147.687912,0,1,0,2252.820312,1057.400024,162.468811,0,0,0,0,6.291281,3374c692d0b7534
14665,12007,2,Snax,76561197982141573,3,Team A,FL4MUS,76561198014259134,2,Team B,,0,0,,M4A1,rifle,1,0,0,0,0,0,469.129364,2061.675537,210.531250,0,0,21.750280,888.243591,80.251846,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,32.077274,3374c692d0b7534
