number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,1,1,1264,1597,3871,4629,4191,5025,Team A,Team B,1,0,3,2,4000,4000,4000,4300,3400,3300,pistol,pistol,58132,8,Team A,3,0,c56449524c6b814a
2,4191,5025,5471,6707,10289,12311,10609,12708,Team A,Team B,2,0,3,2,18350,10200,17950,2100,15450,1700,semi,eco,91518,8,Team A,3,0,c56449524c6b814a
3,10609,12708,11889,14594,21141,25606,21461,25978,Team A,Team B,2,1,3,2,20650,21100,25700,22100,13250,20700,full,full,162010,1,Team B,2,0,c56449524c6b814a
4,21461,25978,22741,27789,29064,35519,29384,35908,Team A,Team B,3,1,3,2,14400,19100,25150,24700,11900,12600,full,full,119843,8,Team A,3,0,c56449524c6b814a
5,31785,38956,37753,46563,42527,52420,42847,52814,Team A,Team B,3,2,3,2,20050,16600,27250,16150,12500,15850,full,force-buy,169120,9,Team B,2,0,c56449524c6b814a
6,42847,52814,44127,54590,53388,65616,53708,66012,Team A,Team B,3,3,3,2,15150,18500,15950,24150,14750,17100,force-buy,full,160805,1,Team B,2,0,c56449524c6b814a
7,53708,66012,54988,67815,60438,74388,60758,74769,Team A,Team B,4,3,3,2,11100,19500,14650,26250,1750,12600,semi,full,105210,7,Team A,3,0,c56449524c6b814a
8,60758,74769,62038,76528,65976,81315,66295,81708,Team A,Team B,5,3,3,2,28450,17800,30350,16200,18100,15600,full,semi,82223,8,Team A,3,0,c56449524c6b814a
9,66295,81708,67575,83470,71145,87830,71465,88217,Team A,Team B,6,3,3,2,27700,12300,30950,1500,13200,700,full,eco,76898,8,Team A,3,0,c56449524c6b814a
10,71465,88217,72745,90054,77867,96320,78187,96706,Team A,Team B,7,3,3,2,31850,23600,30950,23800,4750,23100,full,full,101781,7,Team A,3,0,c56449524c6b814a
11,80367,99592,81647,101446,83906,104361,84226,104761,Team A,Team B,8,3,3,2,46000,19100,31150,11900,23600,11700,full,semi,59903,7,Team A,3,0,c56449524c6b814a
12,84226,104761,85506,106637,88765,110858,89309,111521,Team A,Team B,9,3,3,2,41100,28300,31250,25600,15150,24900,full,full,76584,8,Team A,3,0,c56449524c6b814a
13,89309,111521,103656,129450,108562,135257,108882,135646,Team A,Team B,9,4,2,3,4000,4000,5000,4350,3500,3550,pistol,pistol,298146,8,Team B,3,0,c56449524c6b814a
14,108882,135646,110162,137422,116898,145513,117218,145913,Team A,Team B,9,5,2,3,10300,18200,1500,19500,700,17850,eco,semi,123938,8,Team B,3,0,c56449524c6b814a
15,117218,145913,118498,147795,123829,154360,124149,154766,Team A,Team B,9,6,2,3,21600,18100,22500,24400,21100,7200,full,full,106102,7,Team B,3,0,c56449524c6b814a
16,124149,154766,125429,156570,130582,162919,130902,163307,Team A,Team B,9,7,2,3,18600,30200,10000,28500,10000,10800,semi,full,102409,8,Team B,3,0,c56449524c6b814a
17,130902,163307,132182,165044,141831,176791,142151,177219,Team A,Team B,10,7,2,3,25600,37150,25100,29000,24100,5200,full,full,169371,1,Team A,2,0,c56449524c6b814a
18,142151,177219,143431,178971,150791,187745,151111,188122,Team A,Team B,10,8,2,3,20500,39250,25000,29250,8700,23850,full,full,132216,12,Team B,3,0,c56449524c6b814a
19,153579,191186,154859,192850,161573,200938,161893,201340,Team A,Team B,10,9,2,3,21100,32550,24500,31400,15400,16700,full,full,122494,8,Team B,3,0,c56449524c6b814a
20,161893,201340,163173,203111,170533,211990,170853,212378,Team A,Team B,10,10,2,3,22500,33600,22600,31700,21900,6550,full,full,133773,12,Team B,3,0,c56449524c6b814a
21,170853,212378,172133,213995,178670,221797,178990,222179,Team A,Team B,10,11,2,3,14200,44300,12550,32200,8450,4600,semi,full,118311,7,Team B,3,0,c56449524c6b814a
22,178990,222179,180270,223989,188355,233954,188675,234343,Team A,Team B,11,11,2,3,26950,58800,23900,33100,22900,18300,full,full,147905,1,Team A,2,0,c56449524c6b814a
23,188675,234343,189955,236138,196187,243750,196507,244135,Team A,Team B,12,11,2,3,23050,48300,24700,30800,19800,22850,full,full,118160,1,Team A,2,0,c56449524c6b814a
24,198813,247259,200093,249009,205529,255817,206073,256453,Team A,Team B,12,12,2,3,22250,35350,25700,33450,16700,32200,full,full,107496,8,Team B,3,0,c56449524c6b814a
25,206073,256453,207353,258191,214713,266950,215033,267335,Team A,Team B,12,13,2,3,62500,62500,27350,29550,26850,28550,full,full,131852,12,Team B,3,1,c56449524c6b814a
26,215033,267335,216313,269137,224773,279244,225093,279636,Team A,Team B,13,13,2,3,44050,51400,27550,30150,21000,24850,full,full,149588,9,Team A,2,1,c56449524c6b814a
27,227911,283412,229191,285191,234755,291982,235299,292630,Team A,Team B,14,13,2,3,41100,34550,28050,30800,21600,30200,full,full,107647,9,Team A,2,1,c56449524c6b814a
28,237745,295846,239025,297761,246966,307360,247286,307753,Team A,Team B,14,14,3,2,62500,62500,28650,27150,27850,26450,full,full,144626,9,Team B,2,1,c56449524c6b814a
29,247286,307753,248566,309614,255926,318611,256246,319012,Team A,Team B,15,14,3,2,44450,53900,29300,27750,28600,9800,full,full,136386,12,Team A,3,1,c56449524c6b814a
30,256246,319012,257526,320823,263947,328678,263947,328678,Team A,Team B,16,14,3,2,34650,36350,30900,27850,16400,23650,full,full,121414,8,Team A,3,1,c56449524c6b814a
