number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,1,1,2008,4302,7933,13979,8253,14494,Team A,Team B,1,0,3,2,4000,4000,29300,20250,11450,19450,pistol,pistol,133866,8,Team A,3,0,1cb455e4100595e
2,8253,14494,9533,17156,14278,24599,14598,25144,Team A,Team B,2,0,3,2,27200,13400,29400,4750,16050,4550,full,eco,96774,8,Team A,3,0,1cb455e4100595e
3,17269,29471,18549,31765,25090,42262,25410,42816,Team A,Team B,2,1,3,2,28700,23950,29600,24200,12850,23200,full,full,122498,9,Team B,2,0,1cb455e4100595e
4,25410,42816,26690,45724,33078,56131,33622,57002,Team A,Team B,3,1,3,2,23750,18800,24300,24000,23300,17900,full,full,127516,8,Team A,3,0,1cb455e4100595e
5,33622,57002,47881,79894,52003,85805,52323,86317,Team A,Team B,3,2,2,3,4000,4000,3550,4000,2750,3400,pistol,pistol,275844,8,Team B,3,0,1cb455e4100595e
6,52323,86317,53603,88929,58229,95690,58549,96220,Team A,Team B,3,3,2,3,11050,18350,1500,20850,700,17200,eco,semi,89764,8,Team B,3,0,1cb455e4100595e
7,58549,96220,59829,98852,66161,108723,66481,109238,Team A,Team B,4,3,2,3,22350,19500,23200,23850,22200,5200,full,full,119740,9,Team A,2,0,1cb455e4100595e
8,66481,109238,67761,111945,75835,124386,76155,124919,Team A,Team B,5,3,2,3,18200,22500,23750,24000,14250,22200,full,full,145071,9,Team A,2,0,1cb455e4100595e
9,76155,124919,77435,127437,83532,136676,83852,137242,Team A,Team B,6,3,2,3,22000,10800,25750,2300,18600,1900,full,eco,112595,9,Team A,2,0,1cb455e4100595e
10,86337,141309,87617,143948,93815,153640,94135,154170,Team A,Team B,7,3,2,3,21750,21000,26250,21900,8900,20400,full,force-buy,118092,9,Team A,2,0,1cb455e4100595e
11,94135,154170,95415,156754,102922,168100,103242,168624,Team A,Team B,8,3,2,3,30500,16000,27450,7450,12100,7450,full,semi,133406,9,Team A,2,0,1cb455e4100595e
12,103242,168624,104522,171403,109883,180005,109883,180005,Team A,Team B,9,3,2,3,30750,17900,27750,27250,23250,26250,full,full,108994,9,Team A,2,0,1cb455e4100595e
