frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
3301,2722,1,cadiaN,76561198004115516,3,Team A,Tauson,76561198316706174,2,Team B,,0,0,,USP-S,pistol,1,0,0,0,0,0,-720.351318,-2131.910156,-179.968750,0,0,-697.885193,-1740.523193,-179.620911,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,9.918813,24aae0a026f21989
3441,2849,1,cadiaN,76561198004115516,3,Team A,sl3nd,76561198098071693,2,Team B,,0,0,,USP-S,pistol,1,0,0,0,0,0,-723.551208,-2122.132812,-179.968750,0,0,-639.270874,-1867.808838,-179.968750,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,6.809011,24aae0a026f21989
3679,3051,1,PR,76561198310561479,2,Team B,cadiaN,76561198004115516,3,Team A,,0,0,,Glock-18,pistol,0,0,0,0,0,0,-746.743958,-1860.146118,-179.968750,0,0,-708.360962,-2131.793945,-179.968750,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,6.965106,24aae0a026f21989
3968,3294,1,PR,76561198310561479,2,Team B,stavn,76561198022365638,3,Team A,,0,0,,Glock-18,pistol,1,0,0,0,0,0,-894.531372,-2348.502686,-167.968750,0,0,-1644.762817,-2162.982666,-257.757324,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,19.763515,24aae0a026f21989
4168,3473,1,PR,76561198310561479,2,Team B,jabbi,76561198120557348,3,Team A,,0,0,,Glock-18,pistol,1,0,0,0,0,0,-943.520935,-2366.300537,-167.968750,0,0,-1556.145142,-2172.804443,-252.211914,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,16.466269,24aae0a026f21989
4239,3535,1,PR,76561198310561479,2,Team B,Staehr,76561198005107817,3,Team A,REZ,76561198034172415,2,Team B,Glock-18,pistol,1,0,0,0,0,0,-949.232056,-2383.966064,-167.968750,0,0,-1613.203369,-2136.678467,-256.719360,0,0,0,-588.416260,-2391.187744,-167.968750,0,0,0,0,18.146704,24aae0a026f21989
4919,4138,1,PR,76561198310561479,2,Team B,dev1ce,76561197987713664,3,Team A,REZ,76561198034172415,2,Team B,Glock-18,pistol,1,0,0,0,0,0,-763.011108,-2265.224854,-179.968750,0,0,-580.950867,-1007.067505,-167.968750,0,0,0,-341.130981,-2189.970459,-173.621460,0,0,0,0,32.289135,24aae0a026f21989
12729,10418,2,jabbi,76561198120557348,3,Team A,REZ,76561198034172415,2,Team B,,0,0,,Desert Eagle,pistol,1,0,0,0,0,0,-498.073181,-1519.789795,-39.968750,0,0,386.427002,-1545.074585,-205.177185,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,22.892977,24aae0a026f21989
13694,11237,2,PR,76561198310561479,2,Team B,Staehr,76561198005107817,3,Team A,Tauson,76561198316706174,2,Team B,AK-47,rifle,0,2,0,0,0,0,68.658340,-2154.497070,-39.968750,0,0,-707.355835,-2123.221436,-179.968750,0,0,0,-144.984924,-2247.627197,-167.968750,0,0,0,0,19.948362,24aae0a026f21989
14148,11626,2,ztr,76561199009468655,2,Team B,jabbi,76561198120557348,3,Team A,PR,76561198310561479,2,Team B,UMP-45,smg,1,0,1,0,0,0,-863.891724,-1330.575195,-167.968750,0,0,-496.036743,-1381.189209,-123.808594,0,1,0,81.716980,-2137.216553,-39.968750,0,0,1,0,9.486719,24aae0a026f21989
