steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198045898864,chopper,3,800,800,400,pistol,1,f0512b9774f1d4e0
76561198034172415,REZ,2,800,650,850,pistol,1,f0512b9774f1d4e0
76561199063238565,magixx,3,800,700,900,pistol,1,f0512b9774f1d4e0
76561198310561479,PR,2,800,650,850,pistol,1,f0512b9774f1d4e0
76561198081484775,sh1ro,3,800,650,950,pistol,1,f0512b9774f1d4e0
76561198995880877,zont1x,3,800,650,950,pistol,1,f0512b9774f1d4e0
76561198316706174,Tauson,2,800,650,850,pistol,1,f0512b9774f1d4e0
76561198386265483,donk,3,800,650,850,pistol,1,f0512b9774f1d4e0
76561198098071693,sl3nd,2,800,650,950,pistol,1,f0512b9774f1d4e0
76561199009468655,ztr,2,800,800,700,pistol,1,f0512b9774f1d4e0
76561198098071693,sl3nd,2,3950,3950,4900,full,2,f0512b9774f1d4e0
76561199009468655,ztr,2,3500,3450,3050,semi,2,f0512b9774f1d4e0
76561198386265483,donk,3,2050,2000,2000,force-buy,2,f0512b9774f1d4e0
76561198310561479,PR,2,3650,3650,4500,full,2,f0512b9774f1d4e0
76561198034172415,REZ,2,4250,4200,4800,full,2,f0512b9774f1d4e0
76561198081484775,sh1ro,3,2650,2150,3100,semi,2,f0512b9774f1d4e0
76561198045898864,chopper,3,1900,1800,1800,force-buy,2,f0512b9774f1d4e0
76561198995880877,zont1x,3,2050,1950,1950,force-buy,2,f0512b9774f1d4e0
76561199063238565,magixx,3,2300,2200,2400,force-buy,2,f0512b9774f1d4e0
76561198316706174,Tauson,2,4250,4200,4400,full,2,f0512b9774f1d4e0
76561199063238565,magixx,3,3950,3550,3750,semi,3,f0512b9774f1d4e0
76561198045898864,chopper,3,3950,3700,3750,semi,3,f0512b9774f1d4e0
76561198316706174,Tauson,2,2350,2350,2550,force-buy,3,f0512b9774f1d4e0
76561198081484775,sh1ro,3,4350,3550,5400,full,3,f0512b9774f1d4e0
76561198098071693,sl3nd,2,1400,1350,1350,force-buy,3,f0512b9774f1d4e0
76561199009468655,ztr,2,1450,1400,1400,force-buy,3,f0512b9774f1d4e0
76561198034172415,REZ,2,1450,1350,1350,force-buy,3,f0512b9774f1d4e0
76561198310561479,PR,2,1400,1350,1350,force-buy,3,f0512b9774f1d4e0
76561198995880877,zont1x,3,3350,1750,5900,full,3,f0512b9774f1d4e0
76561198386265483,donk,3,3300,2700,5600,full,3,f0512b9774f1d4e0
76561198098071693,sl3nd,2,1950,0,200,eco,4,f0512b9774f1d4e0
76561198386265483,donk,3,3850,2700,5800,full,4,f0512b9774f1d4e0
76561198310561479,PR,2,1950,0,200,eco,4,f0512b9774f1d4e0
76561198995880877,zont1x,3,5150,5000,5200,full,4,f0512b9774f1d4e0
76561198316706174,Tauson,2,2500,700,700,eco,4,f0512b9774f1d4e0
76561199009468655,ztr,2,1950,0,200,eco,4,f0512b9774f1d4e0
76561198034172415,REZ,2,2300,0,200,eco,4,f0512b9774f1d4e0
76561199063238565,magixx,3,4850,1100,4250,semi,4,f0512b9774f1d4e0
76561198081484775,sh1ro,3,4350,600,3250,semi,4,f0512b9774f1d4e0
76561198045898864,chopper,3,4100,4000,5700,full,4,f0512b9774f1d4e0
