frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
17167,11449,1,3,2,0,76561198034172415,REZ,1,1,466fcbf188bb4eeb
30370,20262,2,3,2,0,76561198316706174,Tauson,0,0,466fcbf188bb4eeb
46191,30689,3,3,3,0,76561199063238565,magixx,1,0,466fcbf188bb4eeb
78466,52254,5,2,3,0,76561199063238565,magixx,0,0,466fcbf188bb4eeb
109853,73626,6,4,2,0,76561198081484775,sh1ro,0,0,466fcbf188bb4eeb
120285,80620,7,5,2,0,76561199063238565,magixx,0,0,466fcbf188bb4eeb
133306,89292,8,4,2,0,76561198045898864,chopper,1,2,466fcbf188bb4eeb
144048,96254,9,3,2,0,76561198081484775,sh1ro,0,0,466fcbf188bb4eeb
158621,105496,10,2,3,0,76561198310561479,PR,0,0,466fcbf188bb4eeb
167039,110661,11,2,3,0,76561198316706174,Tauson,0,0,466fcbf188bb4eeb
175958,116770,12,5,3,0,76561199009468655,ztr,0,0,466fcbf188bb4eeb
189690,125601,13,3,2,0,76561199063238565,magixx,0,0,466fcbf188bb4eeb
218277,144931,15,3,3,0,76561199009468655,ztr,1,0,466fcbf188bb4eeb
249022,165485,17,3,2,0,76561198081484775,sh1ro,0,0,466fcbf188bb4eeb
