name,steamid,score,team name,kills,assists,deaths,headshots,hs %,k/d,kast,avg damages per round,avg kills per round,avg death per round,utility_damage_per_round,mvp,rank type,rank,old rank,win count,bomb planted,bomb defused,hostage rescued,health damage,armor damage,utility damage,1v1,1v2,1v3,1v4,1v5,1v1 won,1v2 won,1v3 won,1v4 won,1v5 won,1v1 lost,1v2 lost,1v3 lost,1v4 lost,1v5 lost,first kill,first death,trade kill,trade death,first trade kill,first trade death,1k,2k,3k,4k,5k,htlv 2,htlv,crosshair share code,color,inspect weapon count,match checksum
magixx,76561199063238565,10,Team Spirit,4,1,0,3,75,4.000000,100.000000,54.000000,0.500000,0.000000,4.875000,1,-1,0,0,0,0,1,0,432,64,39,0,2,1,3,1,0,1,0,0,0,0,1,1,3,1,0,0,0,0,0,0,2,1,0,0,0,1.408869,1.308108,CSGO-8eWwr-QRykd-Z9XLP-YwLfo-L4zAC,1,0,6db171ff15dfdd09
ztr,76561199009468655,4,GamerLegion,2,0,7,1,50,0.285714,62.500000,30.500000,0.250000,0.875000,0.000000,0,-1,0,0,0,0,0,0,244,41,0,1,3,2,4,2,0,1,0,0,0,1,2,2,4,2,0,0,1,2,0,0,2,0,0,0,0,0.365095,0.311106,CSGO-rZpZ7-WswDB-rtrYT-t8ANs-8t8rN,1,0,6db171ff15dfdd09
chopper,76561198045898864,10,Team Spirit,4,2,3,4,100,1.333333,87.500000,61.875000,0.500000,0.375000,0.000000,0,-1,0,0,0,0,0,0,495,69,0,0,2,1,3,1,0,1,0,0,0,0,1,1,3,1,0,0,0,0,0,0,2,1,0,0,0,1.155435,1.001414,CSGO-DDMKA-7f8Le-z3na4-y3N5v-BWRZQ,0,0,6db171ff15dfdd09
PR,76561198310561479,4,GamerLegion,1,2,7,0,0,0.142857,62.500000,32.375000,0.125000,0.875000,0.125000,0,-1,0,0,0,0,0,0,259,33,1,1,3,2,4,2,0,1,0,0,0,1,2,2,4,2,1,0,0,2,0,0,1,0,0,0,0,0.287959,0.206669,CSGO-ZCfnv-2mwWn-PspZZ-RmXKq-EaVvD,3,0,6db171ff15dfdd09
zont1x,76561198995880877,22,Team Spirit,11,0,5,1,9,2.200000,87.500000,131.375000,1.375000,0.625000,2.125000,3,-1,0,0,0,0,0,0,1051,152,17,0,2,1,3,1,0,1,0,0,0,0,1,1,3,1,3,1,0,1,0,0,2,3,1,0,0,1.975998,1.890549,CSGO-iFmqr-NWMkU-Q38iA-iC6Ru-RPNMB,3,0,6db171ff15dfdd09
sl3nd,76561198098071693,21,GamerLegion,7,0,7,4,57,1.000000,75.000000,65.500000,0.875000,0.875000,0.000000,1,-1,0,0,0,3,0,0,524,53,0,2,4,3,5,3,0,1,0,0,0,2,3,3,5,3,0,1,3,1,0,1,2,1,1,0,0,1.108554,1.123322,CSGO-Eo9TR-ByBxM-O3Dsr-YqpAP-478WB,0,0,6db171ff15dfdd09
sh1ro,76561198081484775,18,Team Spirit,8,1,2,1,12,4.000000,100.000000,76.000000,1.000000,0.250000,1.250000,1,-1,0,0,0,0,0,0,608,82,10,0,2,1,3,1,0,1,0,0,0,0,1,1,3,1,1,0,0,0,0,0,2,3,0,0,0,1.778212,1.666409,CSGO-2uGDz-ihYJs-3V6cv-pS6HB-FNLTK,4,0,6db171ff15dfdd09
REZ,76561198034172415,5,GamerLegion,1,2,6,0,0,0.166667,75.000000,44.625000,0.125000,0.750000,2.250000,0,-1,0,0,0,0,0,0,357,36,18,1,3,2,4,2,0,1,0,0,0,1,2,2,4,2,0,4,1,2,0,2,1,0,0,0,0,0.485021,0.308900,CSGO-fdBDn-SmBER-ZeejC-iw5tu-kHk9Q,2,0,6db171ff15dfdd09
donk,76561198386265483,18,Team Spirit,6,3,2,4,66,3.000000,87.500000,94.375000,0.750000,0.250000,3.500000,1,-1,0,0,0,0,1,0,755,77,28,0,2,1,3,1,0,1,0,0,0,0,1,1,3,1,1,1,1,0,0,0,4,1,0,0,0,1.554584,1.312519,CSGO-Cr7BJ-7CbBi-yx2oQ-Jy32v-7cG4C,2,0,6db171ff15dfdd09
Tauson,76561198316706174,6,GamerLegion,1,3,6,0,0,0.166667,62.500000,27.375000,0.125000,0.750000,0.000000,0,-1,0,0,0,0,0,0,219,61,0,2,4,3,5,3,1,2,1,1,1,1,2,2,4,2,1,0,0,2,0,0,1,0,0,0,0,0.351024,0.308900,CSGO-phwUf-T6UD4-4EFi4-eyquk-OYTSH,4,0,6db171ff15dfdd09
