frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
291,7,1,magixx,76561199063238565,3,Team Spirit,magixx,76561199063238565,3,Team Spirit,,0,0,,World,world,0,0,0,0,0,0,-256.000000,1728.000000,25.602571,0,0,-256.000000,1728.000000,25.602571,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,d474cdcdbcd4e391
291,7,1,sl3nd,76561198098071693,2,GamerLegion,sl3nd,76561198098071693,2,GamerLegion,,0,0,,World,world,0,0,0,0,0,0,-456.000000,-2288.000000,-163.255737,0,0,-456.000000,-2288.000000,-163.255737,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,d474cdcdbcd4e391
291,7,1,Tauson,76561198316706174,2,GamerLegion,Tauson,76561198316706174,2,GamerLegion,,0,0,,World,world,0,0,0,0,0,0,-520.000000,-2224.000000,-163.255737,0,0,-520.000000,-2224.000000,-163.255737,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,d474cdcdbcd4e391
291,7,1,sh1ro,76561198081484775,3,Team Spirit,sh1ro,76561198081484775,3,Team Spirit,,0,0,,World,world,0,0,0,0,0,0,-448.000000,1728.000000,30.739708,0,0,-448.000000,1728.000000,30.739708,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,d474cdcdbcd4e391
291,7,1,ztr,76561199009468655,2,GamerLegion,ztr,76561199009468655,2,GamerLegion,,0,0,,World,world,0,0,0,0,0,0,-328.000000,-2288.000000,-163.255737,0,0,-328.000000,-2288.000000,-163.255737,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,d474cdcdbcd4e391
291,7,1,chopper,76561198045898864,3,Team Spirit,chopper,76561198045898864,3,Team Spirit,,0,0,,World,world,0,0,0,0,0,0,-192.000000,1696.000000,26.053045,0,0,-192.000000,1696.000000,26.053045,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,d474cdcdbcd4e391
291,7,1,REZ,76561198034172415,2,GamerLegion,REZ,76561198034172415,2,GamerLegion,,0,0,,World,world,0,0,0,0,0,0,-584.000000,-2288.000000,-162.422363,0,0,-584.000000,-2288.000000,-162.422363,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,d474cdcdbcd4e391
291,7,1,PR,76561198310561479,2,GamerLegion,PR,76561198310561479,2,GamerLegion,,0,0,,World,world,0,0,0,0,0,0,-392.000000,-2224.000000,-163.255737,0,0,-392.000000,-2224.000000,-163.255737,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,d474cdcdbcd4e391
291,7,1,donk,76561198386265483,3,Team Spirit,donk,76561198386265483,3,Team Spirit,,0,0,,World,world,0,0,0,0,0,0,-352.000000,1728.000000,28.813255,0,0,-352.000000,1728.000000,28.813255,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,d474cdcdbcd4e391
291,7,1,zont1x,76561198995880877,3,Team Spirit,zont1x,76561198995880877,3,Team Spirit,,0,0,,World,world,0,0,0,0,0,0,-512.000000,1696.000000,26.837200,0,0,-512.000000,1696.000000,26.837200,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,d474cdcdbcd4e391
