frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
4447,3649,1,5,2,0,76561199009468655,ztr,0,0,c051cd28c3fef2fb
11904,9636,2,2,2,0,76561198034172415,REZ,0,0,c051cd28c3fef2fb
20192,16212,3,2,3,0,76561198081484775,sh1ro,1,1,c051cd28c3fef2fb
20378,16372,3,1,2,1,76561198034172415,REZ,0,0,c051cd28c3fef2fb
32840,26455,4,4,3,0,76561198081484775,sh1ro,0,0,c051cd28c3fef2fb
40232,32587,5,5,3,0,76561198386265483,donk,0,0,c051cd28c3fef2fb
49290,39814,6,5,2,0,76561198098071693,sl3nd,1,1,c051cd28c3fef2fb
75901,61623,8,3,2,0,76561198098071693,sl3nd,0,0,c051cd28c3fef2fb
86029,69900,9,3,2,0,76561198098071693,sl3nd,0,1,c051cd28c3fef2fb
94276,76478,10,3,2,0,76561199009468655,ztr,0,1,c051cd28c3fef2fb
98329,79657,11,5,2,0,76561198310561479,PR,0,0,c051cd28c3fef2fb
112253,90772,12,2,2,0,76561198098071693,sl3nd,0,1,c051cd28c3fef2fb
112303,90815,12,1,3,1,76561198045898864,chopper,1,1,c051cd28c3fef2fb
134156,108646,13,3,3,0,76561198310561479,PR,0,0,c051cd28c3fef2fb
146242,118575,14,2,3,0,76561199009468655,ztr,0,0,c051cd28c3fef2fb
150910,122086,15,4,3,0,76561198310561479,PR,0,0,c051cd28c3fef2fb
165966,134131,16,3,3,0,76561198034172415,REZ,1,0,c051cd28c3fef2fb
177272,143348,17,3,3,0,76561199009468655,ztr,0,0,c051cd28c3fef2fb
