name,steamid,score,team name,kills,assists,deaths,headshots,hs %,k/d,kast,avg damages per round,avg kills per round,avg death per round,utility_damage_per_round,mvp,rank type,rank,old rank,win count,bomb planted,bomb defused,hostage rescued,health damage,armor damage,utility damage,1v1,1v2,1v3,1v4,1v5,1v1 won,1v2 won,1v3 won,1v4 won,1v5 won,1v1 lost,1v2 lost,1v3 lost,1v4 lost,1v5 lost,first kill,first death,trade kill,trade death,first trade kill,first trade death,1k,2k,3k,4k,5k,htlv 2,htlv,crosshair share code,color,inspect weapon count,match checksum
ztr,76561199009468655,27,Team B,9,4,14,3,33,0.642857,64.705887,59.117645,0.529412,0.823529,1.882353,3,-1,0,0,0,2,0,0,1005,84,32,6,8,10,6,8,2,0,0,0,0,4,8,10,6,8,0,2,2,4,0,1,3,3,0,0,0,0.765149,0.689012,CSGO-rZpZ7-WswDB-rtrYT-t8ANs-8t8rN,2,0,c051cd28c3fef2fb
magixx,76561199063238565,31,Team A,10,3,7,6,60,1.428571,76.470589,56.764706,0.588235,0.411765,0.117647,2,-1,0,0,0,2,0,0,965,196,2,2,4,6,2,4,2,0,0,0,0,0,4,6,2,4,0,1,2,2,0,0,4,3,0,0,0,1.107915,1.074922,CSGO-8eWwr-QRykd-Z9XLP-YwLfo-L4zAC,1,0,c051cd28c3fef2fb
PR,76561198310561479,27,Team B,12,0,15,7,58,0.800000,52.941177,56.882355,0.705882,0.882353,0.470588,0,-1,0,0,0,0,0,0,967,133,8,5,7,9,5,7,2,0,0,0,0,3,7,9,5,7,4,1,1,3,0,0,5,2,1,0,0,0.769856,0.856587,CSGO-ZCfnv-2mwWn-PspZZ-RmXKq-EaVvD,1,0,c051cd28c3fef2fb
zont1x,76561198995880877,44,Team A,16,7,5,11,68,3.200000,88.235298,93.529411,0.941176,0.294118,4.294117,4,-1,0,0,0,1,1,0,1590,246,73,2,4,6,2,4,2,0,0,0,0,0,4,6,2,4,0,2,2,1,0,0,4,3,2,0,0,1.702639,1.670749,CSGO-iFmqr-NWMkU-Q38iA-iC6Ru-RPNMB,3,0,c051cd28c3fef2fb
Tauson,76561198316706174,13,Team B,5,3,15,4,80,0.333333,52.941177,41.882355,0.294118,0.882353,1.647059,0,-1,0,0,0,0,0,0,712,94,28,2,4,6,2,4,2,0,0,0,0,0,4,6,2,4,1,3,2,2,0,0,1,2,0,0,0,0.383533,0.410195,CSGO-phwUf-T6UD4-4EFi4-eyquk-OYTSH,4,0,c051cd28c3fef2fb
chopper,76561198045898864,39,Team A,16,6,10,6,37,1.600000,88.235298,90.176468,0.941176,0.588235,7.117647,2,-1,0,0,0,0,0,0,1533,262,121,3,5,7,3,5,3,1,1,1,1,0,4,6,2,4,2,1,2,3,0,0,9,2,1,0,0,1.529314,1.293719,CSGO-DDMKA-7f8Le-z3na4-y3N5v-BWRZQ,0,0,c051cd28c3fef2fb
donk,76561198386265483,41,Team A,18,3,13,9,50,1.384615,70.588234,101.352943,1.058824,0.764706,2.294118,3,-1,0,0,0,0,1,0,1723,160,39,3,5,7,3,5,2,0,0,0,0,1,5,7,3,5,5,1,3,4,0,0,5,5,1,0,0,1.426320,1.350050,CSGO-Jhfkc-4UpR6-DJftC-VfGek-pL3ED,2,0,c051cd28c3fef2fb
sl3nd,76561198098071693,25,Team B,8,3,13,5,62,0.615385,64.705887,62.058823,0.470588,0.764706,1.705882,0,-1,0,0,0,2,0,0,1055,143,29,6,8,10,6,8,2,0,0,0,0,4,8,10,6,8,0,3,3,0,0,0,4,2,0,0,0,0.749205,0.653853,CSGO-Eo9TR-ByBxM-O3Dsr-YqpAP-478WB,3,0,c051cd28c3fef2fb
sh1ro,76561198081484775,24,Team A,9,7,8,6,66,1.125000,70.588234,76.647057,0.529412,0.470588,1.882353,2,-1,0,0,0,0,0,0,1303,138,32,4,6,8,4,6,2,0,0,0,0,2,6,8,4,6,3,2,1,0,0,0,7,1,0,0,0,1.069848,0.909424,CSGO-2uGDz-ihYJs-3V6cv-pS6HB-FNLTK,4,0,c051cd28c3fef2fb
REZ,76561198034172415,26,Team B,9,5,12,7,77,0.750000,64.705887,68.411766,0.529412,0.705882,2.764706,1,-1,0,0,0,1,0,0,1163,195,47,5,7,9,5,7,3,1,1,1,1,2,6,8,4,6,2,1,2,3,0,0,3,3,0,0,0,0.863445,0.785230,CSGO-fdBDn-SmBER-ZeejC-iw5tu-kHk9Q,0,0,c051cd28c3fef2fb
