frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
196,115,1,76561198045898864,3,chopper,Smoke Grenade,grenade,01JM6E3SZY5XWFS415AEXFEWGH,0,460cdd1cb28a18de
215,127,1,76561198386265483,3,donk,Kevlar Vest,equipment,01JM6E3SZY5XWFS415AEYA80WH,0,460cdd1cb28a18de
219,131,1,76561198045898864,3,chopper,Flashbang,grenade,01JM6E3SZY5XWFS415AGAD3WP3,0,460cdd1cb28a18de
224,135,1,76561197977105184,2,jks,Kevlar Vest,equipment,01JM6E3SZZTBKXBP11YEBWH8MW,0,460cdd1cb28a18de
226,137,1,76561198001151695,2,NAF,Kevlar Vest,equipment,01JM6E3SZZTBKXBP11YEC00KXY,0,460cdd1cb28a18de
251,154,1,76561198283989223,2,ultimate,Kevlar Vest,equipment,01JM6E3SZZTBKXBP11YFP4C5SR,0,460cdd1cb28a18de
259,159,1,76561198995880877,3,zont1x,Kevlar Vest,equipment,01JM6E3SZZTBKXBP11YKMZ0KM7,0,460cdd1cb28a18de
343,221,1,76561199063238565,3,magixx,Dual Berettas,pistol,01JM6E3SZXE3M0VZQ8QQZNND7W,0,460cdd1cb28a18de
392,266,1,76561199063238565,3,magixx,Kevlar Vest,equipment,01JM6E3T01NEG1X8T21XSZZGCR,0,460cdd1cb28a18de
753,567,1,76561198016255205,2,Twistzz,Kevlar Vest,equipment,01JM6E3T07SQYKR033E17JGHT1,0,460cdd1cb28a18de
1166,880,1,76561198053126645,2,NertZ,Kevlar Vest,equipment,01JM6E3T0DKW4AVC1PBSM1PKV6,0,460cdd1cb28a18de
1179,891,1,76561198081484775,3,SH1R0,Kevlar Vest,equipment,01JM6E3T0DKW4AVC1PBVKF5189,0,460cdd1cb28a18de
6327,5260,2,76561198016255205,2,Twistzz,Kevlar + Helmet,equipment,01JM6E3T5J5CJQNK01CPR47AT0,0,460cdd1cb28a18de
6452,5335,2,76561198283989223,2,ultimate,Kevlar + Helmet,equipment,01JM6E3T5M8S50Y1DMY3H85NNZ,0,460cdd1cb28a18de
6468,5345,2,76561197977105184,2,jks,Kevlar + Helmet,equipment,01JM6E3T5N2G30Z6HSJ8K8MAXN,0,460cdd1cb28a18de
6577,5429,2,76561198053126645,2,NertZ,Kevlar + Helmet,equipment,01JM6E3T5P8PE8FWW3NMZQSD3Q,0,460cdd1cb28a18de
6636,5474,2,76561198053126645,2,NertZ,MP7,smg,01JM6E3T5RQGBESA82JNH2VEF6,0,460cdd1cb28a18de
6756,5543,2,76561198053126645,2,NertZ,Smoke Grenade,grenade,01JM6E3T5SQ14HXEBS2XD4G4VF,0,460cdd1cb28a18de
6879,5633,2,76561199063238565,3,magixx,Kevlar Vest,equipment,01JM6E3T5WYZ0EVQ87VFYFQQ51,0,460cdd1cb28a18de
6927,5669,2,76561198001151695,2,NAF,MAC-10,smg,01JM6E3T5XN9HK5J0VSPT59M7K,0,460cdd1cb28a18de
6949,5687,2,76561198001151695,2,NAF,Kevlar + Helmet,equipment,01JM6E3T5YM3ADHZJ9RH5F4BPW,0,460cdd1cb28a18de
6998,5714,2,76561198053126645,2,NertZ,Molotov,grenade,01JM6E3T5ZXVH1WB0V9WFEZR50,0,460cdd1cb28a18de
7008,5721,2,76561198386265483,3,donk,Desert Eagle,pistol,01JM6E3T5ZXVH1WB0V9YZZPEQY,0,460cdd1cb28a18de
7029,5732,2,76561198386265483,3,donk,Kevlar + Helmet,equipment,01JM6E3T5ZXVH1WB0VA0ATMKQJ,0,460cdd1cb28a18de
7040,5742,2,76561198386265483,3,donk,Smoke Grenade,grenade,01JM6E3T5ZXVH1WB0VA10921P5,0,460cdd1cb28a18de
7066,5761,2,76561198001151695,2,NAF,Molotov,grenade,01JM6E3T60KRRFC9Q5HAJ171D9,0,460cdd1cb28a18de
7071,5764,2,76561199063238565,3,magixx,Kevlar Vest,equipment,01JM6E3T60KRRFC9Q5HDFX5931,0,460cdd1cb28a18de
7084,5770,2,76561198053126645,2,NertZ,Flashbang,grenade,01JM6E3T60KRRFC9Q5HF36NCMB,0,460cdd1cb28a18de
7085,5771,2,76561198001151695,2,NAF,HE Grenade,grenade,01JM6E3T60KRRFC9Q5HHQVZ2KW,0,460cdd1cb28a18de
7089,5772,2,76561198045898864,3,chopper,Five-SeveN,pistol,01JM6E3T61977W4YD5HFKMMHV2,0,460cdd1cb28a18de
7097,5778,2,76561198001151695,2,NAF,Smoke Grenade,grenade,01JM6E3T61977W4YD5HJ539WR4,0,460cdd1cb28a18de
7115,5785,2,76561199063238565,3,magixx,Smoke Grenade,grenade,01JM6E3T61977W4YD5HNDA5VZP,0,460cdd1cb28a18de
7119,5786,2,76561198001151695,2,NAF,Flashbang,grenade,01JM6E3T61977W4YD5HREQPBRH,0,460cdd1cb28a18de
7125,5790,2,76561198045898864,3,chopper,Kevlar Vest,equipment,01JM6E3T61977W4YD5HT1EYY3F,0,460cdd1cb28a18de
7154,5807,2,76561198016255205,2,Twistzz,MAC-10,smg,01JM6E3T62NVPPG8ZCTK27DA9M,0,460cdd1cb28a18de
7167,5818,2,76561198045898864,3,chopper,Smoke Grenade,grenade,01JM6E3T62NVPPG8ZCTMJG064N,0,460cdd1cb28a18de
7182,5828,2,76561198016255205,2,Twistzz,Molotov,grenade,01JM6E3T62NVPPG8ZCTRG38DPY,0,460cdd1cb28a18de
7193,5839,2,76561198045898864,3,chopper,Flashbang,grenade,01JM6E3T63V7G7BF9ME023WXFX,0,460cdd1cb28a18de
7195,5841,2,76561198016255205,2,Twistzz,Smoke Grenade,grenade,01JM6E3T63V7G7BF9ME24S8KZK,0,460cdd1cb28a18de
7204,5848,2,76561199063238565,3,magixx,MP9,smg,01JM6E3T63V7G7BF9ME5CSBH59,0,460cdd1cb28a18de
7206,5850,2,76561198016255205,2,Twistzz,Flashbang,grenade,01JM6E3T63V7G7BF9ME678XJQF,0,460cdd1cb28a18de
7241,5877,2,76561198081484775,3,SH1R0,SSG 08,sniper,01JM6E3T64PRG23S9PE3VXTNES,0,460cdd1cb28a18de
7320,5929,2,76561197977105184,2,jks,Galil AR,rifle,01JM6E3T65FXNR1C97YFV9JQYP,0,460cdd1cb28a18de
7353,5954,2,76561197977105184,2,jks,Molotov,grenade,01JM6E3T65FXNR1C97YK8ARKB9,0,460cdd1cb28a18de
