frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
6086,4880,1,3,2,0,76561199009468655,ztr,0,2,a0154a45e1d020a3
6755,5472,1,1,3,1,76561198998266210,xelex,1,1,a0154a45e1d020a3
17939,14684,2,2,3,0,76561198193174134,xertioN,0,2,a0154a45e1d020a3
19041,15657,2,1,2,1,76561198310561479,PR,0,0,a0154a45e1d020a3
33723,27987,3,4,2,0,76561198034172415,REZ,0,1,a0154a45e1d020a3
41109,33812,4,3,2,0,76561198310561479,PR,0,0,a0154a45e1d020a3
45619,37275,5,5,2,0,76561198034172415,REZ,0,0,a0154a45e1d020a3
56891,46263,6,3,3,0,76561198138828475,Brollan,0,0,a0154a45e1d020a3
67377,54546,7,2,3,0,76561198355739212,torzsi,0,0,a0154a45e1d020a3
76693,62167,8,5,3,0,76561198855375325,Jimpphat,1,0,a0154a45e1d020a3
90925,73719,9,2,3,1,76561198193174134,xertioN,1,2,a0154a45e1d020a3
91201,73951,9,1,2,0,76561198098071693,sl3nd,0,0,a0154a45e1d020a3
104485,84360,10,2,3,0,76561198193174134,xertioN,0,0,a0154a45e1d020a3
111633,89997,11,5,3,0,76561198138828475,Brollan,0,0,a0154a45e1d020a3
117754,94694,12,3,2,0,76561198098071693,sl3nd,0,0,a0154a45e1d020a3
140518,113245,13,3,2,0,76561198138828475,Brollan,0,2,a0154a45e1d020a3
142266,114790,13,1,3,1,76561198316706174,Tauson,1,1,a0154a45e1d020a3
153215,123588,14,3,3,0,76561198310561479,PR,1,0,a0154a45e1d020a3
161669,130449,15,4,2,0,76561198138828475,Brollan,0,1,a0154a45e1d020a3
173466,140105,16,4,2,0,76561198998266210,xelex,0,0,a0154a45e1d020a3
181201,146378,17,5,2,0,76561198998266210,xelex,0,0,a0154a45e1d020a3
191134,154204,18,3,2,0,76561198355739212,torzsi,0,1,a0154a45e1d020a3
223720,180579,21,5,2,0,76561198355739212,torzsi,0,1,a0154a45e1d020a3
233611,188228,22,4,2,0,76561198355739212,torzsi,0,0,a0154a45e1d020a3
